player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Jabari Smith Jr,player_rebounds,5.5,-106,fanduel,0.5145631067961165,10:24:51 PM ET,205,bovada,0.32786885245901637,10:24:44 PM ET,0.8424319592551328,18.703948611373523,True,61.08,38.92,118.7,118.71,18.7,100.0,"Bet $61.08 Over @ fanduel, $38.92 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,2,0.9608405166666666,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
DeMar DeRozan,player_points,21.5,175,bovada,0.36363636363636365,10:24:44 PM ET,-110,draftkings,0.5238095238095238,10:24:56 PM ET,0.8874458874458875,12.682926829268283,True,40.98,59.02,112.7,112.67,12.67,100.0,"Bet $40.98 Over @ bovada, $59.02 Under @ draftkings",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,2,1.0775071833333334,0.8775071833333333,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Kevin Durant,player_threes,2.5,170,bovada,0.37037037037037035,10:24:44 PM ET,-110,williamhill_us,0.5238095238095238,10:25:30 PM ET,0.8941798941798942,11.834319526627212,True,41.42,58.58,111.83,111.83,11.83,100.0,"Bet $41.42 Over @ bovada, $58.58 Under @ williamhill_us",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,5,1.0775071833333334,0.3108405166666667,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Amen Thompson,player_points,13.5,-122,fanduel,0.5495495495495496,10:24:51 PM ET,190,bovada,0.3448275862068966,10:24:44 PM ET,0.8943771357564462,11.8096561306009,True,61.44,38.56,111.8,111.82,11.8,100.0,"Bet $61.44 Over @ fanduel, $38.56 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,2,0.9608405166666666,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Alperen Sengun,player_assists,5.5,120,draftkings,0.4545454545454546,10:24:56 PM ET,125,bovada,0.4444444444444444,10:24:44 PM ET,0.898989898989899,11.23595505617978,True,50.56,49.44,111.23,111.24,11.23,100.0,"Bet $50.56 Over @ draftkings, $49.44 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,4,0.8775071833333333,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Amen Thompson,player_points,14.5,100,draftkings,0.5,10:24:56 PM ET,145,bovada,0.40816326530612246,10:24:44 PM ET,0.9081632653061225,10.1123595505618,True,55.06,44.94,110.12,110.1,10.1,100.0,"Bet $55.06 Over @ draftkings, $44.94 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,3,0.8775071833333333,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Amen Thompson,player_rebounds,5.5,-130,draftkings,0.5652173913043478,10:24:56 PM ET,185,bovada,0.3508771929824561,10:24:44 PM ET,0.9160945842868039,9.15903413821817,True,61.7,38.3,109.16,109.16,9.16,100.0,"Bet $61.70 Over @ draftkings, $38.30 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,4,0.8775071833333333,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Alperen Sengun,player_points,26.5,175,bovada,0.36363636363636365,10:24:44 PM ET,-125,williamhill_us,0.5555555555555556,10:25:30 PM ET,0.9191919191919192,8.791208791208781,True,39.56,60.44,108.79,108.79,8.79,100.0,"Bet $39.56 Over @ bovada, $60.44 Under @ williamhill_us",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,2,1.0775071833333334,0.3108405166666667,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Alperen Sengun,player_rebounds,8.5,-106,fanduel,0.5145631067961165,10:24:51 PM ET,135,bovada,0.425531914893617,10:24:44 PM ET,0.9400950216897335,6.372225884421012,True,54.74,45.26,106.38,106.36,6.36,100.0,"Bet $54.74 Over @ fanduel, $45.26 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,2,0.9608405166666666,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
Jabari Smith Jr,player_points,13.5,100,draftkings,0.5,10:24:56 PM ET,125,bovada,0.4444444444444444,10:24:44 PM ET,0.9444444444444444,5.882352941176472,True,52.94,47.06,105.88,105.88,5.88,100.0,"Bet $52.94 Over @ draftkings, $47.06 Under @ bovada",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,True,3,0.8775071833333333,1.0775071833333334,1.0775071833333334,False,,2025-12-21 22:25:48 ET
