player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Jordan Poole,player_threes,1.5,172,fanduel,0.36764705882352944,08:54:41 PM ET,185,bovada,0.3508771929824561,08:53:14 PM ET,0.7185242518059856,39.17414721723518,True,51.17,48.83,139.18,139.17,39.17,100.0,"Bet $51.17 Over @ fanduel, $48.83 Under @ bovada",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:10:35Z,True,4,1.1853158499999998,2.63531585,2.63531585,True,bovada,2025-12-22 20:55:52 ET
Pascal Siakam,player_assists,2.5,178,fanduel,0.3597122302158273,08:55:45 PM ET,175,bovada,0.36363636363636365,08:55:42 PM ET,0.723348593852191,38.24593128390597,True,49.73,50.27,138.25,138.24,38.24,100.0,"Bet $49.73 Over @ fanduel, $50.27 Under @ bovada",Indiana Pacers @ Boston Celtics,2025-12-23T00:41:15Z,True,3,0.11864918333333334,0.1686491833333333,0.1686491833333333,False,,2025-12-22 20:55:52 ET
Trey Murphy III,player_threes,1.5,138,fanduel,0.4201680672268907,08:54:41 PM ET,175,bovada,0.36363636363636365,08:53:14 PM ET,0.7838044308632544,27.58284600389864,True,53.61,46.39,127.59,127.57,27.57,100.0,"Bet $53.61 Over @ fanduel, $46.39 Under @ bovada",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:10:35Z,True,4,1.1853158499999998,2.63531585,2.63531585,True,bovada,2025-12-22 20:55:52 ET
Anfernee Simons,player_threes,1.5,170,draftkings,0.3703703703703703,08:55:30 PM ET,140,bovada,0.4166666666666667,08:55:42 PM ET,0.787037037037037,27.05882352941178,True,47.06,52.94,127.06,127.06,27.06,100.0,"Bet $47.06 Over @ draftkings, $52.94 Under @ bovada",Indiana Pacers @ Boston Celtics,2025-12-23T00:41:15Z,True,2,0.3686491833333333,0.1686491833333333,0.3686491833333333,False,,2025-12-22 20:55:52 ET
Jarrett Allen,player_rebounds,7.5,130,draftkings,0.4347826086956522,08:54:31 PM ET,170,bovada,0.37037037037037035,08:53:31 PM ET,0.8051529790660226,24.2,True,54.0,46.0,124.2,124.2,24.2,100.0,"Bet $54.00 Over @ draftkings, $46.00 Under @ bovada",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:13:14Z,True,2,1.3519825166666666,2.351982516666667,2.351982516666667,True,bovada,2025-12-22 20:55:52 ET
Derik Queen,player_points,17.5,215,bovada,0.31746031746031744,08:53:14 PM ET,-110,draftkings,0.5238095238095238,08:55:31 PM ET,0.8412698412698413,18.867924528301884,True,37.74,62.26,118.88,118.86,18.86,100.0,"Bet $37.74 Over @ bovada, $62.26 Under @ draftkings",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:10:35Z,True,4,2.63531585,0.35198251666666663,2.63531585,True,bovada,2025-12-22 20:55:52 ET
Donovan Mitchell,player_points,34.5,190,bovada,0.3448275862068966,08:53:31 PM ET,100,draftkings,0.5,08:54:31 PM ET,0.8448275862068966,18.36734693877551,True,40.82,59.18,118.38,118.36,18.36,100.0,"Bet $40.82 Over @ bovada, $59.18 Under @ draftkings",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:13:14Z,True,3,2.351982516666667,1.3519825166666666,2.351982516666667,True,bovada,2025-12-22 20:55:52 ET
Jordan Poole,player_points,12.5,100,draftkings,0.5,08:55:31 PM ET,190,bovada,0.3448275862068966,08:53:14 PM ET,0.8448275862068966,18.36734693877551,True,59.18,40.82,118.36,118.38,18.36,100.0,"Bet $59.18 Over @ draftkings, $40.82 Under @ bovada",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:10:35Z,True,4,0.35198251666666663,2.63531585,2.63531585,True,bovada,2025-12-22 20:55:52 ET
Darius Garland,player_assists,8.5,200,bovada,0.33333333333333326,08:53:31 PM ET,-105,draftkings,0.5121951219512195,08:54:31 PM ET,0.8455284552845528,18.26923076923077,True,39.42,60.58,118.26,118.28,18.26,100.0,"Bet $39.42 Over @ bovada, $60.58 Under @ draftkings",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:13:14Z,True,5,2.351982516666667,1.3519825166666666,2.351982516666667,True,bovada,2025-12-22 20:55:52 ET
Saddiq Bey,player_points,16.5,210,bovada,0.32258064516129037,08:53:14 PM ET,-110,draftkings,0.5238095238095238,08:55:31 PM ET,0.8463901689708142,18.14882032667875,True,38.11,61.89,118.14,118.15,18.14,100.0,"Bet $38.11 Over @ bovada, $61.89 Under @ draftkings",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:10:35Z,True,3,2.63531585,0.35198251666666663,2.63531585,True,bovada,2025-12-22 20:55:52 ET
Bennedict Mathurin,player_threes,2.5,140,bovada,0.4166666666666667,08:55:42 PM ET,130,draftkings,0.43478260869565216,08:55:30 PM ET,0.8514492753623188,17.44680851063829,True,48.94,51.06,117.46,117.44,17.44,100.0,"Bet $48.94 Over @ bovada, $51.06 Under @ draftkings",Indiana Pacers @ Boston Celtics,2025-12-23T00:41:15Z,True,3,0.1686491833333333,0.3686491833333333,0.3686491833333333,False,,2025-12-22 20:55:52 ET
Bennedict Mathurin,player_rebounds,5.5,118,williamhill_us,0.45871559633027525,08:55:19 PM ET,148,fanduel,0.4032258064516129,08:55:45 PM ET,0.8619414027818881,16.01716738197425,True,53.22,46.78,116.02,116.01,16.01,100.0,"Bet $53.22 Over @ williamhill_us, $46.78 Under @ fanduel",Indiana Pacers @ Boston Celtics,2025-12-23T00:41:15Z,True,4,0.5519825166666668,0.11864918333333334,0.5519825166666668,False,,2025-12-22 20:55:52 ET
Donovan Mitchell,player_assists,6.5,180,bovada,0.3571428571428572,08:53:31 PM ET,-102,fanduel,0.504950495049505,08:55:47 PM ET,0.8620933521923622,15.996718621821149,True,41.43,58.57,116.0,115.99,15.99,100.0,"Bet $41.43 Over @ bovada, $58.57 Under @ fanduel",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:13:14Z,True,4,2.351982516666667,0.08531585,2.351982516666667,True,bovada,2025-12-22 20:55:52 ET
