player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Julius Randle,player_threes,1.5,158,fanduel,0.3875968992248062,08:55:00 PM ET,125,bovada,0.4444444444444444,08:55:02 PM ET,0.8320413436692506,20.18633540372672,True,46.58,53.42,120.18,120.2,20.18,100.0,"Bet $46.58 Over @ fanduel, $53.42 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,4,0.77921195,0.7458786166666667,0.77921195,False,,2025-12-17 20:55:46 ET
Jaren Jackson Jr,player_points,22.5,200,bovada,0.33333333333333326,08:55:02 PM ET,-102,williamhill_us,0.504950495049505,08:55:10 PM ET,0.8382838283828382,19.291338582677177,True,39.76,60.24,119.28,119.3,19.28,100.0,"Bet $39.76 Over @ bovada, $60.24 Under @ williamhill_us",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,4,0.7458786166666667,0.6125452833333332,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Rudy Gobert,player_blocks,1.5,115,bovada,0.4651162790697675,08:55:02 PM ET,165,draftkings,0.37735849056603776,08:55:03 PM ET,0.8424747696358053,18.697916666666647,True,55.21,44.79,118.7,118.69,18.69,100.0,"Bet $55.21 Over @ bovada, $44.79 Under @ draftkings",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,2,0.7458786166666667,0.7292119499999999,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Jaden McDaniels,player_steals,1.5,155,bovada,0.39215686274509803,08:55:02 PM ET,120,draftkings,0.45454545454545453,08:55:03 PM ET,0.8467023172905526,18.105263157894736,True,46.32,53.68,118.12,118.1,18.1,100.0,"Bet $46.32 Over @ bovada, $53.68 Under @ draftkings",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,2,0.7458786166666667,0.7292119499999999,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Matas Buzelis,player_points,9.5,100,draftkings,0.5,08:54:48 PM ET,185,bovada,0.3508771929824561,08:52:50 PM ET,0.8508771929824561,17.525773195876294,True,58.76,41.24,117.52,117.53,17.52,100.0,"Bet $58.76 Over @ draftkings, $41.24 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,0.9792119499999999,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Nikola Vucevic,player_rebounds,6.5,100,draftkings,0.5,08:54:48 PM ET,175,bovada,0.36363636363636365,08:52:50 PM ET,0.8636363636363636,15.789473684210531,True,57.89,42.11,115.78,115.8,15.78,100.0,"Bet $57.89 Over @ draftkings, $42.11 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,0.9792119499999999,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jaren Jackson Jr,player_threes,1.5,-105,bovada,0.5121951219512195,08:55:02 PM ET,182,fanduel,0.3546099290780142,08:55:00 PM ET,0.8668050510292338,15.36619437238076,True,59.09,40.91,115.37,115.37,15.37,100.0,"Bet $59.09 Over @ bovada, $40.91 Under @ fanduel",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,4,0.7458786166666667,0.77921195,0.77921195,False,,2025-12-17 20:55:46 ET
Jaylon Tyson,player_rebounds,5.5,118,fanduel,0.45871559633027525,08:55:20 PM ET,145,bovada,0.40816326530612246,08:52:50 PM ET,0.8668788616363977,15.356371490280774,True,52.92,47.08,115.37,115.35,15.35,100.0,"Bet $52.92 Over @ fanduel, $47.08 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,0.44587861666666667,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Darius Garland,player_points,24.5,210,bovada,0.32258064516129037,08:52:50 PM ET,-122,fanduel,0.5495495495495496,08:55:20 PM ET,0.87213019471084,14.661779406864373,True,36.99,63.01,114.67,114.66,14.66,100.0,"Bet $36.99 Over @ bovada, $63.01 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jaden McDaniels,player_points,12.5,-102,fanduel,0.504950495049505,08:55:00 PM ET,165,bovada,0.37735849056603776,08:55:02 PM ET,0.8823089856155427,13.338979462206213,True,57.23,42.77,113.34,113.34,13.34,100.0,"Bet $57.23 Over @ fanduel, $42.77 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,3,0.77921195,0.7458786166666667,0.77921195,False,,2025-12-17 20:55:46 ET
Darius Garland,player_points,23.5,170,bovada,0.37037037037037035,08:52:50 PM ET,-105,draftkings,0.5121951219512195,08:54:48 PM ET,0.8825654923215899,13.306038894575224,True,41.97,58.03,113.32,113.3,13.3,100.0,"Bet $41.97 Over @ bovada, $58.03 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Julius Randle,player_points,19.5,-109,williamhill_us,0.5215311004784688,08:55:10 PM ET,175,bovada,0.36363636363636365,08:55:02 PM ET,0.8851674641148325,12.972972972972974,True,58.92,41.08,112.98,112.97,12.97,100.0,"Bet $58.92 Over @ williamhill_us, $41.08 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,3,0.6125452833333332,0.7458786166666667,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Santi Aldama,player_points,12.5,-107,williamhill_us,0.5169082125603864,08:55:10 PM ET,170,bovada,0.37037037037037035,08:55:02 PM ET,0.8872785829307568,12.704174228675136,True,58.26,41.74,112.71,112.7,12.7,100.0,"Bet $58.26 Over @ williamhill_us, $41.74 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,3,0.6125452833333332,0.7458786166666667,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Josh Giddey,player_points,22.5,190,bovada,0.3448275862068966,08:52:50 PM ET,-120,fanduel,0.5454545454545454,08:55:20 PM ET,0.890282131661442,12.323943661971825,True,38.73,61.27,112.32,112.33,12.32,100.0,"Bet $38.73 Over @ bovada, $61.27 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jarrett Allen,player_rebounds,7.5,-112,fanduel,0.5283018867924528,08:55:20 PM ET,175,bovada,0.36363636363636365,08:52:50 PM ET,0.8919382504288165,12.115384615384617,True,59.23,40.77,112.11,112.12,12.11,100.0,"Bet $59.23 Over @ fanduel, $40.77 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,0.44587861666666667,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jarrett Allen,player_points,17.5,165,bovada,0.37735849056603776,08:52:50 PM ET,-110,fanduel,0.5238095238095238,08:55:20 PM ET,0.9011680143755616,10.967098703888322,True,41.87,58.13,110.96,110.98,10.96,100.0,"Bet $41.87 Over @ bovada, $58.13 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Santi Aldama,player_rebounds,7.5,130,bovada,0.43478260869565216,08:55:02 PM ET,114,fanduel,0.4672897196261682,08:55:00 PM ET,0.9020723283218204,10.855855855855868,True,48.2,51.8,110.86,110.85,10.85,100.0,"Bet $48.20 Over @ bovada, $51.80 Under @ fanduel",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,4,0.7458786166666667,0.77921195,0.77921195,False,,2025-12-17 20:55:46 ET
Jarrett Allen,player_blocks,1.5,180,bovada,0.3571428571428572,08:52:50 PM ET,-120,draftkings,0.5454545454545454,08:54:48 PM ET,0.9025974025974026,10.79136690647482,True,39.57,60.43,110.8,110.79,10.79,100.0,"Bet $39.57 Over @ bovada, $60.43 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Coby White,player_assists,3.5,125,fanatics,0.44444444444444436,08:55:00 PM ET,115,bovada,0.46511627906976744,08:52:50 PM ET,0.9095607235142118,9.943181818181834,True,48.86,51.14,109.94,109.95,9.94,100.0,"Bet $48.86 Over @ fanatics, $51.14 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,5,0.77921195,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Donovan Mitchell,player_threes,3.5,128,fanduel,0.4385964912280701,08:55:20 PM ET,110,bovada,0.47619047619047616,08:52:50 PM ET,0.9147869674185463,9.31506849315069,True,47.95,52.05,109.33,109.3,9.3,100.0,"Bet $47.95 Over @ fanduel, $52.05 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,0.44587861666666667,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jaren Jackson Jr,player_blocks,1.5,155,bovada,0.3921568627450981,08:55:02 PM ET,-115,draftkings,0.5348837209302325,08:55:03 PM ET,0.9270405836753306,7.870142646335454,True,42.3,57.7,107.86,107.87,7.86,100.0,"Bet $42.30 Over @ bovada, $57.70 Under @ draftkings",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,2,0.7458786166666667,0.7292119499999999,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Josh Giddey,player_points,21.5,155,bovada,0.3921568627450981,08:52:50 PM ET,-115,draftkings,0.5348837209302325,08:54:48 PM ET,0.9270405836753306,7.870142646335454,True,42.3,57.7,107.86,107.87,7.86,100.0,"Bet $42.30 Over @ bovada, $57.70 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Lonzo Ball,player_assists,3.5,105,draftkings,0.4878048780487805,08:54:48 PM ET,125,bovada,0.4444444444444444,08:52:50 PM ET,0.9322493224932249,7.267441860465129,True,52.33,47.67,107.28,107.26,7.26,100.0,"Bet $52.33 Over @ draftkings, $47.67 Under @ bovada",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,0.9792119499999999,2.9458786166666666,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Jarrett Allen,player_points,16.5,130,bovada,0.4347826086956521,08:52:50 PM ET,100,draftkings,0.5,08:54:48 PM ET,0.9347826086956521,6.976744186046524,True,46.51,53.49,106.97,106.98,6.97,100.0,"Bet $46.51 Over @ bovada, $53.49 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Josh Giddey,player_rebounds,9.5,165,bovada,0.37735849056603776,08:52:50 PM ET,-130,fanduel,0.5652173913043478,08:55:20 PM ET,0.9425758818703855,6.092254134029584,True,40.03,59.97,106.08,106.1,6.08,100.0,"Bet $40.03 Over @ bovada, $59.97 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Donte DiVincenzo,player_points,11.5,-130,williamhill_us,0.5652173913043479,08:55:10 PM ET,160,bovada,0.38461538461538464,08:55:02 PM ET,0.9498327759197325,5.2816901408450745,True,59.51,40.49,105.29,105.27,5.27,100.0,"Bet $59.51 Over @ williamhill_us, $40.49 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,2,0.6125452833333332,0.7458786166666667,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Tre Jones,player_points,10.5,110,bovada,0.47619047619047616,08:52:50 PM ET,105,draftkings,0.4878048780487805,08:54:48 PM ET,0.9639953542392566,3.7349397590361377,True,49.4,50.6,103.74,103.73,3.73,100.0,"Bet $49.40 Over @ bovada, $50.60 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Josh Giddey,player_points_rebounds_assists,37.5,120,bovada,0.4545454545454546,08:52:50 PM ET,-105,draftkings,0.5121951219512195,08:54:48 PM ET,0.9667405764966741,3.440366972477049,True,47.02,52.98,103.44,103.44,3.44,100.0,"Bet $47.02 Over @ bovada, $52.98 Under @ draftkings",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.9792119499999999,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Cedric Coward,player_rebounds,5.5,-138,fanduel,0.5798319327731094,08:55:00 PM ET,155,bovada,0.39215686274509803,08:55:02 PM ET,0.9719887955182074,2.881844380403442,True,59.65,40.35,102.87,102.89,2.87,100.0,"Bet $59.65 Over @ fanduel, $40.35 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,4,0.77921195,0.7458786166666667,0.77921195,False,,2025-12-17 20:55:46 ET
Donte DiVincenzo,player_points_rebounds_assists,20.5,-125,draftkings,0.5555555555555556,08:55:03 PM ET,140,bovada,0.4166666666666667,08:55:02 PM ET,0.9722222222222223,2.857142857142847,True,57.14,42.86,102.85,102.86,2.85,100.0,"Bet $57.14 Over @ draftkings, $42.86 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,2,0.7292119499999999,0.7458786166666667,0.7458786166666667,False,,2025-12-17 20:55:46 ET
Donte DiVincenzo,player_points,12.5,-114,fanduel,0.5327102803738317,08:55:00 PM ET,120,bovada,0.45454545454545453,08:55:02 PM ET,0.9872557349192863,1.2908777969018903,True,53.96,46.04,101.29,101.29,1.29,100.0,"Bet $53.96 Over @ fanduel, $46.04 Under @ bovada",Memphis Grizzlies @ Minnesota Timberwolves,2025-12-18T01:11:00Z,3,0.77921195,0.7458786166666667,0.77921195,False,,2025-12-17 20:55:46 ET
Tre Jones,player_points,11.5,145,bovada,0.40816326530612246,08:52:50 PM ET,-138,fanduel,0.5798319327731093,08:55:20 PM ET,0.9879951980792318,1.2150668286755817,True,41.31,58.69,101.21,101.22,1.21,100.0,"Bet $41.31 Over @ bovada, $58.69 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,2,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
Lonzo Ball,player_threes,0.5,-130,draftkings,0.5652173913043478,08:54:48 PM ET,136,fanduel,0.423728813559322,08:55:20 PM ET,0.9889462048636698,1.1177347242921076,True,57.15,42.85,101.11,101.13,1.11,100.0,"Bet $57.15 Over @ draftkings, $42.85 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,3,0.9792119499999999,0.44587861666666667,0.9792119499999999,False,,2025-12-17 20:55:46 ET
Darius Garland,player_assists,7.5,115,bovada,0.4651162790697675,08:52:50 PM ET,-112,fanduel,0.5283018867924528,08:55:20 PM ET,0.9934181658622203,0.6625441696113121,True,46.82,53.18,100.66,100.66,0.66,100.0,"Bet $46.82 Over @ bovada, $53.18 Under @ fanduel",Cleveland Cavaliers @ Chicago Bulls,2025-12-18T01:11:00Z,4,2.9458786166666666,0.44587861666666667,2.9458786166666666,True,bovada,2025-12-17 20:55:46 ET
