player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Jaden McDaniels,player_steals,0.5,250,draftkings,0.2857142857142857,11:40:42 PM ET,175,bovada,0.36363636363636365,11:40:24 PM ET,0.6493506493506493,54.0,True,44.0,56.0,154.0,154.0,54.0,100.0,"Bet $44.00 Over @ draftkings, $56.00 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Chet Holmgren,player_steals,0.5,350,draftkings,0.22222222222222215,11:40:42 PM ET,120,bovada,0.45454545454545453,11:40:24 PM ET,0.6767676767676767,47.76119402985077,True,32.84,67.16,147.78,147.75,47.75,100.0,"Bet $32.84 Over @ draftkings, $67.16 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Julius Randle,player_steals,0.5,290,draftkings,0.25641025641025644,11:40:42 PM ET,120,bovada,0.45454545454545453,11:40:24 PM ET,0.710955710955711,40.65573770491804,True,36.07,63.93,140.67,140.65,40.65,100.0,"Bet $36.07 Over @ draftkings, $63.93 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Anthony Edwards,player_assists,3.5,194,fanduel,0.34013605442176875,11:40:46 PM ET,150,bovada,0.4,11:40:24 PM ET,0.7401360544217688,35.11029411764706,True,45.96,54.04,135.12,135.1,35.1,100.0,"Bet $45.96 Over @ fanduel, $54.04 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.033088566666666666,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Naz Reid,player_rebounds,4.5,-102,fanduel,0.504950495049505,11:40:46 PM ET,200,bovada,0.3333333333333333,11:40:24 PM ET,0.8382838283828382,19.291338582677177,True,60.24,39.76,119.3,119.28,19.28,100.0,"Bet $60.24 Over @ fanduel, $39.76 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,4,0.033088566666666666,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Julius Randle,player_points,16.5,100,williamhill_us,0.49999999999999994,11:36:40 PM ET,155,bovada,0.39215686274509803,11:40:24 PM ET,0.892156862745098,12.08791208791209,True,56.04,43.96,112.08,112.1,12.08,100.0,"Bet $56.04 Over @ williamhill_us, $43.96 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,4.133088566666666,0.3997552333333333,4.133088566666666,True,williamhill_us,2025-12-19 23:40:47 ET
Chet Holmgren,player_threes,0.5,180,draftkings,0.3571428571428571,11:40:42 PM ET,-122,fanduel,0.5495495495495496,11:40:46 PM ET,0.9066924066924067,10.29098651525906,True,39.39,60.61,110.29,110.29,10.29,100.0,"Bet $39.39 Over @ draftkings, $60.61 Under @ fanduel",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.033088566666666666,0.09975523333333333,False,,2025-12-19 23:40:47 ET
Naz Reid,player_points_rebounds_assists,18.5,-105,draftkings,0.5121951219512195,11:40:42 PM ET,150,bovada,0.4,11:40:24 PM ET,0.9121951219512195,9.625668449197855,True,56.15,43.85,109.63,109.62,9.62,100.0,"Bet $56.15 Over @ draftkings, $43.85 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Julius Randle,player_points,15.5,-140,draftkings,0.5833333333333335,11:40:42 PM ET,200,bovada,0.3333333333333333,11:40:24 PM ET,0.9166666666666667,9.090909090909083,True,63.64,36.36,109.1,109.08,9.08,100.0,"Bet $63.64 Over @ draftkings, $36.36 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,3,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Jaden McDaniels,player_threes,1.5,235,fanduel,0.29850746268656714,11:40:46 PM ET,-165,bovada,0.6226415094339622,11:40:24 PM ET,0.9211489721205294,8.560073372057486,True,32.41,67.59,108.57,108.55,8.55,100.0,"Bet $32.41 Over @ fanduel, $67.59 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,3,0.033088566666666666,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Anthony Edwards,player_points,23.5,100,fanatics,0.5,11:38:54 PM ET,125,bovada,0.4444444444444444,11:40:24 PM ET,0.9444444444444444,5.882352941176472,True,52.94,47.06,105.88,105.88,5.88,100.0,"Bet $52.94 Over @ fanatics, $47.06 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,1.8997552333333334,0.3997552333333333,1.8997552333333334,False,,2025-12-19 23:40:47 ET
Anthony Edwards,player_rebounds,9.5,-115,draftkings,0.5348837209302326,11:40:42 PM ET,130,fanduel,0.43478260869565216,11:40:46 PM ET,0.9696663296258847,3.1282586027111536,True,55.16,44.84,103.13,103.13,3.13,100.0,"Bet $55.16 Over @ draftkings, $44.84 Under @ fanduel",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.09975523333333333,0.033088566666666666,0.09975523333333333,False,,2025-12-19 23:40:47 ET
Anthony Edwards,player_threes,2.5,-130,draftkings,0.5652173913043477,11:40:42 PM ET,140,bovada,0.4166666666666667,11:40:24 PM ET,0.9818840579710144,1.8450184501845213,True,57.56,42.44,101.84,101.86,1.84,100.0,"Bet $57.56 Over @ draftkings, $42.44 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,3,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Naz Reid,player_points,10.5,-140,draftkings,0.5833333333333334,11:40:42 PM ET,150,bovada,0.4,11:40:24 PM ET,0.9833333333333334,1.6949152542372836,True,59.32,40.68,101.69,101.7,1.69,100.0,"Bet $59.32 Over @ draftkings, $40.68 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,3,0.09975523333333333,0.3997552333333333,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Jalen Williams,player_points,21.5,140,bovada,0.41666666666666663,11:40:24 PM ET,-138,fanduel,0.5798319327731093,11:40:46 PM ET,0.9964985994397759,0.35137034434293835,True,41.81,58.19,100.34,100.36,0.34,100.0,"Bet $41.81 Over @ bovada, $58.19 Under @ fanduel",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,2,0.3997552333333333,0.033088566666666666,0.3997552333333333,False,,2025-12-19 23:40:47 ET
Isaiah Hartenstein,player_rebounds,8.5,-120,bovada,0.5454545454545454,11:40:24 PM ET,121,williamhill_us,0.45248868778280543,11:39:48 PM ET,0.9979432332373508,0.20610057708163598,True,54.66,45.34,100.21,100.2,0.2,100.0,"Bet $54.66 Over @ bovada, $45.34 Under @ williamhill_us",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:45:00Z,3,0.3997552333333333,0.9997552333333334,0.9997552333333334,False,,2025-12-19 23:40:47 ET
