player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Paolo Banchero,player_assists,5.5,110.0,betmgm,0.47619047619047616,115.0,bovada,0.46511627906976744,0.9413067552602437,6.23529411764705,True,50.59,49.41,106.24,106.24,6.24,100.0,"Bet $50.59 Over @ betmgm, $49.41 Under @ bovada",Orlando Magic @ Golden State Warriors,2025-12-23T03:00:00Z,8,0.71,3.81,2025-12-22T17:00:04Z,2025-12-22T16:56:58Z,2025-12-22 12:00:46 ET,3.81,True,bovada,False
Lauri Markkanen,player_rebounds,6.5,-120.0,betmgm,0.5454545454545454,145.0,bovada,0.40816326530612246,0.9536178107606679,4.863813229571989,True,57.2,42.8,104.86,104.86,4.86,100.0,"Bet $57.20 Over @ betmgm, $42.80 Under @ bovada",Utah Jazz @ Denver Nuggets,2025-12-23T02:00:00Z,6,1.06,0.66,2025-12-22T16:59:43Z,2025-12-22T17:00:07Z,2025-12-22 12:00:46 ET,1.06,False,,False
Saddiq Bey,player_points,13.5,135.0,bovada,0.425531914893617,-115.0,draftkings,0.5348837209302325,0.9604156358238496,4.1215868109222065,True,44.31,55.69,104.12,104.12,4.12,100.0,"Bet $44.31 Over @ bovada, $55.69 Under @ draftkings",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,6,5.39,1.01,2025-12-22T16:55:23Z,2025-12-22T16:59:46Z,2025-12-22 12:00:46 ET,5.39,True,bovada,False
Jordan Walsh,player_points_rebounds_assists,13.5,130.0,bovada,0.43478260869565216,-111.0,draftkings,0.5260663507109005,0.9608489594065526,4.074630066480811,True,45.25,54.75,104.07,104.07,4.07,100.0,"Bet $45.25 Over @ bovada, $54.75 Under @ draftkings",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,4,2.57,1.61,2025-12-22T16:58:12Z,2025-12-22T16:59:10Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
Isaiah Jackson,player_rebounds,5.5,106.0,draftkings,0.4854368932038835,104.0,betrivers,0.49019607843137253,0.9756329716352561,2.4975609756097583,True,49.76,50.24,102.5,102.5,2.5,100.0,"Bet $49.76 Over @ draftkings, $50.24 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,5,1.61,0.99,2025-12-22T16:59:10Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,1.61,False,,False
Payton Pritchard,player_assists,5.5,120.0,williamhill_us,0.45454545454545453,-110.0,betrivers,0.5238095238095238,0.9783549783549783,2.212389380530988,True,46.46,53.54,102.21,102.21,2.21,100.0,"Bet $46.46 Over @ williamhill_us, $53.54 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,6,1.72,0.99,2025-12-22T16:59:03Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,1.72,False,,False
Dean Wade,player_points,5.5,-109.0,betonlineag,0.5215311004784688,118.0,betrivers,0.45871559633027525,0.9802466968087441,2.01513590972191,True,53.2,46.8,102.02,102.02,2.02,100.0,"Bet $53.20 Over @ betonlineag, $46.80 Under @ betrivers",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:00:00Z,7,0.41,0.99,2025-12-22T17:00:22Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,0.99,False,,False
Derrick White,player_points,18.5,115.0,bovada,0.46511627906976744,-108.0,betonlineag,0.5192307692307693,0.9843470483005368,1.5901862789641008,True,47.25,52.75,101.59,101.59,1.59,100.0,"Bet $47.25 Over @ bovada, $52.75 Under @ betonlineag",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,6,2.57,1.27,2025-12-22T16:58:12Z,2025-12-22T16:59:30Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
Trey Murphy III,player_rebounds,5.5,-108.0,betonlineag,0.5192307692307693,115.0,bovada,0.46511627906976744,0.9843470483005368,1.5901862789641008,True,52.75,47.25,101.59,101.59,1.59,100.0,"Bet $52.75 Over @ betonlineag, $47.25 Under @ bovada",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,7,0.42,5.39,2025-12-22T17:00:21Z,2025-12-22T16:55:23Z,2025-12-22 12:00:46 ET,5.39,True,bovada,False
Moussa Diabate,player_points,7.5,120.0,bovada,0.45454545454545453,-113.0,draftkings,0.5305164319248826,0.9850618864703371,1.5164644714038111,True,46.14,53.86,101.52,101.52,1.52,100.0,"Bet $46.14 Over @ bovada, $53.86 Under @ draftkings",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:00:00Z,5,0.21,0.59,2025-12-22T17:00:34Z,2025-12-22T17:00:11Z,2025-12-22 12:00:46 ET,0.59,False,,False
Miles Bridges,player_rebounds,5.5,104.0,betrivers,0.49019607843137253,102.0,fanduel,0.49504950495049505,0.9852455833818676,1.4975369458128052,True,49.75,50.25,101.5,101.5,1.5,100.0,"Bet $49.75 Over @ betrivers, $50.25 Under @ fanduel",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:00:00Z,7,0.99,1.22,2025-12-22T16:59:47Z,2025-12-22T16:59:33Z,2025-12-22 12:00:46 ET,1.22,False,,False
Donovan Clingan,player_points,9.5,-118.0,fanduel,0.5412844036697247,125.0,bovada,0.4444444444444444,0.9857288481141692,1.4477766287487093,True,54.91,45.09,101.45,101.45,1.45,100.0,"Bet $54.91 Over @ fanduel, $45.09 Under @ bovada",Detroit Pistons @ Portland Trail Blazers,2025-12-23T03:00:00Z,3,0.24,-0.01,2025-12-22T17:00:32Z,2025-12-22T17:00:47Z,2025-12-22 12:00:46 ET,0.24,False,,False
Saddiq Bey,player_points,12.5,105.0,bovada,0.4878048780487805,100.0,betmgm,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.23,1.23,100.0,"Bet $49.38 Over @ bovada, $50.62 Under @ betmgm",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,3,5.39,0.81,2025-12-22T16:55:23Z,2025-12-22T16:59:58Z,2025-12-22 12:00:46 ET,5.39,True,bovada,False
Payton Pritchard,player_points_rebounds_assists,27.5,105.0,bovada,0.4878048780487805,100.0,betrivers,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.23,1.23,100.0,"Bet $49.38 Over @ bovada, $50.62 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,3,2.57,0.99,2025-12-22T16:58:12Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
Svi Mykhailiuk,player_threes,1.5,120.0,bovada,0.45454545454545453,-115.0,betonlineag,0.5348837209302325,0.989429175475687,1.0683760683760868,True,45.94,54.06,101.07,101.07,1.07,100.0,"Bet $45.94 Over @ bovada, $54.06 Under @ betonlineag",Utah Jazz @ Denver Nuggets,2025-12-23T02:00:00Z,6,0.66,1.62,2025-12-22T17:00:07Z,2025-12-22T16:59:09Z,2025-12-22 12:00:46 ET,1.62,False,,False
Lonzo Ball,player_points_rebounds_assists,13.5,-125.0,betonlineag,0.5555555555555556,130.0,bovada,0.43478260869565216,0.9903381642512077,0.9756097560975618,True,56.1,43.9,100.98,100.98,0.98,100.0,"Bet $56.10 Over @ betonlineag, $43.90 Under @ bovada",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:00:00Z,2,0.41,0.21,2025-12-22T17:00:22Z,2025-12-22T17:00:34Z,2025-12-22 12:00:46 ET,0.41,False,,False
Lauri Markkanen,player_points_rebounds_assists,34.5,-112.0,fanduel,0.5283018867924528,115.0,bovada,0.46511627906976744,0.9934181658622203,0.6625441696113121,True,53.18,46.82,100.66,100.66,0.66,100.0,"Bet $53.18 Over @ fanduel, $46.82 Under @ bovada",Utah Jazz @ Denver Nuggets,2025-12-23T02:00:00Z,5,0.11,0.66,2025-12-22T17:00:40Z,2025-12-22T17:00:07Z,2025-12-22 12:00:46 ET,0.66,False,,False
Sam Merrill,player_threes,1.5,-145.0,bovada,0.5918367346938775,148.0,fanduel,0.4032258064516129,0.9950625411454904,0.49619583195501527,True,59.48,40.52,100.5,100.5,0.5,100.0,"Bet $59.48 Over @ bovada, $40.52 Under @ fanduel",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:00:00Z,6,0.21,1.22,2025-12-22T17:00:34Z,2025-12-22T16:59:33Z,2025-12-22 12:00:46 ET,1.22,False,,False
Anfernee Simons,player_threes,2.5,165.0,bovada,0.37735849056603776,-162.0,betrivers,0.6183206106870229,0.9956791012530607,0.4339649934905099,True,37.9,62.1,100.43,100.43,0.43,100.0,"Bet $37.90 Over @ bovada, $62.10 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,5,2.57,0.99,2025-12-22T16:58:12Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
Naji Marshall,player_threes,1.5,210.0,bovada,0.3225806451612903,-208.0,betonlineag,0.6753246753246753,0.9979053204859656,0.2099076406381295,True,32.33,67.67,100.21,100.21,0.21,100.0,"Bet $32.33 Over @ bovada, $67.67 Under @ betonlineag",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,3,5.39,0.51,2025-12-22T16:55:23Z,2025-12-22T17:00:16Z,2025-12-22 12:00:46 ET,5.39,True,bovada,False
Payton Pritchard,player_points_rebounds_assists,28.5,125.0,bovada,0.4444444444444444,-124.0,betrivers,0.5535714285714286,0.998015873015873,0.1988071570576455,True,44.53,55.47,100.2,100.2,0.2,100.0,"Bet $44.53 Over @ bovada, $55.47 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,2,2.57,0.99,2025-12-22T16:58:12Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
Payton Pritchard,player_points,18.5,130.0,bovada,0.43478260869565216,-129.0,betrivers,0.5633187772925764,0.9981013859882286,0.19022256039566976,True,43.56,56.44,100.19,100.19,0.19,100.0,"Bet $43.56 Over @ bovada, $56.44 Under @ betrivers",Indiana Pacers @ Boston Celtics,2025-12-23T00:30:00Z,2,2.57,0.99,2025-12-22T16:58:12Z,2025-12-22T16:59:47Z,2025-12-22 12:00:46 ET,2.57,True,bovada,False
