player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Wendell Carter Jr,player_points,13.5,155.0,bovada,0.39215686274509803,-130.0,betonlineag,0.5652173913043478,0.9573742540494459,4.452359750667845,True,40.96,59.04,104.45,104.45,4.45,100.0,"Bet $40.96 Over @ bovada, $59.04 Under @ betonlineag",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:10:00Z,2,0.72,0.32,2025-12-23T17:00:03Z,2025-12-23T17:00:27Z,2025-12-23 12:00:46 ET,0.72,False,,False
Peyton Watson,player_rebounds,4.5,-110.0,bovada,0.5238095238095238,128.0,betonlineag,0.43859649122807015,0.9624060150375939,3.90625,True,54.43,45.57,103.91,103.91,3.91,100.0,"Bet $54.43 Over @ bovada, $45.57 Under @ betonlineag",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:10:00Z,6,0.85,1.25,2025-12-23T16:59:55Z,2025-12-23T16:59:31Z,2025-12-23 12:00:46 ET,1.25,False,,False
Jusuf Nurkic,player_threes,0.5,150.0,betmgm,0.4,-135.0,betonlineag,0.574468085106383,0.974468085106383,2.6200873362445254,True,41.05,58.95,102.62,102.62,2.62,100.0,"Bet $41.05 Over @ betmgm, $58.95 Under @ betonlineag",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:10:00Z,2,0.15,0.87,2025-12-23T17:00:37Z,2025-12-23T16:59:54Z,2025-12-23 12:00:46 ET,0.87,False,,False
Tre Mann,player_assists,3.5,118.0,betonlineag,0.45871559633027525,-110.0,betmgm,0.5238095238095238,0.9825251201397991,1.7785682525566893,True,46.69,53.31,101.78,101.78,1.78,100.0,"Bet $46.69 Over @ betonlineag, $53.31 Under @ betmgm",Washington Wizards @ Charlotte Hornets,2025-12-24T00:10:00Z,3,0.57,0.02,2025-12-23T17:00:12Z,2025-12-23T17:00:45Z,2025-12-23 12:00:46 ET,0.57,False,,False
Kyshawn George,player_assists,5.5,118.0,betonlineag,0.45871559633027525,-110.0,bovada,0.5238095238095238,0.9825251201397991,1.7785682525566893,True,46.69,53.31,101.78,101.78,1.78,100.0,"Bet $46.69 Over @ betonlineag, $53.31 Under @ bovada",Washington Wizards @ Charlotte Hornets,2025-12-24T00:10:00Z,7,0.57,0.47,2025-12-23T17:00:12Z,2025-12-23T17:00:18Z,2025-12-23 12:00:46 ET,0.57,False,,False
Saddiq Bey,player_points,14.5,-117.0,betrivers,0.5391705069124424,125.0,bovada,0.4444444444444444,0.9836149513568868,1.665799062988027,True,54.82,45.18,101.67,101.67,1.67,100.0,"Bet $54.82 Over @ betrivers, $45.18 Under @ bovada",New Orleans Pelicans @ Cleveland Cavaliers,2025-12-24T00:40:00Z,2,1.0,0.07,2025-12-23T16:59:46Z,2025-12-23T17:00:42Z,2025-12-23 12:00:46 ET,1.0,False,,False
Caris LeVert,player_rebounds,2.5,130.0,betmgm,0.43478260869565216,-122.0,betonlineag,0.5495495495495496,0.9843321582452018,1.5917230401909954,True,44.17,55.83,101.59,101.59,1.59,100.0,"Bet $44.17 Over @ betmgm, $55.83 Under @ betonlineag",Detroit Pistons @ Sacramento Kings,2025-12-24T03:10:00Z,2,0.59,0.2,2025-12-23T17:00:11Z,2025-12-23T17:00:34Z,2025-12-23 12:00:46 ET,0.59,False,,False
Alex Sarr,player_points,17.5,-114.0,betonlineag,0.5327102803738317,120.0,bovada,0.45454545454545453,0.9872557349192863,1.2908777969018903,True,53.96,46.04,101.29,101.29,1.29,100.0,"Bet $53.96 Over @ betonlineag, $46.04 Under @ bovada",Washington Wizards @ Charlotte Hornets,2025-12-24T00:10:00Z,3,0.57,0.47,2025-12-23T17:00:12Z,2025-12-23T17:00:18Z,2025-12-23 12:00:46 ET,0.57,False,,False
Toumani Camara,player_points,12.5,105.0,betmgm,0.4878048780487805,100.0,fanduel,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.23,1.23,100.0,"Bet $49.38 Over @ betmgm, $50.62 Under @ fanduel",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:10:00Z,7,1.04,0.67,2025-12-23T16:59:44Z,2025-12-23T17:00:06Z,2025-12-23 12:00:46 ET,1.04,False,,False
Aaron Wiggins,player_rebounds,2.5,125.0,bovada,0.4444444444444444,-120.0,betmgm,0.5454545454545454,0.9898989898989898,1.0204081632653184,True,44.9,55.1,101.02,101.02,1.02,100.0,"Bet $44.90 Over @ bovada, $55.10 Under @ betmgm",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:40:00Z,5,5.59,0.57,2025-12-23T16:55:11Z,2025-12-23T17:00:12Z,2025-12-23 12:00:46 ET,5.59,True,bovada,False
