player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Lauri Markkanen,player_rebounds,8.5,185.0,bovada,0.3508771929824561,124.0,fanduel,0.44642857142857145,0.7973057644110275,25.422396856581543,True,44.01,55.99,125.42,125.42,25.42,100.0,"Bet $44.01 Over @ bovada, $55.99 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,3.3,0.95,2025-12-16T03:49:12Z,2025-12-16T03:51:33Z,2025-12-15 22:52:29 ET,3.3,True,bovada,True
Naji Marshall,player_assists,2.5,154.0,draftkings,0.3937007874015748,140.0,bovada,0.4166666666666667,0.8103674540682415,23.40080971659919,True,48.58,51.42,123.4,123.4,23.4,100.0,"Bet $48.58 Over @ draftkings, $51.42 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.27,3.3,2025-12-16T03:52:14Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,True
Ace Bailey,player_threes,1.5,160.0,fanatics,0.38461538461538464,100.0,bovada,0.5,0.8846153846153846,13.043478260869579,True,43.48,56.52,113.04,113.04,13.04,100.0,"Bet $43.48 Over @ fanatics, $56.52 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,1.48,3.3,2025-12-16T03:51:01Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,True
Ace Bailey,player_points,10.5,-105.0,draftkings,0.5121951219512195,155.0,bovada,0.39215686274509803,0.9043519846963175,10.576414595452155,True,56.64,43.36,110.58,110.58,10.58,100.0,"Bet $56.64 Over @ draftkings, $43.36 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.27,3.3,2025-12-16T03:52:14Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,True
Keyonte George,player_assists,7.5,150.0,bovada,0.4,-102.0,fanduel,0.504950495049505,0.904950495049505,10.503282275711157,True,44.2,55.8,110.5,110.5,10.5,100.0,"Bet $44.20 Over @ bovada, $55.80 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,5,3.3,0.95,2025-12-16T03:49:12Z,2025-12-16T03:51:33Z,2025-12-15 22:52:29 ET,3.3,True,bovada,True
Naji Marshall,player_rebounds,3.5,-152.0,fanduel,0.6031746031746031,215.0,bovada,0.31746031746031744,0.9206349206349206,8.62068965517242,True,65.52,34.48,108.62,108.62,8.62,100.0,"Bet $65.52 Over @ fanduel, $34.48 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,0.95,3.3,2025-12-16T03:51:33Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,False
Naji Marshall,player_points,14.5,120.0,bovada,0.45454545454545453,110.0,draftkings,0.47619047619047616,0.9307359307359306,7.441860465116301,True,48.84,51.16,107.44,107.44,7.44,100.0,"Bet $48.84 Over @ bovada, $51.16 Under @ draftkings",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,3.3,0.27,2025-12-16T03:49:12Z,2025-12-16T03:52:14Z,2025-12-15 22:52:29 ET,3.3,True,bovada,False
Klay Thompson,player_threes,2.5,-125.0,bovada,0.5555555555555556,154.0,draftkings,0.3937007874015748,0.9492563429571304,5.345622119815663,True,58.53,41.47,105.35,105.35,5.35,100.0,"Bet $58.53 Over @ bovada, $41.47 Under @ draftkings",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,3.3,0.27,2025-12-16T03:49:12Z,2025-12-16T03:52:14Z,2025-12-15 22:52:29 ET,3.3,True,bovada,False
Ace Bailey,player_points_rebounds_assists,16.5,-130.0,draftkings,0.5652173913043478,150.0,bovada,0.4,0.9652173913043478,3.603603603603611,True,58.56,41.44,103.6,103.6,3.6,100.0,"Bet $58.56 Over @ draftkings, $41.44 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.27,3.3,2025-12-16T03:52:14Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,False
Klay Thompson,player_points,10.5,-110.0,draftkings,0.5238095238095238,120.0,bovada,0.45454545454545453,0.9783549783549783,2.212389380530988,True,53.54,46.46,102.21,102.21,2.21,100.0,"Bet $53.54 Over @ draftkings, $46.46 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.27,3.3,2025-12-16T03:52:14Z,2025-12-16T03:49:12Z,2025-12-15 22:52:29 ET,3.3,True,bovada,False
