player,games,rim_attempts_pg,rim_fg_pct,rim_points_pg,recent_rim_pct,total_rim_attempts,streak
P.J. Washington,30,5.533333333333333,57.22891566265061,6.333333333333333,59.09090909090909,166,1.8619934282584865
Darius Garland,21,3.4285714285714284,50.0,3.4285714285714284,64.70588235294117,72,14.705882352941174
Donte DiVincenzo,35,1.9142857142857144,53.73134328358209,2.057142857142857,52.94117647058824,67,-0.7901668129938528
Spencer Jones,24,2.125,70.58823529411765,3.0,50.0,51,-20.588235294117652
Coby White,15,5.866666666666666,59.09090909090909,6.933333333333334,60.0,88,0.9090909090909065
Buddy Hield,32,1.71875,63.63636363636363,2.1875,85.71428571428571,55,22.077922077922075
Ausar Thompson,31,6.387096774193548,59.59595959595959,7.612903225806452,64.28571428571429,198,4.6897546897547
Keegan Murray,18,3.6666666666666665,63.63636363636363,4.666666666666667,54.54545454545454,66,-9.090909090909093
Bruce Brown,34,3.4411764705882355,59.82905982905983,4.117647058823529,69.23076923076923,117,9.401709401709397
Donovan Mitchell,34,6.0588235294117645,63.59223300970874,7.705882352941177,60.526315789473685,206,-3.0659172202350575
Luka Dončić,25,3.68,79.34782608695652,5.84,83.33333333333334,92,3.9855072463768266
Sandro Mamukelashvili,35,3.742857142857143,67.17557251908397,5.0285714285714285,66.66666666666666,131,-0.508905852417314
Kel'el Ware,35,5.285714285714286,63.78378378378379,6.742857142857143,75.0,185,11.21621621621621
Desmond Bane,36,6.972222222222222,56.97211155378486,7.944444444444445,60.526315789473685,251,3.5542042356888217
LeBron James,16,6.8125,65.13761467889908,8.875,77.14285714285715,109,12.00524246395807
Devin Booker,31,4.258064516129032,62.878787878787875,5.354838709677419,44.44444444444444,132,-18.434343434343432
Rob Dillingham,27,1.9259259259259258,38.46153846153847,1.4814814814814814,33.33333333333333,52,-5.128205128205138
Jake LaRavia,31,3.225806451612903,65.0,4.193548387096774,64.70588235294117,100,-0.29411764705882604
Jalen Suggs,23,3.130434782608696,73.61111111111111,4.608695652173913,66.66666666666666,72,-6.944444444444457
Maxime Raynaud,27,4.62962962962963,62.4,5.777777777777778,60.0,125,-2.3999999999999986
Donovan Clingan,32,5.0,65.625,6.5625,79.16666666666666,160,13.541666666666657
Shai Gilgeous-Alexander,34,6.529411764705882,65.31531531531532,8.529411764705882,67.64705882352942,222,2.331743508214103
Daniel Gafford,24,4.833333333333333,64.65517241379311,6.25,76.0,116,11.34482758620689
Keldon Johnson,35,5.314285714285714,65.05376344086021,6.914285714285715,44.0,186,-21.05376344086021
Quinten Post,33,1.9393939393939394,64.0625,2.484848484848485,70.0,64,5.9375
Micah Peavy,28,2.357142857142857,53.03030303030303,2.5,37.5,66,-15.530303030303031
Karl-Anthony Towns,31,8.483870967741936,55.893536121673,9.483870967741936,64.28571428571429,263,8.39217816404129
RJ Barrett,20,6.75,62.22222222222222,8.4,61.29032258064516,135,-0.9318996415770613
Jaime Jaquez Jr.,34,7.5,60.0,9.0,66.66666666666666,255,6.666666666666657
Toumani Camara,36,3.111111111111111,57.14285714285714,3.5555555555555554,75.0,112,17.85714285714286
Grayson Allen,18,3.1666666666666665,56.14035087719298,3.5555555555555554,56.25,57,0.10964912280702066
Jaren Jackson Jr.,32,4.71875,56.29139072847682,5.3125,67.64705882352942,151,11.3556680950526
Trendon Watford,14,3.7857142857142856,60.37735849056604,4.571428571428571,57.14285714285714,53,-3.2345013477088997
James Harden,32,5.125,57.3170731707317,5.875,63.63636363636363,164,6.31929046563193
Derrick Jones Jr.,17,3.235294117647059,72.72727272727273,4.705882352941177,62.5,55,-10.227272727272734
Quentin Grimes,31,3.7419354838709675,60.3448275862069,4.516129032258065,54.54545454545454,116,-5.799373040752357
Domantas Sabonis,11,9.545454545454545,56.19047619047619,10.727272727272727,47.82608695652174,105,-8.364389233954448
Collin Murray-Boyles,28,3.6785714285714284,61.165048543689316,4.5,50.0,103,-11.165048543689316
Bilal Coulibaly,19,3.9473684210526314,53.333333333333336,4.2105263157894735,55.55555555555556,75,2.2222222222222214
Brandon Williams,32,5.0625,54.93827160493827,5.5625,60.60606060606061,162,5.667789001122337
Dominick Barlow,23,3.9565217391304346,69.23076923076923,5.478260869565218,66.66666666666666,91,-2.564102564102569
Peyton Watson,31,4.741935483870968,60.544217687074834,5.741935483870968,60.71428571428571,147,0.1700680272108741
Tyrese Martin,29,2.2758620689655173,51.515151515151516,2.3448275862068964,25.0,66,-26.515151515151516
Joel Embiid,16,5.625,61.111111111111114,6.875,54.761904761904766,90,-6.349206349206348
Tyler Kolek,28,1.7857142857142858,60.0,2.142857142857143,62.5,50,2.5
Kelly Oubre Jr.,12,4.75,66.66666666666666,6.333333333333333,80.0,57,13.333333333333343
Davion Mitchell,33,3.484848484848485,55.65217391304348,3.878787878787879,55.55555555555556,115,-0.09661835748791958
Stephen Curry,26,4.576923076923077,64.70588235294117,5.923076923076923,70.0,119,5.294117647058826
Drew Eubanks,26,2.6538461538461537,68.11594202898551,3.6153846153846154,81.81818181818183,69,13.702239789196312
Tyrese Maxey,31,8.709677419354838,58.51851851851851,10.193548387096774,71.11111111111111,270,12.592592592592602
OG Anunoby,25,4.76,62.18487394957983,5.92,60.0,119,-2.1848739495798313
Gary Payton II,29,2.896551724137931,65.47619047619048,3.793103448275862,77.77777777777779,84,12.301587301587304
