game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-21,Cason Wallace,Oklahoma City Thunder,OKC vs. HOU,7.5,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),6,OVER,10.2,9.1,57.7,194,14,WIN,6.5,90.91
2025-10-21,Kevin Durant,Houston Rockets,HOU @ OKC,24.13157894736842,6.454545454545454,20-25 (Star),6-10 Dog,Perimeter (<40.0%),4,OVER,11.1,9.6,58.2,67,23,LOSS,-1.1315789473684212,-100.0
2025-10-21,Alex Caruso,Oklahoma City Thunder,OKC vs. HOU,8.863636363636363,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),6,OVER,10.2,9.1,57.7,194,8,LOSS,-0.8636363636363633,-100.0
2025-10-21,Luguentz Dort,Oklahoma City Thunder,OKC vs. HOU,9.5,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),6,OVER,10.2,9.1,57.7,194,6,LOSS,-3.5,-100.0
2025-10-21,Deandre Ayton,Los Angeles Lakers,LAL vs. GSW,14.166666666666666,2.5454545454545454,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),13,UNDER,7.1,4.7,56.1,148,10,WIN,-4.166666666666666,90.91
2025-10-22,Victor Wembanyama,San Antonio Spurs,SAS @ DAL,24.5,3.590909090909091,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),1,UNDER,15.9,9.4,60.7,56,40,LOSS,15.5,-100.0
2025-10-22,Tyrese Maxey,Philadelphia 76ers,PHI @ BOS,25.35,5.0,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),3,OVER,14.5,11.4,60.0,85,40,WIN,14.649999999999999,90.91
2025-10-22,OG Anunoby,New York Knicks,NYK vs. CLE,16.147058823529413,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),11,UNDER,7.7,5.1,56.4,101,24,LOSS,7.852941176470587,-100.0
2025-10-22,Zion Williamson,New Orleans Pelicans,NOP @ MEM,24.92105263157895,4.090909090909091,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),1,UNDER,15.9,9.4,60.7,56,27,LOSS,2.0789473684210513,-100.0
2025-10-22,Walker Kessler,Utah Jazz,UTA vs. LAC,10.625,9.590909090909092,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),9,UNDER,9.1,5.8,57.1,98,22,LOSS,11.375,-100.0
2025-10-22,Evan Mobley,Cleveland Cavaliers,CLE @ NYK,18.264705882352946,-1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),15,UNDER,6.1,4.2,55.6,54,22,LOSS,3.7352941176470544,-100.0
2025-10-22,RJ Barrett,Toronto Raptors,TOR @ ATL,17.735294117647058,5.545454545454546,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),14,UNDER,6.7,4.5,55.9,102,25,LOSS,7.264705882352942,-100.0
2025-10-22,Scottie Barnes,Toronto Raptors,TOR @ ATL,18.166666666666668,5.545454545454546,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),14,UNDER,6.7,4.5,55.9,102,22,LOSS,3.833333333333332,-100.0
2025-10-22,Stephon Castle,San Antonio Spurs,SAS @ DAL,16.558823529411764,3.590909090909091,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),14,UNDER,6.7,4.5,55.9,102,22,LOSS,5.4411764705882355,-100.0
2025-10-22,Mikal Bridges,New York Knicks,NYK vs. CLE,16.3125,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),11,UNDER,7.7,5.1,56.4,101,16,WIN,-0.3125,90.91
2025-10-22,Lauri Markkanen,Utah Jazz,UTA vs. LAC,21.7,9.590909090909092,20-25 (Star),6-10 Dog,Perimeter (<40.0%),4,OVER,11.1,9.6,58.2,67,20,LOSS,-1.6999999999999993,-100.0
2025-10-22,Matas Buzelis,Chicago Bulls,CHI vs. DET,16.055555555555557,3.1818181818181817,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),14,UNDER,6.7,4.5,55.9,102,21,LOSS,4.944444444444443,-100.0
2025-10-22,Shaedon Sharpe,Portland Trail Blazers,POR vs. MIN,20.394736842105264,5.0,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),1,UNDER,15.9,9.4,60.7,56,15,WIN,-5.394736842105264,90.91
2025-10-22,Saddiq Bey,New Orleans Pelicans,NOP @ MEM,10.166666666666666,4.090909090909091,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),13,UNDER,7.1,4.7,56.1,148,13,LOSS,2.833333333333334,-100.0
