strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
6,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,10.2,57.7,194,193,89,104,0,46.1139896373057,-2309.0100000000007,-11.963782383419693,-22.163782383419694,2025-26
12,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,7.5,56.3,159,159,89,69,1,56.32911392405063,1190.989999999999,7.490503144654083,-0.009496855345917155,2025-26
13,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),UNDER,7.1,56.1,148,133,65,68,0,48.87218045112782,-890.8500000000005,-6.698120300751883,-13.798120300751883,2025-26
5,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,10.6,57.9,108,122,70,52,0,57.377049180327866,1163.6999999999994,9.538524590163929,-1.0614754098360706,2025-26
9,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,9.1,57.1,98,114,55,59,0,48.24561403508772,-899.9500000000003,-7.894298245614037,-16.994298245614036,2025-26
8,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,10.0,57.6,125,109,63,45,1,58.333333333333336,1227.33,11.259908256880733,1.259908256880733,2025-26
11,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,7.7,56.4,101,101,57,44,0,56.43564356435643,781.8699999999995,7.741287128712866,0.04128712871286577,2025-26
4,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,11.1,58.2,67,99,53,46,0,53.535353535353536,218.22999999999982,2.2043434343434325,-8.895656565656568,2025-26
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,23.0,64.4,90,91,59,32,0,64.83516483516483,2163.689999999999,23.77681318681318,0.7768131868131789,2025-26
7,10-15 (Role Player),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,10.1,57.6,85,86,50,36,0,58.139534883720934,945.4999999999997,10.994186046511624,0.8941860465116243,2025-26
14,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.7,55.9,102,84,44,40,0,52.38095238095239,0.03999999999979309,0.000476190476188013,-6.6995238095238125,2025-26
10,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,8.7,56.9,65,77,41,35,1,53.94736842105263,227.3099999999997,2.952077922077918,-5.747922077922081,2025-26
2,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,15.2,60.3,58,57,26,31,0,45.614035087719294,-736.3400000000001,-12.91824561403509,-28.11824561403509,2025-26
15,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,6.1,55.6,54,54,30,24,0,55.55555555555556,327.2999999999997,6.0611111111111065,-0.03888888888889319,2025-26
3,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,14.5,60.0,85,48,22,26,0,45.83333333333333,-599.9800000000002,-12.499583333333339,-26.99958333333334,2025-26
1,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,15.9,60.7,56,43,29,14,0,67.44186046511628,1236.3899999999999,28.753255813953487,12.853255813953487,2025-26
