team,games,ats_record,ats_win_pct,avg_game_margin,avg_game_margin_fav,avg_game_margin_dog,avg_ats_margin,avg_ats_margin_fav,avg_ats_margin_dog,avg_betting_line,avg_betting_line_fav,avg_betting_line_dog,actual_record,actual_win_pct,home_ats_pct,away_ats_pct,as_fav_ats_pct,as_dog_ats_pct,as_fav_games,as_dog_games,as_fav_wins,as_fav_losses,as_fav_pushes,as_dog_wins,as_dog_losses,as_dog_pushes
Phoenix Suns,34,23-11-0,0.6764705882352942,2.0588235294117645,13.6,-7.052631578947368,3.8529411764705883,8.966666666666667,-0.18421052631578946,1.7941176470588236,-4.633333333333334,6.868421052631579,20-14,0.5882352941176471,0.75,0.6111111111111112,0.8666666666666667,0.5263157894736842,15,19,13,2,0,10,9,0
Philadelphia 76ers,33,20-13-0,0.6060606060606061,0.9090909090909091,6.647058823529412,-5.1875,0.8636363636363636,2.1470588235294117,-0.5,-0.045454545454545456,-4.5,4.6875,19-14,0.5757575757575758,0.47058823529411764,0.75,0.6470588235294118,0.5625,17,16,11,6,0,9,7,0
Denver Nuggets,34,20-14-0,0.5882352941176471,6.764705882352941,8.785714285714286,-2.6666666666666665,1.088235294117647,0.8571428571428571,2.1666666666666665,-5.676470588235294,-7.928571428571429,4.833333333333333,23-11,0.6764705882352942,0.6,0.5789473684210527,0.5714285714285714,0.6666666666666666,28,6,16,12,0,4,2,0
Boston Celtics,34,20-14-0,0.5882352941176471,7.117647058823529,10.0,1.8333333333333333,3.4411764705882355,2.409090909090909,5.333333333333333,-3.676470588235294,-7.590909090909091,3.5,22-12,0.6470588235294118,0.5333333333333333,0.631578947368421,0.5454545454545454,0.6666666666666666,22,12,12,10,0,8,4,0
New Orleans Pelicans,36,21-15-0,0.5833333333333334,-7.666666666666667,11.5,-8.794117647058824,-0.2222222222222222,9.0,-0.7647058823529411,7.444444444444445,-2.5,8.029411764705882,8-28,0.2222222222222222,0.6363636363636364,0.5,1.0,0.5588235294117647,2,34,2,0,0,19,15,0
Miami Heat,35,20-15-0,0.5714285714285714,3.1142857142857143,3.625,2.6842105263157894,3.0714285714285716,-2.4375,7.7105263157894735,-0.04285714285714286,-6.0625,5.026315789473684,19-16,0.5428571428571428,0.5555555555555556,0.5882352941176471,0.5,0.631578947368421,16,19,8,8,0,12,7,0
Charlotte Hornets,35,20-15-0,0.5714285714285714,-2.6285714285714286,3.5,-3.4193548387096775,2.3285714285714287,-1.25,2.7903225806451615,4.957142857142857,-4.75,6.209677419354839,12-23,0.34285714285714286,0.5882352941176471,0.5555555555555556,0.5,0.5806451612903226,4,31,2,2,0,18,13,0
Houston Rockets,32,18-14-0,0.5625,8.59375,9.066666666666666,1.5,1.375,1.0333333333333334,6.5,-7.21875,-8.033333333333333,5.0,21-11,0.65625,0.5,0.6,0.5333333333333333,1.0,30,2,16,14,0,2,0,0
Los Angeles Lakers,32,18-14-0,0.5625,-0.1875,4.111111111111111,-5.714285714285714,-2.46875,-3.1666666666666665,-1.5714285714285714,-2.28125,-7.277777777777778,4.142857142857143,21-11,0.65625,0.5333333333333333,0.5882352941176471,0.6111111111111112,0.5,18,14,11,7,0,7,7,0
Utah Jazz,34,19-15-0,0.5588235294117647,-7.0588235294117645,0.75,-8.1,0.8235294117647058,-2.0,1.2,7.882352941176471,-2.75,9.3,12-22,0.35294117647058826,0.6842105263157895,0.4,0.75,0.5333333333333333,4,30,3,1,0,16,14,0
