team,games,ats_record,ats_win_pct,avg_game_margin,avg_game_margin_fav,avg_game_margin_dog,avg_ats_margin,avg_ats_margin_fav,avg_ats_margin_dog,avg_betting_line,avg_betting_line_fav,avg_betting_line_dog,actual_record,actual_win_pct,home_ats_pct,away_ats_pct,as_fav_ats_pct,as_dog_ats_pct,as_fav_games,as_dog_games,as_fav_wins,as_fav_losses,as_fav_pushes,as_dog_wins,as_dog_losses,as_dog_pushes
San Antonio Spurs,35,19-16-0,0.5428571428571428,5.571428571428571,5.454545454545454,5.769230769230769,3.3857142857142857,-1.4090909090909092,11.5,-2.1857142857142855,-6.863636363636363,5.730769230769231,25-10,0.7142857142857143,0.5882352941176471,0.5,0.45454545454545453,0.6923076923076923,22,13,10,12,0,9,4,0
Oklahoma City Thunder,35,19-16-0,0.5428571428571428,15.257142857142858,15.257142857142858,0.0,3.2714285714285714,3.2714285714285714,0.0,-11.985714285714286,-11.985714285714286,0.0,30-5,0.8571428571428571,0.5789473684210527,0.5,0.5428571428571428,0.0,35,0,19,16,0,0,0,0
Detroit Pistons,34,18-16-0,0.5294117647058824,6.088235294117647,6.571428571428571,3.8333333333333335,1.0294117647058822,-0.21428571428571427,6.833333333333333,-5.0588235294117645,-6.785714285714286,3.0,25-9,0.7352941176470589,0.5625,0.5,0.4642857142857143,0.8333333333333334,28,6,13,15,0,5,1,0
Portland Trail Blazers,36,19-17-0,0.5277777777777778,-3.3333333333333335,-1.9230769230769231,-4.130434782608695,-0.8611111111111112,-6.5,2.3260869565217392,2.4722222222222223,-4.576923076923077,6.456521739130435,16-20,0.4444444444444444,0.5625,0.5,0.3076923076923077,0.6521739130434783,13,23,4,9,0,15,8,0
Chicago Bulls,35,18-17-0,0.5142857142857142,-3.5142857142857142,-5.470588235294118,-1.6666666666666667,-2.557142857142857,-9.323529411764707,3.8333333333333335,0.9571428571428572,-3.8529411764705883,5.5,17-18,0.4857142857142857,0.5263157894736842,0.5,0.23529411764705882,0.7777777777777778,17,18,4,13,0,14,4,0
New York Knicks,35,18-17-0,0.5142857142857142,5.485714285714286,7.033333333333333,-3.8,0.15714285714285714,0.3,-0.7,-5.328571428571428,-6.733333333333333,3.1,23-12,0.6571428571428571,0.6842105263157895,0.3125,0.5333333333333333,0.4,30,5,16,14,0,2,3,0
Atlanta Hawks,37,18-19-0,0.4864864864864865,-0.9459459459459459,0.0,-1.75,-0.14864864864864866,-5.029411764705882,4.0,0.7972972972972973,-5.029411764705882,5.75,17-20,0.4594594594594595,0.35294117647058826,0.6,0.29411764705882354,0.65,17,20,5,12,0,13,7,0
Indiana Pacers,35,17-18-0,0.4857142857142857,-9.114285714285714,-1.6,-10.366666666666667,-3.9571428571428573,-7.5,-3.3666666666666667,5.1571428571428575,-5.9,7.0,6-29,0.17142857142857143,0.5263157894736842,0.4375,0.4,0.5,5,30,2,3,0,15,15,0
Brooklyn Nets,32,15-17-0,0.46875,-5.34375,18.0,-6.096774193548387,3.21875,14.5,2.8548387096774195,8.5625,-3.5,8.951612903225806,10-22,0.3125,0.4117647058823529,0.5333333333333333,1.0,0.45161290322580644,1,31,1,0,0,14,17,0
Milwaukee Bucks,35,16-19-0,0.45714285714285713,-2.742857142857143,-0.4375,-4.684210526315789,-2.1,-6.0625,1.236842105263158,0.6428571428571429,-5.625,5.921052631578948,15-20,0.42857142857142855,0.4444444444444444,0.47058823529411764,0.375,0.5263157894736842,16,19,6,10,0,10,9,0
Golden State Warriors,36,16-20-0,0.4444444444444444,1.25,5.32,-8.0,-1.4166666666666667,-1.5,-1.2272727272727273,-2.6666666666666665,-6.82,6.7727272727272725,19-17,0.5277777777777778,0.5,0.4,0.44,0.45454545454545453,25,11,11,14,0,5,6,0
Dallas Mavericks,36,16-20-0,0.4444444444444444,-4.0,-4.5,-3.8076923076923075,-0.6388888888888888,-9.4,2.730769230769231,3.361111111111111,-4.9,6.538461538461538,13-23,0.3611111111111111,0.55,0.3125,0.2,0.5384615384615384,10,26,2,8,0,14,12,0
Toronto Raptors,36,16-20-0,0.4444444444444444,1.75,2.409090909090909,0.7142857142857143,0.1111111111111111,-3.5,5.785714285714286,-1.6388888888888888,-5.909090909090909,5.071428571428571,21-15,0.5833333333333334,0.3684210526315789,0.5294117647058824,0.36363636363636365,0.5714285714285714,22,14,8,14,0,8,6,0
Memphis Grizzlies,34,15-19-0,0.4411764705882353,-0.8529411764705882,7.4,-7.368421052631579,0.8529411764705882,2.8333333333333335,-0.7105263157894737,1.7058823529411764,-4.566666666666666,6.657894736842105,15-19,0.4411764705882353,0.4375,0.4444444444444444,0.6666666666666666,0.2631578947368421,15,19,10,5,0,5,14,0
Washington Wizards,33,14-19-0,0.42424242424242425,-10.515151515151516,-9.666666666666666,-10.6,-0.4393939393939394,-11.833333333333334,0.7,10.075757575757576,-2.1666666666666665,11.3,9-24,0.2727272727272727,0.4375,0.4117647058823529,0.3333333333333333,0.43333333333333335,3,30,1,2,0,13,17,0
LA Clippers,34,14-20-0,0.4117647058823529,-2.176470588235294,0.5,-5.1875,-2.6176470588235294,-5.888888888888889,1.0625,-0.4411764705882353,-6.388888888888889,6.25,12-22,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.3333333333333333,0.5,18,16,6,12,0,8,8,0
Minnesota Timberwolves,35,14-21-0,0.4,4.3428571428571425,7.107142857142857,-6.714285714285714,-1.4428571428571428,-1.3214285714285714,-1.9285714285714286,-5.785714285714286,-8.428571428571429,4.785714285714286,22-13,0.6285714285714286,0.3888888888888889,0.4117647058823529,0.39285714285714285,0.42857142857142855,28,7,11,17,0,3,4,0
Orlando Magic,35,14-21-0,0.4,1.4285714285714286,3.44,-3.6,-1.0714285714285714,-1.82,0.8,-2.5,-5.26,4.4,19-16,0.5428571428571428,0.4117647058823529,0.3888888888888889,0.36,0.5,25,10,9,16,0,5,5,0
Sacramento Kings,35,12-23-0,0.34285714285714286,-11.82857142857143,-0.3333333333333333,-12.90625,-4.5285714285714285,-4.166666666666667,-4.5625,7.3,-3.8333333333333335,8.34375,8-27,0.22857142857142856,0.3125,0.3684210526315789,0.3333333333333333,0.34375,3,32,1,2,0,11,21,0
Cleveland Cavaliers,36,12-24-0,0.3333333333333333,2.5555555555555554,3.533333333333333,-2.3333333333333335,-3.75,-4.666666666666667,0.8333333333333334,-6.305555555555555,-8.2,3.1666666666666665,20-16,0.5555555555555556,0.2857142857142857,0.4,0.3,0.5,30,6,9,21,0,3,3,0
