team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
Brooklyn Nets,2025-10-27,Houston Rockets,Away,15.5,-28,-12.5,L,Underdog,109,137
Houston Rockets,2025-10-27,Brooklyn Nets,Home,-15.5,28,12.5,W,Favorite,137,109
Boston Celtics,2025-12-04,Washington Wizards,Away,-10.5,45,34.5,W,Favorite,146,101
Washington Wizards,2025-12-04,Boston Celtics,Home,10.5,-45,-34.5,L,Underdog,101,146
Portland Trail Blazers,2025-12-11,New Orleans Pelicans,Away,-4.5,-23,-27.5,L,Favorite,120,143
New Orleans Pelicans,2025-12-11,Portland Trail Blazers,Home,4.5,23,27.5,W,Underdog,143,120
Atlanta Hawks,2025-12-01,Detroit Pistons,Away,9.5,-1,8.5,W,Underdog,98,99
Detroit Pistons,2025-12-01,Atlanta Hawks,Home,-9.5,1,-8.5,L,Favorite,99,98
Minnesota Timberwolves,2025-12-12,Golden State Warriors,Away,5.5,7,12.5,W,Underdog,127,120
Golden State Warriors,2025-12-12,Minnesota Timberwolves,Home,-5.5,-7,-12.5,L,Favorite,120,127
Charlotte Hornets,2025-12-05,Toronto Raptors,Away,7.5,25,32.5,W,Underdog,111,86
Toronto Raptors,2025-12-05,Charlotte Hornets,Home,-7.5,-25,-32.5,L,Favorite,86,111
Memphis Grizzlies,2025-12-17,Minnesota Timberwolves,Away,6.5,6,12.5,W,Underdog,116,110
Minnesota Timberwolves,2025-12-17,Memphis Grizzlies,Home,-6.5,-6,-12.5,L,Favorite,110,116
Miami Heat,2025-12-21,New York Knicks,Away,7.5,-7,0.5,W,Underdog,125,132
New York Knicks,2025-12-21,Miami Heat,Home,-7.5,7,-0.5,L,Favorite,132,125
Indiana Pacers,2025-11-11,Utah Jazz,Away,-2.5,-24,-26.5,L,Favorite,128,152
Utah Jazz,2025-11-11,Indiana Pacers,Home,2.5,24,26.5,W,Underdog,152,128
Los Angeles Lakers,2025-11-10,Charlotte Hornets,Away,-8.5,10,1.5,W,Favorite,121,111
Charlotte Hornets,2025-11-10,Los Angeles Lakers,Home,8.5,-10,-1.5,L,Underdog,111,121
Chicago Bulls,2025-11-16,Utah Jazz,Away,-4.5,-3,-7.5,L,Favorite,147,150
Utah Jazz,2025-11-16,Chicago Bulls,Home,4.5,3,7.5,W,Underdog,150,147
San Antonio Spurs,2025-11-10,Chicago Bulls,Away,-5.5,4,-1.5,L,Favorite,121,117
Chicago Bulls,2025-11-10,San Antonio Spurs,Home,5.5,-4,1.5,W,Underdog,117,121
Indiana Pacers,2025-12-27,Miami Heat,Away,6.5,-26,-19.5,L,Underdog,116,142
Miami Heat,2025-12-27,Indiana Pacers,Home,-6.5,26,19.5,W,Favorite,142,116
Philadelphia 76ers,2025-11-28,Brooklyn Nets,Away,-6.5,12,5.5,W,Favorite,115,103
Brooklyn Nets,2025-11-28,Philadelphia 76ers,Home,6.5,-12,-5.5,L,Underdog,103,115
Golden State Warriors,2025-12-29,Brooklyn Nets,Away,-6.5,13,6.5,W,Favorite,120,107
Brooklyn Nets,2025-12-29,Golden State Warriors,Home,6.5,-13,-6.5,L,Underdog,107,120
Philadelphia 76ers,2025-12-26,Chicago Bulls,Away,-1.5,-7,-8.5,L,Favorite,102,109
Chicago Bulls,2025-12-26,Philadelphia 76ers,Home,1.5,7,8.5,W,Underdog,109,102
Orlando Magic,2025-12-20,Utah Jazz,Away,-8.5,1,-7.5,L,Favorite,128,127
Utah Jazz,2025-12-20,Orlando Magic,Home,8.5,-1,7.5,W,Underdog,127,128
Oklahoma City Thunder,2026-01-02,Golden State Warriors,Away,-13.5,37,23.5,W,Favorite,131,94
Golden State Warriors,2026-01-02,Oklahoma City Thunder,Home,13.5,-37,-23.5,L,Underdog,94,131
Memphis Grizzlies,2025-12-23,Utah Jazz,Away,-4.5,9,4.5,W,Favorite,137,128
Utah Jazz,2025-12-23,Memphis Grizzlies,Home,4.5,-9,-4.5,L,Underdog,128,137
Phoenix Suns,2025-10-25,Denver Nuggets,Away,12.5,-22,-9.5,L,Underdog,111,133
Denver Nuggets,2025-10-25,Phoenix Suns,Home,-12.5,22,9.5,W,Favorite,133,111
Oklahoma City Thunder,2025-12-02,Golden State Warriors,Away,-10.5,12,1.5,W,Favorite,124,112
Golden State Warriors,2025-12-02,Oklahoma City Thunder,Home,10.5,-12,-1.5,L,Underdog,112,124
LA Clippers,2025-12-11,Houston Rockets,Away,8.5,-2,6.5,W,Underdog,113,115
Houston Rockets,2025-12-11,LA Clippers,Home,-8.5,2,-6.5,L,Favorite,115,113
Detroit Pistons,2025-11-24,Indiana Pacers,Away,-9.5,5,-4.5,L,Favorite,122,117
Indiana Pacers,2025-11-24,Detroit Pistons,Home,9.5,-5,4.5,W,Underdog,117,122
Portland Trail Blazers,2025-11-21,Golden State Warriors,Away,10.5,4,14.5,W,Underdog,127,123
Golden State Warriors,2025-11-21,Portland Trail Blazers,Home,-10.5,-4,-14.5,L,Favorite,123,127
Detroit Pistons,2025-11-22,Milwaukee Bucks,Away,-8.5,13,4.5,W,Favorite,129,116
Milwaukee Bucks,2025-11-22,Detroit Pistons,Home,8.5,-13,-4.5,L,Underdog,116,129
Golden State Warriors,2025-11-14,San Antonio Spurs,Away,2.5,1,3.5,W,Underdog,109,108
San Antonio Spurs,2025-11-14,Golden State Warriors,Home,-2.5,-1,-3.5,L,Favorite,108,109
Dallas Mavericks,2025-11-17,Minnesota Timberwolves,Away,14.5,-24,-9.5,L,Underdog,96,120
Minnesota Timberwolves,2025-11-17,Dallas Mavericks,Home,-14.5,24,9.5,W,Favorite,120,96
Charlotte Hornets,2025-12-22,Cleveland Cavaliers,Away,9.5,-7,2.5,W,Underdog,132,139
Cleveland Cavaliers,2025-12-22,Charlotte Hornets,Home,-9.5,7,-2.5,L,Favorite,139,132
San Antonio Spurs,2025-11-05,Los Angeles Lakers,Away,1.5,-2,-0.5,L,Underdog,116,118
Los Angeles Lakers,2025-11-05,San Antonio Spurs,Home,-1.5,2,0.5,W,Favorite,118,116
Oklahoma City Thunder,2025-11-15,Charlotte Hornets,Away,-17.5,13,-4.5,L,Favorite,109,96
Charlotte Hornets,2025-11-15,Oklahoma City Thunder,Home,17.5,-13,4.5,W,Underdog,96,109
Atlanta Hawks,2025-11-30,Philadelphia 76ers,Away,2.5,8,10.5,W,Underdog,142,134
Philadelphia 76ers,2025-11-30,Atlanta Hawks,Home,-2.5,-8,-10.5,L,Favorite,134,142
Phoenix Suns,2025-11-08,LA Clippers,Away,4.5,11,15.5,W,Underdog,114,103
LA Clippers,2025-11-08,Phoenix Suns,Home,-4.5,-11,-15.5,L,Favorite,103,114
Los Angeles Lakers,2025-12-20,LA Clippers,Away,-1.5,-15,-16.5,L,Favorite,88,103
LA Clippers,2025-12-20,Los Angeles Lakers,Home,1.5,15,16.5,W,Underdog,103,88
Orlando Magic,2025-10-29,Detroit Pistons,Away,-1.5,-19,-20.5,L,Favorite,116,135
Detroit Pistons,2025-10-29,Orlando Magic,Home,1.5,19,20.5,W,Underdog,135,116
San Antonio Spurs,2025-12-25,Oklahoma City Thunder,Away,9.5,15,24.5,W,Underdog,117,102
Oklahoma City Thunder,2025-12-25,San Antonio Spurs,Home,-9.5,-15,-24.5,L,Favorite,102,117
Houston Rockets,2025-12-18,New Orleans Pelicans,Away,-9.5,-5,-14.5,L,Favorite,128,133
New Orleans Pelicans,2025-12-18,Houston Rockets,Home,9.5,5,14.5,W,Underdog,133,128
Portland Trail Blazers,2026-01-03,San Antonio Spurs,Away,8.5,5,13.5,W,Underdog,115,110
San Antonio Spurs,2026-01-03,Portland Trail Blazers,Home,-8.5,-5,-13.5,L,Favorite,110,115
LA Clippers,2025-12-18,Oklahoma City Thunder,Away,16.5,-21,-4.5,L,Underdog,101,122
Oklahoma City Thunder,2025-12-18,LA Clippers,Home,-16.5,21,4.5,W,Favorite,122,101
Milwaukee Bucks,2025-11-10,Dallas Mavericks,Away,-3.5,2,-1.5,L,Favorite,116,114
Dallas Mavericks,2025-11-10,Milwaukee Bucks,Home,3.5,-2,1.5,W,Underdog,114,116
Orlando Magic,2025-12-29,Toronto Raptors,Away,-1.5,-1,-2.5,L,Favorite,106,107
Toronto Raptors,2025-12-29,Orlando Magic,Home,1.5,1,2.5,W,Underdog,107,106
Atlanta Hawks,2025-12-06,Washington Wizards,Away,-9.5,15,5.5,W,Favorite,131,116
Washington Wizards,2025-12-06,Atlanta Hawks,Home,9.5,-15,-5.5,L,Underdog,116,131
Detroit Pistons,2025-12-22,Portland Trail Blazers,Away,-6.5,8,1.5,W,Favorite,110,102
Portland Trail Blazers,2025-12-22,Detroit Pistons,Home,6.5,-8,-1.5,L,Underdog,102,110
Golden State Warriors,2025-11-11,Oklahoma City Thunder,Away,7.5,-24,-16.5,L,Underdog,102,126
Oklahoma City Thunder,2025-11-11,Golden State Warriors,Home,-7.5,24,16.5,W,Favorite,126,102
Indiana Pacers,2025-11-26,Toronto Raptors,Away,10.5,-2,8.5,W,Underdog,95,97
Toronto Raptors,2025-11-26,Indiana Pacers,Home,-10.5,2,-8.5,L,Favorite,97,95
Portland Trail Blazers,2025-12-07,Memphis Grizzlies,Away,1.5,-23,-21.5,L,Underdog,96,119
Memphis Grizzlies,2025-12-07,Portland Trail Blazers,Home,-1.5,23,21.5,W,Favorite,119,96
Boston Celtics,2025-10-26,Detroit Pistons,Away,2.5,-6,-3.5,L,Underdog,113,119
Detroit Pistons,2025-10-26,Boston Celtics,Home,-2.5,6,3.5,W,Favorite,119,113
Oklahoma City Thunder,2025-11-09,Memphis Grizzlies,Away,-10.5,14,3.5,W,Favorite,114,100
Memphis Grizzlies,2025-11-09,Oklahoma City Thunder,Home,10.5,-14,-3.5,L,Underdog,100,114
Phoenix Suns,2025-10-24,LA Clippers,Away,10.5,-27,-16.5,L,Underdog,102,129
LA Clippers,2025-10-24,Phoenix Suns,Home,-10.5,27,16.5,W,Favorite,129,102
Oklahoma City Thunder,2025-11-04,LA Clippers,Away,-8.5,19,10.5,W,Favorite,126,107
LA Clippers,2025-11-04,Oklahoma City Thunder,Home,8.5,-19,-10.5,L,Underdog,107,126
LA Clippers,2025-12-06,Minnesota Timberwolves,Away,8.5,-3,5.5,W,Underdog,106,109
Minnesota Timberwolves,2025-12-06,LA Clippers,Home,-8.5,3,-5.5,L,Favorite,109,106
Boston Celtics,2025-12-30,Utah Jazz,Away,-8.5,10,1.5,W,Favorite,129,119
Utah Jazz,2025-12-30,Boston Celtics,Home,8.5,-10,-1.5,L,Underdog,119,129
Houston Rockets,2025-10-29,Toronto Raptors,Away,-5.5,18,12.5,W,Favorite,139,121
Toronto Raptors,2025-10-29,Houston Rockets,Home,5.5,-18,-12.5,L,Underdog,121,139
New York Knicks,2025-12-09,Toronto Raptors,Away,-6.5,16,9.5,W,Favorite,117,101
Toronto Raptors,2025-12-09,New York Knicks,Home,6.5,-16,-9.5,L,Underdog,101,117
Phoenix Suns,2025-12-20,Golden State Warriors,Away,5.5,-3,2.5,W,Underdog,116,119
Golden State Warriors,2025-12-20,Phoenix Suns,Home,-5.5,3,-2.5,L,Favorite,119,116
Chicago Bulls,2025-11-28,Charlotte Hornets,Away,-2.5,-7,-9.5,L,Favorite,116,123
Charlotte Hornets,2025-11-28,Chicago Bulls,Home,2.5,7,9.5,W,Underdog,123,116
Indiana Pacers,2025-11-21,Cleveland Cavaliers,Away,15.5,-11,4.5,W,Underdog,109,120
Cleveland Cavaliers,2025-11-21,Indiana Pacers,Home,-15.5,11,-4.5,L,Favorite,120,109
Brooklyn Nets,2025-11-21,Boston Celtics,Away,14.5,8,22.5,W,Underdog,113,105
Boston Celtics,2025-11-21,Brooklyn Nets,Home,-14.5,-8,-22.5,L,Favorite,105,113
Miami Heat,2025-12-03,Dallas Mavericks,Away,-4.5,-10,-14.5,L,Favorite,108,118
Dallas Mavericks,2025-12-03,Miami Heat,Home,4.5,10,14.5,W,Underdog,118,108
Cleveland Cavaliers,2025-11-12,Miami Heat,Away,5.5,14,19.5,W,Underdog,130,116
Miami Heat,2025-11-12,Cleveland Cavaliers,Home,-5.5,-14,-19.5,L,Favorite,116,130
LA Clippers,2025-12-01,Miami Heat,Away,6.5,-17,-10.5,L,Underdog,123,140
Miami Heat,2025-12-01,LA Clippers,Home,-6.5,17,10.5,W,Favorite,140,123
Oklahoma City Thunder,2025-10-27,Dallas Mavericks,Away,-8.5,7,-1.5,L,Favorite,101,94
Dallas Mavericks,2025-10-27,Oklahoma City Thunder,Home,8.5,-7,1.5,W,Underdog,94,101
Chicago Bulls,2025-12-19,Cleveland Cavaliers,Away,4.5,11,15.5,W,Underdog,136,125
Cleveland Cavaliers,2025-12-19,Chicago Bulls,Home,-4.5,-11,-15.5,L,Favorite,125,136
Miami Heat,2025-12-19,Boston Celtics,Away,7.5,-13,-5.5,L,Underdog,116,129
Boston Celtics,2025-12-19,Miami Heat,Home,-7.5,13,5.5,W,Favorite,129,116
Milwaukee Bucks,2025-12-26,Memphis Grizzlies,Away,5.5,-21,-15.5,L,Underdog,104,125
Memphis Grizzlies,2025-12-26,Milwaukee Bucks,Home,-5.5,21,15.5,W,Favorite,125,104
Cleveland Cavaliers,2025-10-27,Detroit Pistons,Away,-2.5,21,18.5,W,Favorite,116,95
Detroit Pistons,2025-10-27,Cleveland Cavaliers,Home,2.5,-21,-18.5,L,Underdog,95,116
Golden State Warriors,2025-12-14,Portland Trail Blazers,Away,-5.5,-5,-10.5,L,Favorite,131,136
Portland Trail Blazers,2025-12-14,Golden State Warriors,Home,5.5,5,10.5,W,Underdog,136,131
Portland Trail Blazers,2025-11-23,Oklahoma City Thunder,Away,15.5,-27,-11.5,L,Underdog,95,122
Oklahoma City Thunder,2025-11-23,Portland Trail Blazers,Home,-15.5,27,11.5,W,Favorite,122,95
Phoenix Suns,2025-12-01,Los Angeles Lakers,Away,5.5,17,22.5,W,Underdog,125,108
Los Angeles Lakers,2025-12-01,Phoenix Suns,Home,-5.5,-17,-22.5,L,Favorite,108,125
Cleveland Cavaliers,2025-11-24,Toronto Raptors,Away,1.5,-11,-9.5,L,Underdog,99,110
Toronto Raptors,2025-11-24,Cleveland Cavaliers,Home,-1.5,11,9.5,W,Favorite,110,99
Los Angeles Lakers,2025-11-14,New Orleans Pelicans,Away,-9.5,14,4.5,W,Favorite,118,104
New Orleans Pelicans,2025-11-14,Los Angeles Lakers,Home,9.5,-14,-4.5,L,Underdog,104,118
Milwaukee Bucks,2025-10-26,Cleveland Cavaliers,Away,6.5,-5,1.5,W,Underdog,113,118
Cleveland Cavaliers,2025-10-26,Milwaukee Bucks,Home,-6.5,5,-1.5,L,Favorite,118,113
Portland Trail Blazers,2026-01-02,New Orleans Pelicans,Away,-3.5,13,9.5,W,Favorite,122,109
New Orleans Pelicans,2026-01-02,Portland Trail Blazers,Home,3.5,-13,-9.5,L,Underdog,109,122
Phoenix Suns,2025-12-26,New Orleans Pelicans,Away,-5.5,7,1.5,W,Favorite,115,108
New Orleans Pelicans,2025-12-26,Phoenix Suns,Home,5.5,-7,-1.5,L,Underdog,108,115
Boston Celtics,2025-10-24,New York Knicks,Away,3.5,-10,-6.5,L,Underdog,95,105
New York Knicks,2025-10-24,Boston Celtics,Home,-3.5,10,6.5,W,Favorite,105,95
Brooklyn Nets,2025-11-09,New York Knicks,Away,15.5,-36,-20.5,L,Underdog,98,134
New York Knicks,2025-11-09,Brooklyn Nets,Home,-15.5,36,20.5,W,Favorite,134,98
Los Angeles Lakers,2025-10-29,Minnesota Timberwolves,Away,7.5,1,8.5,W,Underdog,116,115
Minnesota Timberwolves,2025-10-29,Los Angeles Lakers,Home,-7.5,-1,-8.5,L,Favorite,115,116
Dallas Mavericks,2025-12-27,Sacramento Kings,Away,-2.5,-6,-8.5,L,Favorite,107,113
Sacramento Kings,2025-12-27,Dallas Mavericks,Home,2.5,6,8.5,W,Underdog,113,107
Philadelphia 76ers,2025-11-20,Milwaukee Bucks,Away,-2.5,9,6.5,W,Favorite,123,114
Milwaukee Bucks,2025-11-20,Philadelphia 76ers,Home,2.5,-9,-6.5,L,Underdog,114,123
Brooklyn Nets,2025-11-23,Toronto Raptors,Away,12.5,-10,2.5,W,Underdog,109,119
Toronto Raptors,2025-11-23,Brooklyn Nets,Home,-12.5,10,-2.5,L,Favorite,119,109
New Orleans Pelicans,2025-10-29,Denver Nuggets,Away,12.5,-34,-21.5,L,Underdog,88,122
Denver Nuggets,2025-10-29,New Orleans Pelicans,Home,-12.5,34,21.5,W,Favorite,122,88
Washington Wizards,2025-10-22,Milwaukee Bucks,Away,9.5,-13,-3.5,L,Underdog,120,133
Milwaukee Bucks,2025-10-22,Washington Wizards,Home,-9.5,13,3.5,W,Favorite,133,120
Los Angeles Lakers,2025-12-05,Boston Celtics,Away,8.5,-21,-12.5,L,Underdog,105,126
Boston Celtics,2025-12-05,Los Angeles Lakers,Home,-8.5,21,12.5,W,Favorite,126,105
Miami Heat,2025-11-14,New York Knicks,Away,6.5,-8,-1.5,L,Underdog,132,140
New York Knicks,2025-11-14,Miami Heat,Home,-6.5,8,1.5,W,Favorite,140,132
Charlotte Hornets,2025-12-03,New York Knicks,Away,9.5,-15,-5.5,L,Underdog,104,119
New York Knicks,2025-12-03,Charlotte Hornets,Home,-9.5,15,5.5,W,Favorite,119,104
Minnesota Timberwolves,2025-11-26,Oklahoma City Thunder,Away,9.5,-8,1.5,W,Underdog,105,113
Oklahoma City Thunder,2025-11-26,Minnesota Timberwolves,Home,-9.5,8,-1.5,L,Favorite,113,105
Philadelphia 76ers,2025-10-28,Washington Wizards,Away,-4.5,5,0.5,W,Favorite,139,134
Washington Wizards,2025-10-28,Philadelphia 76ers,Home,4.5,-5,-0.5,L,Underdog,134,139
Phoenix Suns,2025-11-26,Sacramento Kings,Away,-4.5,12,7.5,W,Favorite,112,100
Sacramento Kings,2025-11-26,Phoenix Suns,Home,4.5,-12,-7.5,L,Underdog,100,112
Philadelphia 76ers,2025-12-19,New York Knicks,Away,6.5,9,15.5,W,Underdog,116,107
New York Knicks,2025-12-19,Philadelphia 76ers,Home,-6.5,-9,-15.5,L,Favorite,107,116
Portland Trail Blazers,2025-10-29,Utah Jazz,Away,-3.5,2,-1.5,L,Favorite,136,134
Utah Jazz,2025-10-29,Portland Trail Blazers,Home,3.5,-2,1.5,W,Underdog,134,136
Dallas Mavericks,2025-11-24,Miami Heat,Away,7.5,-4,3.5,W,Underdog,102,106
Miami Heat,2025-11-24,Dallas Mavericks,Home,-7.5,4,-3.5,L,Favorite,106,102
San Antonio Spurs,2025-10-24,New Orleans Pelicans,Away,-4.5,4,-0.5,L,Favorite,120,116
New Orleans Pelicans,2025-10-24,San Antonio Spurs,Home,4.5,-4,0.5,W,Underdog,116,120
Indiana Pacers,2025-12-20,New Orleans Pelicans,Away,2.5,-19,-16.5,L,Underdog,109,128
New Orleans Pelicans,2025-12-20,Indiana Pacers,Home,-2.5,19,16.5,W,Favorite,128,109
San Antonio Spurs,2025-12-08,New Orleans Pelicans,Away,-8.5,3,-5.5,L,Favorite,135,132
New Orleans Pelicans,2025-12-08,San Antonio Spurs,Home,8.5,-3,5.5,W,Underdog,132,135
Memphis Grizzlies,2025-11-11,New York Knicks,Away,9.5,-13,-3.5,L,Underdog,120,133
New York Knicks,2025-11-11,Memphis Grizzlies,Home,-9.5,13,3.5,W,Favorite,133,120
Toronto Raptors,2025-11-29,Charlotte Hornets,Away,-7.5,-7,-14.5,L,Favorite,111,118
Charlotte Hornets,2025-11-29,Toronto Raptors,Home,7.5,7,14.5,W,Underdog,118,111
Chicago Bulls,2025-11-24,New Orleans Pelicans,Away,-4.5,-13,-17.5,L,Favorite,130,143
New Orleans Pelicans,2025-11-24,Chicago Bulls,Home,4.5,13,17.5,W,Underdog,143,130
Sacramento Kings,2025-11-19,Oklahoma City Thunder,Away,18.5,-14,4.5,W,Underdog,99,113
Oklahoma City Thunder,2025-11-19,Sacramento Kings,Home,-18.5,14,-4.5,L,Favorite,113,99
Los Angeles Lakers,2025-12-07,Philadelphia 76ers,Away,-3.5,4,0.5,W,Favorite,112,108
Philadelphia 76ers,2025-12-07,Los Angeles Lakers,Home,3.5,-4,-0.5,L,Underdog,108,112
Minnesota Timberwolves,2025-12-25,Denver Nuggets,Away,1.5,-4,-2.5,L,Underdog,138,142
Denver Nuggets,2025-12-25,Minnesota Timberwolves,Home,-1.5,4,2.5,W,Favorite,142,138
Memphis Grizzlies,2025-11-15,Cleveland Cavaliers,Away,10.5,-8,2.5,W,Underdog,100,108
Cleveland Cavaliers,2025-11-15,Memphis Grizzlies,Home,-10.5,8,-2.5,L,Favorite,108,100
Toronto Raptors,2025-12-23,Miami Heat,Away,5.5,21,26.5,W,Underdog,112,91
Miami Heat,2025-12-23,Toronto Raptors,Home,-5.5,-21,-26.5,L,Favorite,91,112
Cleveland Cavaliers,2025-12-27,Houston Rockets,Away,2.5,-17,-14.5,L,Underdog,100,117
Houston Rockets,2025-12-27,Cleveland Cavaliers,Home,-2.5,17,14.5,W,Favorite,117,100
Brooklyn Nets,2025-12-27,Minnesota Timberwolves,Away,12.5,16,28.5,W,Underdog,123,107
Minnesota Timberwolves,2025-12-27,Brooklyn Nets,Home,-12.5,-16,-28.5,L,Favorite,107,123
Philadelphia 76ers,2025-12-05,Milwaukee Bucks,Away,-1.5,15,13.5,W,Favorite,116,101
Milwaukee Bucks,2025-12-05,Philadelphia 76ers,Home,1.5,-15,-13.5,L,Underdog,101,116
Milwaukee Bucks,2025-10-24,Toronto Raptors,Away,1.5,6,7.5,W,Underdog,122,116
Toronto Raptors,2025-10-24,Milwaukee Bucks,Home,-1.5,-6,-7.5,L,Favorite,116,122
Dallas Mavericks,2025-11-01,Detroit Pistons,Away,7.5,-12,-4.5,L,Underdog,110,122
Detroit Pistons,2025-11-01,Dallas Mavericks,Home,-7.5,12,4.5,W,Favorite,122,110
Portland Trail Blazers,2025-11-10,Orlando Magic,Away,1.5,-3,-1.5,L,Underdog,112,115
Orlando Magic,2025-11-10,Portland Trail Blazers,Home,-1.5,3,1.5,W,Favorite,115,112
Washington Wizards,2025-12-18,San Antonio Spurs,Away,15.5,-25,-9.5,L,Underdog,94,119
San Antonio Spurs,2025-12-18,Washington Wizards,Home,-15.5,25,9.5,W,Favorite,119,94
Denver Nuggets,2025-12-29,Miami Heat,Away,-1.5,-24,-25.5,L,Favorite,123,147
Miami Heat,2025-12-29,Denver Nuggets,Home,1.5,24,25.5,W,Underdog,147,123
Cleveland Cavaliers,2025-12-29,San Antonio Spurs,Away,3.5,12,15.5,W,Underdog,113,101
San Antonio Spurs,2025-12-29,Cleveland Cavaliers,Home,-3.5,-12,-15.5,L,Favorite,101,113
Atlanta Hawks,2025-11-13,Utah Jazz,Away,-1.5,10,8.5,W,Favorite,132,122
Utah Jazz,2025-11-13,Atlanta Hawks,Home,1.5,-10,-8.5,L,Underdog,122,132
Chicago Bulls,2025-12-23,Atlanta Hawks,Away,3.5,3,6.5,W,Underdog,126,123
Atlanta Hawks,2025-12-23,Chicago Bulls,Home,-3.5,-3,-6.5,L,Favorite,123,126
Washington Wizards,2025-11-28,Indiana Pacers,Away,6.5,-33,-26.5,L,Underdog,86,119
Indiana Pacers,2025-11-28,Washington Wizards,Home,-6.5,33,26.5,W,Favorite,119,86
Washington Wizards,2025-11-21,Toronto Raptors,Away,14.5,-30,-15.5,L,Underdog,110,140
Toronto Raptors,2025-11-21,Washington Wizards,Home,-14.5,30,15.5,W,Favorite,140,110
Milwaukee Bucks,2025-11-28,New York Knicks,Away,7.5,-9,-1.5,L,Underdog,109,118
New York Knicks,2025-11-28,Milwaukee Bucks,Home,-7.5,9,1.5,W,Favorite,118,109
Utah Jazz,2025-12-05,New York Knicks,Away,15.5,-34,-18.5,L,Underdog,112,146
New York Knicks,2025-12-05,Utah Jazz,Home,-15.5,34,18.5,W,Favorite,146,112
Charlotte Hornets,2025-12-20,Detroit Pistons,Away,10.5,-26,-15.5,L,Underdog,86,112
Detroit Pistons,2025-12-20,Charlotte Hornets,Home,-10.5,26,15.5,W,Favorite,112,86
Cleveland Cavaliers,2025-10-29,Boston Celtics,Away,-3.5,-20,-23.5,L,Favorite,105,125
Boston Celtics,2025-10-29,Cleveland Cavaliers,Home,3.5,20,23.5,W,Underdog,125,105
Miami Heat,2025-11-21,Chicago Bulls,Away,2.5,36,38.5,W,Underdog,143,107
Chicago Bulls,2025-11-21,Miami Heat,Home,-2.5,-36,-38.5,L,Favorite,107,143
Chicago Bulls,2025-11-12,Detroit Pistons,Away,-2.5,-11,-13.5,L,Favorite,113,124
Detroit Pistons,2025-11-12,Chicago Bulls,Home,2.5,11,13.5,W,Underdog,124,113
Milwaukee Bucks,2025-11-04,Toronto Raptors,Away,2.5,-28,-25.5,L,Underdog,100,128
Toronto Raptors,2025-11-04,Milwaukee Bucks,Home,-2.5,28,25.5,W,Favorite,128,100
Milwaukee Bucks,2025-12-06,Detroit Pistons,Away,12.5,-12,0.5,W,Underdog,112,124
Detroit Pistons,2025-12-06,Milwaukee Bucks,Home,-12.5,12,-0.5,L,Favorite,124,112
New York Knicks,2025-12-27,Atlanta Hawks,Away,-6.5,3,-3.5,L,Favorite,128,125
Atlanta Hawks,2025-12-27,New York Knicks,Home,6.5,-3,3.5,W,Underdog,125,128
Brooklyn Nets,2025-11-29,Milwaukee Bucks,Away,11.5,-17,-5.5,L,Underdog,99,116
Milwaukee Bucks,2025-11-29,Brooklyn Nets,Home,-11.5,17,5.5,W,Favorite,116,99
Sacramento Kings,2025-12-14,Minnesota Timberwolves,Away,9.5,-14,-4.5,L,Underdog,103,117
Minnesota Timberwolves,2025-12-14,Sacramento Kings,Home,-9.5,14,4.5,W,Favorite,117,103
Dallas Mavericks,2025-11-28,Los Angeles Lakers,Away,9.5,-10,-0.5,L,Underdog,119,129
Los Angeles Lakers,2025-11-28,Dallas Mavericks,Home,-9.5,10,0.5,W,Favorite,129,119
Oklahoma City Thunder,2025-11-05,Portland Trail Blazers,Away,-3.5,-2,-5.5,L,Favorite,119,121
Portland Trail Blazers,2025-11-05,Oklahoma City Thunder,Home,3.5,2,5.5,W,Underdog,121,119
Portland Trail Blazers,2025-10-27,Los Angeles Lakers,Away,-3.5,14,10.5,W,Favorite,122,108
Los Angeles Lakers,2025-10-27,Portland Trail Blazers,Home,3.5,-14,-10.5,L,Underdog,108,122
Atlanta Hawks,2025-11-20,San Antonio Spurs,Away,1.5,-9,-7.5,L,Underdog,126,135
San Antonio Spurs,2025-11-20,Atlanta Hawks,Home,-1.5,9,7.5,W,Favorite,135,126
Toronto Raptors,2025-11-13,Cleveland Cavaliers,Away,7.5,13,20.5,W,Underdog,126,113
Cleveland Cavaliers,2025-11-13,Toronto Raptors,Home,-7.5,-13,-20.5,L,Favorite,113,126
Boston Celtics,2025-12-07,Toronto Raptors,Away,-3.5,8,4.5,W,Favorite,121,113
Toronto Raptors,2025-12-07,Boston Celtics,Home,3.5,-8,-4.5,L,Underdog,113,121
Memphis Grizzlies,2025-11-30,Sacramento Kings,Away,-3.5,8,4.5,W,Favorite,115,107
Sacramento Kings,2025-11-30,Memphis Grizzlies,Home,3.5,-8,-4.5,L,Underdog,107,115
Toronto Raptors,2025-10-31,Cleveland Cavaliers,Away,4.5,11,15.5,W,Underdog,112,101
Cleveland Cavaliers,2025-10-31,Toronto Raptors,Home,-4.5,-11,-15.5,L,Favorite,101,112
Memphis Grizzlies,2025-11-26,New Orleans Pelicans,Away,-3.5,5,1.5,W,Favorite,133,128
New Orleans Pelicans,2025-11-26,Memphis Grizzlies,Home,3.5,-5,-1.5,L,Underdog,128,133
Dallas Mavericks,2025-12-01,Denver Nuggets,Away,11.5,10,21.5,W,Underdog,131,121
