team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
Oklahoma City Thunder,2025-12-22,Memphis Grizzlies,Home,-15.5,16,0.5,W,Favorite,119,103
New York Knicks,2025-11-19,Dallas Mavericks,Away,-8.5,2,-6.5,L,Favorite,113,111
Dallas Mavericks,2025-11-19,New York Knicks,Home,8.5,-2,6.5,W,Underdog,111,113
Utah Jazz,2025-12-12,Memphis Grizzlies,Away,7.5,4,11.5,W,Underdog,130,126
Memphis Grizzlies,2025-12-12,Utah Jazz,Home,-7.5,-4,-11.5,L,Favorite,126,130
Oklahoma City Thunder,2025-12-19,Minnesota Timberwolves,Away,-5.5,-5,-10.5,L,Favorite,107,112
Minnesota Timberwolves,2025-12-19,Oklahoma City Thunder,Home,5.5,5,10.5,W,Underdog,112,107
Detroit Pistons,2025-11-18,Atlanta Hawks,Away,-6.5,8,1.5,W,Favorite,120,112
Atlanta Hawks,2025-11-18,Detroit Pistons,Home,6.5,-8,-1.5,L,Underdog,112,120
Golden State Warriors,2025-12-04,Philadelphia 76ers,Away,4.5,-1,3.5,W,Underdog,98,99
Philadelphia 76ers,2025-12-04,Golden State Warriors,Home,-4.5,1,-3.5,L,Favorite,99,98
Oklahoma City Thunder,2025-12-23,San Antonio Spurs,Away,-6.5,-20,-26.5,L,Favorite,110,130
San Antonio Spurs,2025-12-23,Oklahoma City Thunder,Home,6.5,20,26.5,W,Underdog,130,110
Denver Nuggets,2025-11-12,LA Clippers,Away,-4.5,14,9.5,W,Favorite,130,116
LA Clippers,2025-11-12,Denver Nuggets,Home,4.5,-14,-9.5,L,Underdog,116,130
Atlanta Hawks,2025-11-22,New Orleans Pelicans,Away,-9.5,17,7.5,W,Favorite,115,98
New Orleans Pelicans,2025-11-22,Atlanta Hawks,Home,9.5,-17,-7.5,L,Underdog,98,115
Oklahoma City Thunder,2025-11-07,Sacramento Kings,Away,-11.5,31,19.5,W,Favorite,132,101
Sacramento Kings,2025-11-07,Oklahoma City Thunder,Home,11.5,-31,-19.5,L,Underdog,101,132
Houston Rockets,2025-11-30,Utah Jazz,Away,-12.5,28,15.5,W,Favorite,129,101
Utah Jazz,2025-11-30,Houston Rockets,Home,12.5,-28,-15.5,L,Underdog,101,129
Detroit Pistons,2025-12-15,Boston Celtics,Away,1.5,7,8.5,W,Underdog,112,105
Boston Celtics,2025-12-15,Detroit Pistons,Home,-1.5,-7,-8.5,L,Favorite,105,112
Houston Rockets,2025-11-07,San Antonio Spurs,Away,-4.5,-11,-15.5,L,Favorite,110,121
San Antonio Spurs,2025-11-07,Houston Rockets,Home,4.5,11,15.5,W,Underdog,121,110
Detroit Pistons,2025-12-30,Los Angeles Lakers,Away,-2.5,22,19.5,W,Favorite,128,106
Los Angeles Lakers,2025-12-30,Detroit Pistons,Home,2.5,-22,-19.5,L,Underdog,106,128
Golden State Warriors,2025-11-18,Orlando Magic,Away,-2.5,-8,-10.5,L,Favorite,113,121
Orlando Magic,2025-11-18,Golden State Warriors,Home,2.5,8,10.5,W,Underdog,121,113
Miami Heat,2026-01-01,Detroit Pistons,Away,4.5,6,10.5,W,Underdog,118,112
Detroit Pistons,2026-01-01,Miami Heat,Home,-4.5,-6,-10.5,L,Favorite,112,118
Philadelphia 76ers,2025-10-22,Boston Celtics,Away,4.5,1,5.5,W,Underdog,117,116
Boston Celtics,2025-10-22,Philadelphia 76ers,Home,-4.5,-1,-5.5,L,Favorite,116,117
Los Angeles Lakers,2025-11-12,Oklahoma City Thunder,Away,8.5,-29,-20.5,L,Underdog,92,121
Oklahoma City Thunder,2025-11-12,Los Angeles Lakers,Home,-8.5,29,20.5,W,Favorite,121,92
Brooklyn Nets,2026-01-02,Washington Wizards,Away,2.5,-20,-17.5,L,Underdog,99,119
Washington Wizards,2026-01-02,Brooklyn Nets,Home,-2.5,20,17.5,W,Favorite,119,99
Denver Nuggets,2025-12-07,Charlotte Hornets,Away,-10.5,9,-1.5,L,Favorite,115,106
Charlotte Hornets,2025-12-07,Denver Nuggets,Home,10.5,-9,1.5,W,Underdog,106,115
Detroit Pistons,2025-12-03,Milwaukee Bucks,Away,-4.5,-4,-8.5,L,Favorite,109,113
Milwaukee Bucks,2025-12-03,Detroit Pistons,Home,4.5,4,8.5,W,Underdog,113,109
Oklahoma City Thunder,2025-10-25,Atlanta Hawks,Away,-8.5,17,8.5,W,Favorite,117,100
Atlanta Hawks,2025-10-25,Oklahoma City Thunder,Home,8.5,-17,-8.5,L,Underdog,100,117
Atlanta Hawks,2025-11-10,LA Clippers,Away,4.5,3,7.5,W,Underdog,105,102
LA Clippers,2025-11-10,Atlanta Hawks,Home,-4.5,-3,-7.5,L,Favorite,102,105
Chicago Bulls,2025-12-12,Charlotte Hornets,Away,-2.5,3,0.5,W,Favorite,129,126
Charlotte Hornets,2025-12-12,Chicago Bulls,Home,2.5,-3,-0.5,L,Underdog,126,129
Denver Nuggets,2025-10-31,Portland Trail Blazers,Away,-4.5,-2,-6.5,L,Favorite,107,109
Portland Trail Blazers,2025-10-31,Denver Nuggets,Home,4.5,2,6.5,W,Underdog,109,107
Houston Rockets,2025-11-05,Memphis Grizzlies,Away,-7.5,15,7.5,W,Favorite,124,109
Memphis Grizzlies,2025-11-05,Houston Rockets,Home,7.5,-15,-7.5,L,Underdog,109,124
Minnesota Timberwolves,2025-10-22,Portland Trail Blazers,Away,-5.5,4,-1.5,L,Favorite,118,114
Portland Trail Blazers,2025-10-22,Minnesota Timberwolves,Home,5.5,-4,1.5,W,Underdog,114,118
Milwaukee Bucks,2025-12-27,Chicago Bulls,Away,2.5,9,11.5,W,Underdog,112,103
Chicago Bulls,2025-12-27,Milwaukee Bucks,Home,-2.5,-9,-11.5,L,Favorite,103,112
Portland Trail Blazers,2025-12-05,Detroit Pistons,Away,8.5,-6,2.5,W,Underdog,116,122
Detroit Pistons,2025-12-05,Portland Trail Blazers,Home,-8.5,6,-2.5,L,Favorite,122,116
Detroit Pistons,2025-12-26,Utah Jazz,Away,-9.5,-2,-11.5,L,Favorite,129,131
Utah Jazz,2025-12-26,Detroit Pistons,Home,9.5,2,11.5,W,Underdog,131,129
New Orleans Pelicans,2025-11-02,Oklahoma City Thunder,Away,12.5,-31,-18.5,L,Underdog,106,137
Oklahoma City Thunder,2025-11-02,New Orleans Pelicans,Home,-12.5,31,18.5,W,Favorite,137,106
Cleveland Cavaliers,2025-11-28,Atlanta Hawks,Away,-6.5,-7,-13.5,L,Favorite,123,130
Atlanta Hawks,2025-11-28,Cleveland Cavaliers,Home,6.5,7,13.5,W,Underdog,130,123
Dallas Mavericks,2025-12-22,New Orleans Pelicans,Away,-1.5,-6,-7.5,L,Favorite,113,119
New Orleans Pelicans,2025-12-22,Dallas Mavericks,Home,1.5,6,7.5,W,Underdog,119,113
Houston Rockets,2025-11-19,Cleveland Cavaliers,Away,-1.5,10,8.5,W,Favorite,114,104
Cleveland Cavaliers,2025-11-19,Houston Rockets,Home,1.5,-10,-8.5,L,Underdog,104,114
Dallas Mavericks,2025-11-29,LA Clippers,Away,8.5,4,12.5,W,Underdog,114,110
LA Clippers,2025-11-29,Dallas Mavericks,Home,-8.5,-4,-12.5,L,Favorite,110,114
Atlanta Hawks,2025-10-27,Chicago Bulls,Away,-2.5,-5,-7.5,L,Favorite,123,128
Chicago Bulls,2025-10-27,Atlanta Hawks,Home,2.5,5,7.5,W,Underdog,128,123
Sacramento Kings,2025-11-01,Milwaukee Bucks,Away,6.5,2,8.5,W,Underdog,135,133
Milwaukee Bucks,2025-11-01,Sacramento Kings,Home,-6.5,-2,-8.5,L,Favorite,133,135
Houston Rockets,2025-12-01,Utah Jazz,Away,-11.5,-8,-19.5,L,Favorite,125,133
Utah Jazz,2025-12-01,Houston Rockets,Home,11.5,8,19.5,W,Underdog,133,125
Milwaukee Bucks,2025-12-21,Minnesota Timberwolves,Away,11.5,-3,8.5,W,Underdog,100,103
Minnesota Timberwolves,2025-12-21,Milwaukee Bucks,Home,-11.5,3,-8.5,L,Favorite,103,100
Denver Nuggets,2025-11-29,Phoenix Suns,Away,-3.5,18,14.5,W,Favorite,130,112
Phoenix Suns,2025-11-29,Denver Nuggets,Home,3.5,-18,-14.5,L,Underdog,112,130
Minnesota Timberwolves,2025-11-01,Charlotte Hornets,Away,-4.5,17,12.5,W,Favorite,122,105
Charlotte Hornets,2025-11-01,Minnesota Timberwolves,Home,4.5,-17,-12.5,L,Underdog,105,122
Houston Rockets,2025-12-20,Denver Nuggets,Away,-1.5,14,12.5,W,Favorite,115,101
Denver Nuggets,2025-12-20,Houston Rockets,Home,1.5,-14,-12.5,L,Underdog,101,115
Orlando Magic,2025-11-23,Boston Celtics,Away,4.5,-9,-4.5,L,Underdog,129,138
Boston Celtics,2025-11-23,Orlando Magic,Home,-4.5,9,4.5,W,Favorite,138,129
San Antonio Spurs,2025-12-10,Los Angeles Lakers,Away,7.5,13,20.5,W,Underdog,132,119
Los Angeles Lakers,2025-12-10,San Antonio Spurs,Home,-7.5,-13,-20.5,L,Favorite,119,132
San Antonio Spurs,2025-11-23,Phoenix Suns,Away,1.5,-9,-7.5,L,Underdog,102,111
Phoenix Suns,2025-11-23,San Antonio Spurs,Home,-1.5,9,7.5,W,Favorite,111,102
Atlanta Hawks,2025-10-24,Orlando Magic,Away,5.5,4,9.5,W,Underdog,111,107
Orlando Magic,2025-10-24,Atlanta Hawks,Home,-5.5,-4,-9.5,L,Favorite,107,111
Golden State Warriors,2025-10-30,Milwaukee Bucks,Away,-7.5,-10,-17.5,L,Favorite,110,120
Milwaukee Bucks,2025-10-30,Golden State Warriors,Home,7.5,10,17.5,W,Underdog,120,110
Memphis Grizzlies,2025-11-18,San Antonio Spurs,Away,6.5,-10,-3.5,L,Underdog,101,111
San Antonio Spurs,2025-11-18,Memphis Grizzlies,Home,-6.5,10,3.5,W,Favorite,111,101
Dallas Mavericks,2025-12-15,Utah Jazz,Away,-1.5,-7,-8.5,L,Favorite,133,140
Utah Jazz,2025-12-15,Dallas Mavericks,Home,1.5,7,8.5,W,Underdog,140,133
New Orleans Pelicans,2025-12-06,Brooklyn Nets,Away,3.5,-18,-14.5,L,Underdog,101,119
Brooklyn Nets,2025-12-06,New Orleans Pelicans,Home,-3.5,18,14.5,W,Favorite,119,101
Toronto Raptors,2025-12-26,Washington Wizards,Away,-8.5,-21,-29.5,L,Favorite,117,138
Washington Wizards,2025-12-26,Toronto Raptors,Home,8.5,21,29.5,W,Underdog,138,117
Los Angeles Lakers,2025-12-14,Phoenix Suns,Away,1.5,2,3.5,W,Underdog,116,114
Phoenix Suns,2025-12-14,Los Angeles Lakers,Home,-1.5,-2,-3.5,L,Favorite,114,116
Toronto Raptors,2025-11-11,Brooklyn Nets,Away,-10.5,10,-0.5,L,Favorite,119,109
Brooklyn Nets,2025-11-11,Toronto Raptors,Home,10.5,-10,0.5,W,Underdog,109,119
Memphis Grizzlies,2025-12-15,LA Clippers,Away,5.5,18,23.5,W,Underdog,121,103
LA Clippers,2025-12-15,Memphis Grizzlies,Home,-5.5,-18,-23.5,L,Favorite,103,121
San Antonio Spurs,2026-01-02,Indiana Pacers,Away,-5.5,10,4.5,W,Favorite,123,113
Indiana Pacers,2026-01-02,San Antonio Spurs,Home,5.5,-10,-4.5,L,Underdog,113,123
Philadelphia 76ers,2025-12-30,Memphis Grizzlies,Away,-1.5,3,1.5,W,Favorite,139,136
Memphis Grizzlies,2025-12-30,Philadelphia 76ers,Home,1.5,-3,-1.5,L,Underdog,136,139
Portland Trail Blazers,2025-11-12,New Orleans Pelicans,Away,-8.5,8,-0.5,L,Favorite,125,117
New Orleans Pelicans,2025-11-12,Portland Trail Blazers,Home,8.5,-8,0.5,W,Underdog,117,125
Chicago Bulls,2025-11-19,Portland Trail Blazers,Away,-3.5,1,-2.5,L,Favorite,122,121
Portland Trail Blazers,2025-11-19,Chicago Bulls,Home,3.5,-1,2.5,W,Underdog,121,122
Washington Wizards,2025-11-05,Boston Celtics,Away,12.5,-29,-16.5,L,Underdog,107,136
Boston Celtics,2025-11-05,Washington Wizards,Home,-12.5,29,16.5,W,Favorite,136,107
Boston Celtics,2025-11-11,Philadelphia 76ers,Away,-1.5,-2,-3.5,L,Favorite,100,102
Philadelphia 76ers,2025-11-11,Boston Celtics,Home,1.5,2,3.5,W,Underdog,102,100
Washington Wizards,2025-12-23,Charlotte Hornets,Away,6.5,-17,-10.5,L,Underdog,109,126
Charlotte Hornets,2025-12-23,Washington Wizards,Home,-6.5,17,10.5,W,Favorite,126,109
Houston Rockets,2025-12-15,Denver Nuggets,Away,-1.5,-3,-4.5,L,Favorite,125,128
Denver Nuggets,2025-12-15,Houston Rockets,Home,1.5,3,4.5,W,Underdog,128,125
Dallas Mavericks,2025-12-20,Philadelphia 76ers,Away,1.5,-7,-5.5,L,Underdog,114,121
Philadelphia 76ers,2025-12-20,Dallas Mavericks,Home,-1.5,7,5.5,W,Favorite,121,114
Denver Nuggets,2026-01-02,Cleveland Cavaliers,Away,14.5,-5,9.5,W,Underdog,108,113
Cleveland Cavaliers,2026-01-02,Denver Nuggets,Home,-14.5,5,-9.5,L,Favorite,113,108
Minnesota Timberwolves,2025-11-05,New York Knicks,Away,3.5,-23,-19.5,L,Underdog,114,137
New York Knicks,2025-11-05,Minnesota Timberwolves,Home,-3.5,23,19.5,W,Favorite,137,114
Sacramento Kings,2025-11-14,Minnesota Timberwolves,Away,11.5,-14,-2.5,L,Underdog,110,124
Minnesota Timberwolves,2025-11-14,Sacramento Kings,Home,-11.5,14,2.5,W,Favorite,124,110
Sacramento Kings,2026-01-02,Phoenix Suns,Away,13.5,-27,-13.5,L,Underdog,102,129
Phoenix Suns,2026-01-02,Sacramento Kings,Home,-13.5,27,13.5,W,Favorite,129,102
San Antonio Spurs,2025-12-13,Oklahoma City Thunder,Away,11.5,2,13.5,W,Underdog,111,109
Oklahoma City Thunder,2025-12-13,San Antonio Spurs,Home,-11.5,-2,-13.5,L,Favorite,109,111
