player,game,game_time,market,line,bookmaker,over_odds,under_odds
Jalen Suggs,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,fanduel,-128,100
Kentavious Caldwell-Pope,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,fanduel,-113,-113
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,fanduel,138,-178
Jalen Williams,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,fanduel,-166,128
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,fanduel,-146,114
Jalen Suggs,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,draftkings,-154,120
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,draftkings,150,-195
Jalen Williams,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,draftkings,-188,145
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,draftkings,-175,135
Kentavious Caldwell-Pope,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,draftkings,-125,-105
Tristan da Silva,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,draftkings,140,-180
Wendell Carter Jr,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,williamhill_us,104,-142
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,williamhill_us,-160,116
Jonathan Isaac,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,williamhill_us,-137,100
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,williamhill_us,133,-184
Alex Caruso,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,williamhill_us,-166,120
Jalen Suggs,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,williamhill_us,-133,-103
Kentavious Caldwell-Pope,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,williamhill_us,-148,108
Jalen Williams,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,williamhill_us,-174,126
Tristan da Silva,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,williamhill_us,139,-194
Anthony Black,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,williamhill_us,-121,-113
Moe Wagner,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,williamhill_us,-184,133
Kentavious Caldwell-Pope,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betrivers,-120,-112
Jalen Suggs,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,betrivers,-159,120
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betrivers,-167,125
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,betrivers,155,-210
Jalen Williams,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betrivers,-175,128
Jalen Williams,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betmgm,-185,135
Anthony Black,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,betmgm,-120,-110
Kentavious Caldwell-Pope,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betmgm,-115,-115
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,betmgm,140,-190
Moe Wagner,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,betmgm,-175,130
Tristan da Silva,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betmgm,135,-185
Wendell Carter Jr,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,betmgm,105,-145
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betmgm,-145,105
Alex Caruso,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,betmgm,-165,125
Jalen Suggs,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,betmgm,-135,100
Jonathan Isaac,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,0.5,betmgm,-140,105
Luguentz Dort,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,1.5,betonlineag,-156,121
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Orlando Magic,2024-12-20T00:00:00Z,player_threes,2.5,betonlineag,146,-192
