player,game,game_time,market,line,bookmaker,over_odds,under_odds
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,draftkings,-160,124
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,draftkings,-110,-120
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,draftkings,124,-160
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,draftkings,-188,145
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,draftkings,-115,-115
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,draftkings,140,-180
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,fanduel,-115,-111
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,fanduel,-184,142
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,fanduel,-120,-106
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,fanduel,150,-194
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,fanduel,-160,124
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,fanduel,132,-170
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,williamhill_us,116,-160
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,williamhill_us,-125,-109
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,williamhill_us,-154,112
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,williamhill_us,-129,-106
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,williamhill_us,133,-184
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,williamhill_us,143,-199
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betonlineag,122,-159
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betonlineag,-114,-114
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betonlineag,-156,120
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betonlineag,146,-192
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betonlineag,-119,-109
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betonlineag,149,-196
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betmgm,-155,115
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betmgm,-125,-105
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betmgm,145,-200
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betmgm,140,-190
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betmgm,-120,-110
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betmgm,120,-160
Dorian Finney-Smith,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betrivers,-129,-104
Cameron Johnson,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betrivers,-162,120
Cam Thomas,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betrivers,120,-162
Kentavious Caldwell-Pope,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betrivers,-180,133
Tristan da Silva,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,1.5,betrivers,140,-190
Jalen Suggs,Brooklyn Nets @ Orlando Magic,2024-12-29T20:40:00Z,player_threes,2.5,betrivers,-107,-124
