player,game,game_time,market,line,bookmaker,over_odds,under_odds
Aaron Nesmith,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,draftkings,-180,140
Andrew Nembhard,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,draftkings,-215,165
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,draftkings,154,-200
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,draftkings,-166,130
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,2.5,draftkings,114,-145
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,draftkings,-135,105
Myles Turner,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,draftkings,105,-135
Paolo Banchero,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,draftkings,105,-135
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,draftkings,-154,120
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,2.5,draftkings,-135,105
Wendell Carter Jr,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,draftkings,-200,154
Cole Anthony,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,-130,100
T.J. McConnell,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,246,-345
Wendell Carter Jr,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,-200,151
Myles Turner,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,betonlineag,-105,-123
Moe Wagner,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,118,-154
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,2.5,betonlineag,-135,104
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,2.5,betonlineag,132,-172
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,betonlineag,-156,120
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,1.5,betonlineag,155,-204
Obi Toppin,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,-192,145
Anthony Black,Indiana Pacers @ Orlando Magic,2024-10-28T23:10:00Z,player_threes,0.5,betonlineag,109,-141
