player,game,game_time,market,line,bookmaker,over_odds,under_odds
Damian Lillard,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,3.5,draftkings,-115,-115
Trae Young,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,draftkings,-110,-120
De'Andre Hunter,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,draftkings,-105,-125
Bogdan Bogdanovic,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,draftkings,105,-135
A.J. Green,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,draftkings,140,-180
Gary Trent Jr,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,-166,130
Jalen Johnson,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,105,-135
Brook Lopez,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,110,-140
Bobby Portis,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,145,-188
Zaccharie Risacher,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,145,-188
Dyson Daniels,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,draftkings,154,-200
Taurean Prince,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,0.5,draftkings,-180,140
Giannis Antetokounmpo,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,0.5,draftkings,220,-298
Zaccharie Risacher,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,fanduel,164,-215
Brook Lopez,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,fanduel,-106,-120
Jalen Johnson,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,fanduel,102,-130
De'Andre Hunter,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,fanduel,114,-146
Bobby Portis,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,fanduel,146,-188
Dyson Daniels,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,fanduel,182,-240
Bogdan Bogdanovic,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,fanduel,106,-136
Damian Lillard,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,3.5,fanduel,106,-136
Trae Young,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,fanduel,-113,-113
Damian Lillard,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,4.5,betrivers,-295,210
Trae Young,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,betrivers,-110,-121
Dyson Daniels,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,betrivers,-315,220
Taurean Prince,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,0.5,betrivers,-200,148
Jalen Johnson,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,betrivers,-103,-130
Brook Lopez,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,betrivers,-103,-130
Onyeka Okongwu,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,0.5,williamhill_us,165,-234
Trae Young,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,2.5,williamhill_us,-113,-121
Zaccharie Risacher,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,williamhill_us,139,-194
Brook Lopez,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,williamhill_us,108,-148
Bobby Portis,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,williamhill_us,139,-194
Gary Trent Jr,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,1.5,williamhill_us,-174,126
Giannis Antetokounmpo,Atlanta Hawks @ Milwaukee Bucks,2024-12-14T21:30:00Z,player_threes,0.5,williamhill_us,227,-339
