player,game,game_time,market,line,bookmaker,over_odds,under_odds
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,110,-140
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,-164,128
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,110,-140
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,112,-142
Tristan da Silva,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,164,-215
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,fanduel,112,-142
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,fanduel,-128,100
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,fanduel,132,-170
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,103,-133
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betonlineag,130,-169
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,107,-139
Goga Bitadze,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,0.5,betonlineag,195,-263
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betonlineag,-135,104
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,-175,135
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,-103,-125
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,-103,-125
Tristan da Silva,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betonlineag,161,-213
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,williamhill_us,-131,-104
Tristan da Silva,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,152,-214
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,108,-148
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,104,-142
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,-166,120
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,-109,-125
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,williamhill_us,104,-142
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,williamhill_us,126,-174
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,110,-142
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,105,-135
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,draftkings,130,-168
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,105,-135
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,-168,130
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,-105,-125
Tristan da Silva,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,draftkings,160,-212
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,draftkings,-125,-105
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betrivers,-132,100
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betrivers,-108,-124
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betrivers,-245,180
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betrivers,125,-167
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betrivers,114,-152
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betrivers,116,-155
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betrivers,107,-141
Tyrese Haliburton,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betmgm,-140,105
Pascal Siakam,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,-110,-120
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,115,-155
Myles Turner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,-175,130
Kentavious Caldwell-Pope,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,105,-140
Tristan da Silva,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,160,-225
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,betmgm,105,-140
Jalen Suggs,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,2.5,betmgm,130,-175
Bennedict Mathurin,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,bovada,115,-150
Franz Wagner,Indiana Pacers @ Orlando Magic,2024-11-14T00:10:00Z,player_threes,1.5,bovada,105,-135
