player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,under_odds,over_odds
Quentin Grimes,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,3.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-175.0,135
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,114.0,-145
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,100.0,-130
Justin Edwards,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-115.0,-115
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-120.0,-110
Guerschon Yabusele,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-135.0,105
Ricky Council IV,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-154.0,120
Ryan Rollins,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:51:45Z,-154.0,120
Quentin Grimes,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,128.0,-172
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-108.0,-122
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-198.0,146
Ryan Rollins,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-132.0,100
