player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,under_odds,over_odds
Guerschon Yabusele,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-136.0,102
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-122.0,-108
Ricky Council IV,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-172.0,128
Justin Edwards,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:54:41Z,-114.0,-114
Giannis Antetokounmpo,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-185.0,141
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,103.0,-133
Ryan Rollins,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-135.0,104
Ricky Council IV,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-156.0,120
Justin Edwards,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-101.0,-128
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,130.0,-169
Guerschon Yabusele,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-130.0,100
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,-109.0,-119
Quentin Grimes,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:49Z,,-164
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:18Z,115.0,-150
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:18Z,105.0,-135
Ryan Rollins,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:18Z,-130.0,100
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:18Z,145.0,-190
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:36Z,140.0,-190
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:36Z,-110.0,-120
Giannis Antetokounmpo,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:36Z,-200.0,145
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:36Z,105.0,-140
Gary Trent Jr,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:36Z,-105.0,-130
Ricky Council IV,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-160.0,116
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,126.0,-174
Gary Trent Jr,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-106.0,-129
Quentin Grimes,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,3.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-184.0,133
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-109.0,-125
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-103.0,-133
Guerschon Yabusele,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-137.0,100
Justin Edwards,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:54Z,-106.0,-129
Brook Lopez,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:01Z,-115.0,-115
Kyle Kuzma,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:01Z,-107.0,-124
Taurean Prince,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:01Z,135.0,-182
Quentin Grimes,Milwaukee Bucks @ Philadelphia 76ers,2025-04-03T23:10:00Z,player_threes,2.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:01Z,114.0,-152
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,-119.0,-109
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,117.0,-152
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,128.0,-167
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,-208.0,158
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,120.0,-156
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,-149.0,115
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,-204.0,155
Wendell Carter Jr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,118.0,-154
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,131.0,-172
Justin Champagnie,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:41Z,157.0,-208
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,3.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,-166.0,130
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,-200.0,154
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,130.0,-166
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,120.0,-154
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,114.0,-145
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,-120.0,-110
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,-160.0,124
Justin Champagnie,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,150.0,-195
Wendell Carter Jr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:52:46Z,110.0,-140
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,135.0,-185
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,125.0,-165
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,120.0,-155
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,-145.0,110
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,-150.0,110
Wendell Carter Jr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,125.0,-165
Justin Champagnie,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,160.0,-220
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,130.0,-175
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,-190.0,140
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,-200.0,145
Cole Anthony,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,-220.0,160
Anthony Black,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:25Z,145.0,-200
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,118.0,-158
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,-122.0,-108
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,110.0,-146
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,-220.0,162
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,-154.0,116
Justin Champagnie,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,-220.0,162
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,142.0,-192
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,110.0,-146
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,3.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:55:26Z,-192.0,142
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,112.0,-154
Cole Anthony,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,-224.0,159
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,120.0,-166
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,-204.0,146
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,126.0,-174
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,-121.0,-113
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,-204.0,146
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,-160.0,116
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,116.0,-160
Justin Champagnie,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,152.0,-214
Wendell Carter Jr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,0.5,williamhill_us,2025-04-03T14:53:23Z,2025-04-03T14:55:31Z,108.0,-148
AJ Johnson,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,-150.0,115
Alex Sarr,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,120.0,-160
Carlton Carrington,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,125.0,-165
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,-215.0,160
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,140.0,-185
Jordan Poole,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,130.0,-170
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,-115.0,-115
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,2.5,bovada,2025-04-03T14:55:09Z,2025-04-03T14:55:34Z,-215.0,160
Franz Wagner,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:07Z,114.0,-152
Paolo Banchero,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:07Z,133.0,-180
Kentavious Caldwell-Pope,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:07Z,-124.0,-107
Cory Joseph,Orlando Magic @ Washington Wizards,2025-04-03T23:10:00Z,player_threes,1.5,betrivers,2025-04-03T14:55:07Z,2025-04-03T14:56:07Z,-215.0,155
Jaren Jackson Jr,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,107.0,-139
Ja Morant,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,132.0,-172
Tyler Herro,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,3.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-169.0,130
Desmond Bane,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,2.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-145.0,112
Santi Aldama,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,135.0,-175
Jaylen Wells,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-128.0,-101
Davion Mitchell,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-143.0,110
Kel'el Ware,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-106.0,-122
Haywood Highsmith,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-179.0,136
Bam Adebayo,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,158.0,-208
Kyle Anderson,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-182.0,139
Pelle Larsson,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-185.0,141
Alec Burks,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,2.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-175.0,134
Zach Edey,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betonlineag,2025-04-03T14:55:06Z,2025-04-03T14:55:19Z,-500.0,334
Tyler Herro,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,3.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,-166.0,130
Desmond Bane,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,2.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,-160.0,124
Santi Aldama,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,124.0,-160
Ja Morant,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,114.0,-145
Jaren Jackson Jr,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,105.0,-135
Davion Mitchell,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,-135.0,105
Jaylen Wells,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,-140.0,110
Bam Adebayo,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,165.0,-215
Kel'el Ware,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,draftkings,2025-04-03T14:55:06Z,2025-04-03T14:50:47Z,-115.0,-115
Ja Morant,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,140.0,-190
Santi Aldama,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,140.0,-190
Alec Burks,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,2.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-200.0,150
Kyle Anderson,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-185.0,135
Tyler Herro,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,3.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-175.0,130
Bam Adebayo,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,160.0,-220
Jaren Jackson Jr,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,120.0,-160
Kel'el Ware,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,100.0,-135
Davion Mitchell,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-150.0,115
Jaylen Wells,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-120.0,-110
Desmond Bane,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,2.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-140.0,105
Zach Edey,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,0.5,betmgm,2025-04-03T14:55:06Z,2025-04-03T14:55:45Z,-525.0,333
Tyler Herro,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,3.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:56:05Z,-154.0,116
Santi Aldama,Memphis Grizzlies @ Miami Heat,2025-04-03T23:30:00Z,player_threes,1.5,fanduel,2025-04-03T14:53:24Z,2025-04-03T14:56:05Z,118.0,-158
