play_num,quarter,clock_display,clock_seconds,game_minute,description,player_scored,points_value,cumulative_points,prob_over,prob_under
1,1,12:00,0.0000,0,Deandre Ayton vs. Karl-Anthony Towns (Josh Hart gains possession),False,0,0,0.6500,0.3500
2,1,11:37,23.0000,0,Mikal Bridges misses 25-foot three point jumper,False,0,0,0.6500,0.3500
3,1,11:34,26.0000,0,LeBron James defensive rebound,False,0,0,0.7200,0.2800
4,1,11:31,29.0000,0,Luka Doncic makes running layup (LeBron James assists),True,2,2,0.7500,0.2500
5,1,11:16,44.0000,0,OG Anunoby makes 25-foot three point jumper,False,0,2,0.7300,0.2700
6,1,11:03,57.0000,0,Luka Doncic misses 27-foot three point pullup jump shot,False,0,2,0.7300,0.2700
7,1,11:00,60.0000,1,Karl-Anthony Towns defensive rebound,False,0,2,0.7400,0.2600
8,1,10:51,69.0000,1,Jalen Brunson makes 23-foot three point step back jumpshot (Josh Hart assists),False,0,2,0.6700,0.3300
9,1,10:41,79.0000,1,Deandre Ayton makes 1-foot alley oop dunk (Marcus Smart assists),False,0,2,0.7100,0.2900
10,1,10:24,96.0000,1,Mikal Bridges misses 23-foot three point jumper,False,0,2,0.7000,0.3000
11,1,10:21,99.0000,1,Luka Doncic defensive rebound,False,0,2,0.6800,0.3200
12,1,10:12,108.0000,1,Deandre Ayton makes layup (Luka Doncic assists),False,0,2,0.7400,0.2600
13,1,10:11,109.0000,1,Knicks Full timeout,False,0,2,0.8100,0.1900
14,1,9:47,133.0000,2,OG Anunoby makes two point shot,False,0,2,0.6700,0.3300
15,1,9:32,148.0000,2,LeBron James makes 27-foot three point jumper (Luka Doncic assists),False,0,2,0.6200,0.3800
16,1,9:19,161.0000,2,OG Anunoby misses 23-foot three point jumper,False,0,2,0.6200,0.3800
17,1,9:18,162.0000,2,Lakers defensive team rebound,False,0,2,0.6300,0.3700
18,1,9:06,174.0000,2,LeBron James misses 10-foot fade away jump shot,False,0,2,0.5800,0.4200
19,1,9:04,176.0000,2,Deandre Ayton offensive rebound,False,0,2,0.6000,0.4000
20,1,8:54,186.0000,3,Luka Doncic misses driving floating jump shot,False,0,2,0.6300,0.3700
21,1,8:51,189.0000,3,Jalen Brunson defensive rebound,False,0,2,0.5700,0.4300
