play_num,quarter,clock_display,clock_seconds,game_minute,description,player_scored,points_value,cumulative_points,prob_over,prob_under
22,1,8:45,195.0000,3,Jalen Brunson misses running pullup jump shot,False,0,2,0.6400,0.3600
23,1,8:42,198.0000,3,Deandre Ayton defensive rebound,False,0,2,0.5300,0.4700
24,1,8:33,207.0000,3,Jake LaRavia misses 22-foot three point jumper,False,0,2,0.5900,0.4100
25,1,8:30,210.0000,3,Deandre Ayton offensive rebound,False,0,2,0.5100,0.4900
26,1,8:23,217.0000,3,LeBron James makes layup (Jake LaRavia assists),False,0,2,0.6400,0.3600
27,1,8:07,233.0000,3,Jake LaRavia personal foul,False,0,2,0.5800,0.4200
28,1,7:59,241.0000,4,Karl-Anthony Towns makes 7-foot driving floating jump shot (OG Anunoby assists),False,0,2,0.6300,0.3700
29,1,7:38,262.0000,4,Karl-Anthony Towns shooting foul,False,0,2,0.5300,0.4700
30,1,7:38,262.0000,4,Luka Doncic makes free throw 1 of 2,True,1,3,0.6700,0.3300
31,1,7:38,262.0000,4,Luka Doncic makes free throw 2 of 2,True,1,4,0.6700,0.3300
32,1,7:23,277.0000,4,Mikal Bridges misses 15-foot pullup jump shot,False,0,4,0.7100,0.2900
33,1,7:21,279.0000,4,Karl-Anthony Towns offensive rebound,False,0,4,0.5700,0.4300
34,1,7:19,281.0000,4,Karl-Anthony Towns misses two point shot,False,0,4,0.6800,0.3200
35,1,7:17,283.0000,4,LeBron James defensive rebound,False,0,4,0.6400,0.3600
36,1,7:06,294.0000,4,Luka Doncic misses 24-foot three point jumper,False,0,4,0.6600,0.3400
37,1,7:05,295.0000,4,Knicks defensive team rebound,False,0,4,0.7100,0.2900
38,1,7:05,295.0000,4,Jake LaRavia loose ball foul,False,0,4,0.6100,0.3900
39,1,6:43,317.0000,5,Mikal Bridges makes layup (Karl-Anthony Towns assists),False,0,4,0.6500,0.3500
40,1,6:24,336.0000,5,"Marcus Smart bad pass
turnover (Mikal Bridges steals)",False,0,4,0.5400,0.4600
41,1,6:18,342.0000,5,OG Anunoby makes 24-foot running jump shot (Jalen Brunson assists),False,0,4,0.6000,0.4000
42,1,5:59,361.0000,6,LeBron James misses 23-foot three point jumper,False,0,4,0.5600,0.4400
43,1,5:57,363.0000,6,Jalen Brunson defensive rebound,False,0,4,0.6000,0.4000
44,1,5:42,378.0000,6,Marcus Smart shooting foul,False,0,4,0.6500,0.3500
45,1,5:42,378.0000,6,Karl-Anthony Towns makes free throw 1 of 2,False,0,4,0.4700,0.5300
46,1,5:42,378.0000,6,Mohamed Diawara enters the game for OG Anunoby,False,0,4,0.6800,0.3200
47,1,5:42,378.0000,6,Landry Shamet enters the game for Mikal Bridges,False,0,4,0.5000,0.5000
48,1,5:42,378.0000,6,Gabe Vincent enters the game for Deandre Ayton,False,0,4,0.5600,0.4400
49,1,5:42,378.0000,6,Rui Hachimura enters the game for Marcus Smart,False,0,4,0.5600,0.4400
50,1,5:42,378.0000,6,Jaxson Hayes enters the game for LeBron James,False,0,4,0.6600,0.3400
51,1,5:42,378.0000,6,Karl-Anthony Towns misses free throw 2 of 2,False,0,4,0.6100,0.3900
52,1,5:40,380.0000,6,Luka Doncic defensive rebound,False,0,4,0.6000,0.4000
53,1,5:30,390.0000,6,Luka Doncic misses driving floating jump shot,False,0,4,0.6100,0.3900
54,1,5:28,392.0000,6,Josh Hart defensive rebound,False,0,4,0.6400,0.3600
55,1,5:14,406.0000,6,Jalen Brunson misses driving floating jump shot,False,0,4,0.5500,0.4500
56,1,5:13,407.0000,6,Lakers defensive team rebound,False,0,4,0.5700,0.4300
57,1,5:13,407.0000,6,Karl-Anthony Towns loose ball foul,False,0,4,0.5700,0.4300
58,1,5:13,407.0000,6,Mitchell Robinson enters the game for Karl-Anthony Towns,False,0,4,0.5300,0.4700
59,1,4:59,421.0000,7,Luka Doncic makes 24-foot three point step back jumpshot,True,3,7,0.7400,0.2600
60,1,4:43,437.0000,7,Jalen Brunson lost ball turnover (Jake LaRavia steals),False,0,7,0.6800,0.3200
61,1,4:32,448.0000,7,Jake LaRavia misses 22-foot three point jumper,False,0,7,0.7200,0.2800
62,1,4:29,451.0000,7,Josh Hart defensive rebound,False,0,7,0.6600,0.3400
63,1,4:23,457.0000,7,Jaxson Hayes blocks Josh Hart 's 2-foot two point shot,False,0,7,0.6800,0.3200
64,1,4:21,459.0000,7,Jake LaRavia defensive rebound,False,0,7,0.7200,0.2800
65,1,4:18,462.0000,7,Rui Hachimura makes dunk (Luka Doncic assists),False,0,7,0.6700,0.3300
66,1,3:59,481.0000,8,Jaxson Hayes shooting foul,False,0,7,0.6400,0.3600
67,1,3:59,481.0000,8,Landry Shamet misses free throw 1 of 2,False,0,7,0.6700,0.3300
68,1,3:59,481.0000,8,Knicks offensive team rebound,False,0,7,0.6500,0.3500
69,1,3:59,481.0000,8,Mikal Bridges enters the game for Josh Hart,False,0,7,0.7000,0.3000
70,1,3:59,481.0000,8,OG Anunoby enters the game for Mohamed Diawara,False,0,7,0.7100,0.2900
71,1,3:59,481.0000,8,Jarred Vanderbilt enters the game for Jake LaRavia,False,0,7,0.6100,0.3900
72,1,3:59,481.0000,8,Landry Shamet makes free throw 2 of 2,False,0,7,0.7200,0.2800
73,1,3:48,492.0000,8,Luka Doncic makes 25-foot three point step back jumpshot,True,3,10,0.7800,0.2200
74,1,3:38,502.0000,8,Jaxson Hayes shooting foul,False,0,10,0.8500,0.1500
75,1,3:38,502.0000,8,Jalen Brunson makes free throw 1 of 2,False,0,10,0.7700,0.2300
76,1,3:38,502.0000,8,Jalen Brunson makes free throw 2 of 2,False,0,10,0.7700,0.2300
77,1,3:26,514.0000,8,Jaxson Hayes misses layup,False,0,10,0.7700,0.2300
78,1,3:24,516.0000,8,Mitchell Robinson defensive rebound,False,0,10,0.7600,0.2400
79,1,3:12,528.0000,8,OG Anunoby misses 23-foot three point jumper,False,0,10,0.7500,0.2500
80,1,3:09,531.0000,8,Luka Doncic defensive rebound,False,0,10,0.7300,0.2700
81,1,2:56,544.0000,9,Gabe Vincent misses 22-foot three point jumper,False,0,10,0.6600,0.3400
82,1,2:55,545.0000,9,Landry Shamet defensive rebound,False,0,10,0.7200,0.2800
83,1,2:50,550.0000,9,Jalen Brunson misses running layup,False,0,10,0.7900,0.2100
84,1,2:49,551.0000,9,Luka Doncic defensive rebound,False,0,10,0.6900,0.3100
85,1,2:43,557.0000,9,Gabe Vincent makes driving layup (Rui Hachimura assists),False,0,10,0.7700,0.2300
86,1,2:31,569.0000,9,Jalen Brunson makes 5-foot two point shot,False,0,10,0.7200,0.2800
87,1,2:31,569.0000,9,Lakers Full timeout,False,0,10,0.7500,0.2500
88,1,2:31,569.0000,9,Deandre Ayton enters the game for Luka Doncic,False,0,10,0.8100,0.1900
89,1,2:31,569.0000,9,LeBron James enters the game for Jaxson Hayes,False,0,10,0.7200,0.2800
90,1,2:17,583.0000,9,Rui Hachimura makes 26-foot three point jumper (LeBron James assists),False,0,10,0.7400,0.2600
91,1,1:58,602.0000,10,Mikal Bridges misses 25-foot three point jumper,False,0,10,0.7400,0.2600
92,1,1:55,605.0000,10,Landry Shamet offensive rebound,False,0,10,0.7300,0.2700
93,1,1:49,611.0000,10,Deandre Ayton shooting foul,False,0,10,0.7300,0.2700
94,1,1:49,611.0000,10,OG Anunoby makes free throw 1 of 2,False,0,10,0.7800,0.2200
95,1,1:49,611.0000,10,OG Anunoby makes free throw 2 of 2,False,0,10,0.6900,0.3100
96,1,1:34,626.0000,10,Jarred Vanderbilt misses 22-foot three point jumper,False,0,10,0.6900,0.3100
97,1,1:33,627.0000,10,Deandre Ayton offensive rebound,False,0,10,0.7500,0.2500
98,1,1:31,629.0000,10,Deandre Ayton makes 4-foot hook shot,False,0,10,0.6700,0.3300
99,1,1:13,647.0000,10,Jalen Brunson misses 25-foot three point step back jumpshot,False,0,10,0.6800,0.3200
100,1,1:10,650.0000,10,Mitchell Robinson offensive rebound,False,0,10,0.7100,0.2900
101,1,1:07,653.0000,10,"Mitchell Robinson bad pass
turnover (LeBron James steals)",False,0,10,0.6500,0.3500
102,1,54.0,666.0000,11,Rui Hachimura makes 19-foot step back jumpshot (Deandre Ayton assists),False,0,10,0.6700,0.3300
103,1,40.1,679.9000,11,Deandre Ayton shooting foul,False,0,10,0.5700,0.4300
104,1,40.1,679.9000,11,OG Anunoby misses free throw 1 of 2,False,0,10,0.6700,0.3300
105,1,40.1,679.9000,11,Knicks offensive team rebound,False,0,10,0.6000,0.4000
106,1,40.1,679.9000,11,OG Anunoby makes free throw 2 of 2,False,0,10,0.6100,0.3900
107,1,18.5,701.5000,11,Deandre Ayton makes alley oop layup (LeBron James assists),False,0,10,0.6200,0.3800
108,1,18.5,701.5000,11,Landry Shamet shooting foul,False,0,10,0.6600,0.3400
109,1,18.5,701.5000,11,Deandre Ayton makes free throw 1 of 1,False,0,10,0.6800,0.3200
110,1,6.5,713.5000,11,Landry Shamet makes 25-foot three point jumper (Mikal Bridges assists),False,0,10,0.6600,0.3400
111,1,0.8,719.2000,11,LeBron James misses heave jump shot,False,0,10,0.6600,0.3400
112,1,0.8,719.2000,11,Lakers offensive team rebound,False,0,10,0.6500,0.3500
113,1,0.0,720.0000,12,End of the 1st Quarter,False,0,10,0.6400,0.3600
114,2,12:00,720.0000,12,Tyler Kolek enters the game for Jalen Brunson,False,0,10,0.6600,0.3400
115,2,12:00,720.0000,12,Mohamed Diawara enters the game for Landry Shamet,False,0,10,0.6000,0.4000
116,2,12:00,720.0000,12,Karl-Anthony Towns enters the game for Mitchell Robinson,False,0,10,0.6300,0.3700
117,2,12:00,720.0000,12,Marcus Smart enters the game for Gabe Vincent,False,0,10,0.6200,0.3800
118,2,11:42,738.0000,12,Marcus Smart misses 25-foot three point pullup jump shot,False,0,10,0.6100,0.3900
119,2,11:39,741.0000,12,Tyler Kolek defensive rebound,False,0,10,0.5400,0.4600
120,2,11:22,758.0000,12,Karl-Anthony Towns out of bounds bad pass turnover,False,0,10,0.6200,0.3800
121,2,11:07,773.0000,12,Rui Hachimura makes driving layup (LeBron James assists),False,0,10,0.5600,0.4400
122,2,10:46,794.0000,13,Tyler Kolek misses 27-foot three point jumper,False,0,10,0.5700,0.4300
123,2,10:43,797.0000,13,Rui Hachimura defensive rebound,False,0,10,0.4900,0.5100
124,2,10:25,815.0000,13,Mohamed Diawara shooting foul,False,0,10,0.5600,0.4400
125,2,10:25,815.0000,13,LeBron James misses free throw 1 of 2,False,0,10,0.4600,0.5400
126,2,10:25,815.0000,13,Lakers offensive team rebound,False,0,10,0.5800,0.4200
127,2,10:25,815.0000,13,LeBron James misses free throw 2 of 2,False,0,10,0.5700,0.4300
128,2,10:22,818.0000,13,OG Anunoby defensive rebound,False,0,10,0.5200,0.4800
129,2,10:13,827.0000,13,Mohamed Diawara lost ball turnover (Jarred Vanderbilt steals),False,0,10,0.5300,0.4700
130,2,10:11,829.0000,13,Tyler Kolek personal foul,False,0,10,0.5800,0.4200
131,2,10:00,840.0000,14,Marcus Smart misses two point shot,False,0,10,0.6200,0.3800
132,2,9:58,842.0000,14,Karl-Anthony Towns defensive rebound,False,0,10,0.6300,0.3700
133,2,9:54,846.0000,14,Mohamed Diawara makes 23-foot running jump shot (Mikal Bridges assists),False,0,10,0.5200,0.4800
134,2,9:33,867.0000,14,Mohamed Diawara shooting foul,False,0,10,0.5200,0.4800
135,2,9:33,867.0000,14,Marcus Smart makes free throw 1 of 2,False,0,10,0.5300,0.4700
136,2,9:33,867.0000,14,Luka Doncic enters the game for Jarred Vanderbilt,False,0,10,0.3500,0.6500
137,2,9:33,867.0000,14,Marcus Smart makes free throw 2 of 2,False,0,10,0.5600,0.4400
138,2,9:18,882.0000,14,Tyler Kolek makes 22-foot three point jumper (OG Anunoby assists),False,0,10,0.4800,0.5200
139,2,9:05,895.0000,14,Mohamed Diawara shooting foul,False,0,10,0.4700,0.5300
140,2,9:05,895.0000,14,Luka Doncic misses free throw 1 of 2,False,0,10,0.4400,0.5600
141,2,9:05,895.0000,14,Lakers offensive team rebound,False,0,10,0.4900,0.5100
142,2,9:05,895.0000,14,Mitchell Robinson enters the game for OG Anunoby,False,0,10,0.4800,0.5200
143,2,9:05,895.0000,14,Josh Hart enters the game for Mikal Bridges,False,0,10,0.4100,0.5900
144,2,9:05,895.0000,14,Landry Shamet enters the game for Mohamed Diawara,False,0,10,0.5200,0.4800
145,2,9:05,895.0000,14,Luka Doncic makes free throw 2 of 2,True,1,11,0.6000,0.4000
146,2,8:46,914.0000,15,Josh Hart makes 25-foot three pointer (Tyler Kolek assists),False,0,11,0.5600,0.4400
147,2,8:33,927.0000,15,Luka Doncic makes 25-foot three point step back jumpshot,True,3,14,0.7900,0.2100
148,2,8:15,945.0000,15,Tyler Kolek misses two point shot,False,0,14,0.7700,0.2300
149,2,8:14,946.0000,15,Rui Hachimura defensive rebound,False,0,14,0.7500,0.2500
150,2,8:14,946.0000,15,Landry Shamet personal foul,False,0,14,0.7000,0.3000
151,2,8:14,946.0000,15,LeBron James misses free throw 1 of 2,False,0,14,0.7100,0.2900
152,2,8:14,946.0000,15,Lakers offensive team rebound,False,0,14,0.7600,0.2400
153,2,8:14,946.0000,15,Jake LaRavia enters the game for Rui Hachimura,False,0,14,0.7500,0.2500
154,2,8:14,946.0000,15,LeBron James makes free throw 2 of 2,False,0,14,0.7800,0.2200
155,2,7:52,968.0000,16,Josh Hart misses 10-foot floating jump shot,False,0,14,0.7600,0.2400
156,2,7:50,970.0000,16,Mitchell Robinson offensive rebound,False,0,14,0.6700,0.3300
157,2,7:48,972.0000,16,Mitchell Robinson misses tip shot,False,0,14,0.7000,0.3000
158,2,7:47,973.0000,16,Karl-Anthony Towns offensive rebound,False,0,14,0.7300,0.2700
159,2,7:46,974.0000,16,Karl-Anthony Towns makes two point shot,False,0,14,0.7300,0.2700
160,2,7:30,990.0000,16,LeBron James makes 15-foot fade away jump shot,False,0,14,0.7300,0.2700
161,2,7:12,1008.0000,16,Karl-Anthony Towns misses 15-foot fade away jump shot,False,0,14,0.7000,0.3000
162,2,7:10,1010.0000,16,Luka Doncic defensive rebound,False,0,14,0.6100,0.3900
163,2,7:07,1013.0000,16,Jake LaRavia out of bounds lost ball turnover,False,0,14,0.6300,0.3700
164,2,7:07,1013.0000,16,Gabe Vincent enters the game for Marcus Smart,False,0,14,0.6700,0.3300
165,2,6:58,1022.0000,17,Gabe Vincent personal foul,False,0,14,0.6100,0.3900
166,2,6:58,1022.0000,17,Knicks Full timeout,False,0,14,0.5600,0.4400
167,2,6:47,1033.0000,17,Landry Shamet makes driving layup (Tyler Kolek assists),False,0,14,0.7100,0.2900
168,2,6:28,1052.0000,17,Luka Doncic misses 25-foot three point step back jumpshot,False,0,14,0.5900,0.4100
169,2,6:27,1053.0000,17,Knicks defensive team rebound,False,0,14,0.6700,0.3300
170,2,6:27,1053.0000,17,Jaxson Hayes enters the game for Deandre Ayton,False,0,14,0.6100,0.3900
171,2,6:27,1053.0000,17,Rui Hachimura enters the game for LeBron James,False,0,14,0.7100,0.2900
172,2,6:27,1053.0000,17,Jalen Brunson enters the game for Karl-Anthony Towns,False,0,14,0.7200,0.2800
173,2,6:03,1077.0000,17,Tyler Kolek makes 11-foot fade away jump shot,False,0,14,0.7000,0.3000
174,2,5:43,1097.0000,18,Mitchell Robinson blocks Rui Hachimura 's 1-foot driving layup,False,0,14,0.6200,0.3800
175,2,5:40,1100.0000,18,Mitchell Robinson defensive rebound,False,0,14,0.6300,0.3700
176,2,5:23,1117.0000,18,Tyler Kolek misses 22-foot three point jumper,False,0,14,0.6800,0.3200
177,2,5:21,1119.0000,18,Luka Doncic defensive rebound,False,0,14,0.6100,0.3900
178,2,5:17,1123.0000,18,Josh Hart blocks Rui Hachimura 's 2-foot running layup,False,0,14,0.6200,0.3800
179,2,5:15,1125.0000,18,Jalen Brunson defensive rebound,False,0,14,0.6400,0.3600
180,2,5:11,1129.0000,18,Tyler Kolek misses 26-foot running jump shot,False,0,14,0.5300,0.4700
181,2,5:08,1132.0000,18,Jaxson Hayes defensive rebound,False,0,14,0.6400,0.3600
182,2,5:02,1138.0000,18,Luka Doncic misses running pullup jump shot,False,0,14,0.5700,0.4300
183,2,4:59,1141.0000,19,Landry Shamet defensive rebound,False,0,14,0.6200,0.3800
184,2,4:40,1160.0000,19,Tyler Kolek makes 25-foot three point jumper (Landry Shamet assists),False,0,14,0.5500,0.4500
185,2,4:39,1161.0000,19,Lakers Full timeout,False,0,14,0.5800,0.4200
186,2,4:39,1161.0000,19,Jarred Vanderbilt enters the game for Jake LaRavia,False,0,14,0.6900,0.3100
187,2,4:29,1171.0000,19,Gabe Vincent makes 25-foot three point jumper (Luka Doncic assists),False,0,14,0.6000,0.4000
188,2,4:12,1188.0000,19,Jalen Brunson misses driving floating jump shot,False,0,14,0.5800,0.4200
189,2,4:09,1191.0000,19,Lakers defensive team rebound,False,0,14,0.6800,0.3200
190,2,4:09,1191.0000,19,Mikal Bridges enters the game for Tyler Kolek,False,0,14,0.6200,0.3800
191,2,4:09,1191.0000,19,Karl-Anthony Towns enters the game for Mitchell Robinson,False,0,14,0.7300,0.2700
192,2,4:09,1191.0000,19,OG Anunoby enters the game for Landry Shamet,False,0,14,0.5700,0.4300
193,2,3:56,1204.0000,20,Luka Doncic makes driving layup,True,2,16,0.7100,0.2900
194,2,3:49,1211.0000,20,Mikal Bridges misses 25-foot three point jumper,False,0,16,0.6700,0.3300
195,2,3:48,1212.0000,20,Lakers defensive team rebound,False,0,16,0.6500,0.3500
196,2,3:35,1225.0000,20,"Luka Doncic bad pass
turnover (Karl-Anthony Towns steals)",False,0,16,0.6900,0.3100
197,2,3:29,1231.0000,20,Josh Hart makes 5-foot running pullup jump shot (Jalen Brunson assists),False,0,16,0.7100,0.2900
198,2,3:18,1242.0000,20,Gabe Vincent misses 25-foot three point jumper,False,0,16,0.5800,0.4200
199,2,3:17,1243.0000,20,Lakers offensive team rebound,False,0,16,0.6300,0.3700
200,2,3:17,1243.0000,20,Josh Hart loose ball foul,False,0,16,0.6700,0.3300
201,2,3:17,1243.0000,20,Jarred Vanderbilt makes free throw 1 of 2,False,0,16,0.7400,0.2600
202,2,3:17,1243.0000,20,LeBron James enters the game for Gabe Vincent,False,0,16,0.7100,0.2900
203,2,3:17,1243.0000,20,Jarred Vanderbilt misses free throw 2 of 2,False,0,16,0.7500,0.2500
204,2,3:15,1245.0000,20,Josh Hart defensive rebound,False,0,16,0.6800,0.3200
205,2,2:57,1263.0000,21,OG Anunoby misses layup,False,0,16,0.5900,0.4100
206,2,2:55,1265.0000,21,OG Anunoby offensive rebound,False,0,16,0.6100,0.3900
207,2,2:43,1277.0000,21,shot clock turnover ,False,0,16,0.6200,0.3800
208,2,2:43,1277.0000,21,Marcus Smart enters the game for Jaxson Hayes,False,0,16,0.6400,0.3600
209,2,2:43,1277.0000,21,Deandre Ayton enters the game for Rui Hachimura,False,0,16,0.6100,0.3900
210,2,2:28,1292.0000,21,Luka Doncic misses 26-foot three point step back jumpshot,False,0,16,0.6200,0.3800
211,2,2:26,1294.0000,21,OG Anunoby defensive rebound,False,0,16,0.7700,0.2300
212,2,2:26,1294.0000,21,Jarred Vanderbilt personal foul,False,0,16,0.5900,0.4100
213,2,2:26,1294.0000,21,Landry Shamet enters the game for Mikal Bridges,False,0,16,0.6000,0.4000
214,2,2:12,1308.0000,21,"Karl-Anthony Towns bad pass
turnover (Deandre Ayton steals)",False,0,16,0.5700,0.4300
215,2,2:02,1318.0000,21,LeBron James makes 18-foot fade away jump shot,False,0,16,0.6400,0.3600
216,2,1:42,1338.0000,22,Landry Shamet makes 23-foot three point jumper (Jalen Brunson assists),False,0,16,0.6800,0.3200
217,2,1:31,1349.0000,22,Luka Doncic makes 6-foot two point shot,True,2,18,0.6500,0.3500
218,2,1:10,1370.0000,22,Karl-Anthony Towns misses layup,False,0,18,0.7200,0.2800
219,2,1:08,1372.0000,22,Luka Doncic defensive rebound,False,0,18,0.7100,0.2900
220,2,58.5,1381.5000,23,Deandre Ayton makes layup (Marcus Smart assists),False,0,18,0.7700,0.2300
221,2,45.7,1394.3000,23,Landry Shamet misses 23-foot three point jumper,False,0,18,0.7600,0.2400
222,2,42.3,1397.7000,23,Karl-Anthony Towns offensive rebound,False,0,18,0.7300,0.2700
223,2,40.3,1399.7000,23,Karl-Anthony Towns misses 22-foot three point jumper,False,0,18,0.6900,0.3100
224,2,40.3,1399.7000,23,LeBron James defensive rebound,False,0,18,0.7200,0.2800
225,2,31.1,1408.9000,23,Luka Doncic misses 29-foot three point jumper,False,0,18,0.6600,0.3400
226,2,31.1,1408.9000,23,Jalen Brunson defensive rebound,False,0,18,0.7000,0.3000
227,2,26.3,1413.7000,23,Josh Hart makes running layup (Jalen Brunson assists),False,0,18,0.7100,0.2900
228,2,7.9,1432.1000,23,Jarred Vanderbilt misses 23-foot three point jumper,False,0,18,0.6900,0.3100
229,2,4.1,1435.9000,23,LeBron James offensive rebound,False,0,18,0.7700,0.2300
230,2,2.8,1437.2000,23,Marcus Smart misses 13-foot two point shot,False,0,18,0.6200,0.3800
231,2,2.8,1437.2000,23,Karl-Anthony Towns defensive rebound,False,0,18,0.6500,0.3500
232,2,0.4,1439.6000,23,Jalen Brunson misses heave jump shot,False,0,18,0.5800,0.4200
233,2,0.1,1439.9000,23,Knicks offensive team rebound,False,0,18,0.6400,0.3600
234,2,0.0,1440.0000,24,End of the 2nd Quarter,False,0,18,0.6700,0.3300
235,3,12:00,1440.0000,24,Mikal Bridges enters the game for Landry Shamet,False,0,18,0.7000,0.3000
236,3,12:00,1440.0000,24,Jake LaRavia enters the game for Jarred Vanderbilt,False,0,18,0.6800,0.3200
237,3,11:47,1453.0000,24,OG Anunoby personal foul,False,0,18,0.6400,0.3600
238,3,11:44,1456.0000,24,Luka Doncic misses 25-foot three point jumper,False,0,18,0.7200,0.2800
239,3,11:42,1458.0000,24,Karl-Anthony Towns defensive rebound,False,0,18,0.6200,0.3800
240,3,11:30,1470.0000,24,Jalen Brunson makes 16-foot step back jumpshot,False,0,18,0.5100,0.4900
241,3,11:11,1489.0000,24,Jake LaRavia misses 23-foot three point jumper,False,0,18,0.6100,0.3900
242,3,11:08,1492.0000,24,OG Anunoby defensive rebound,False,0,18,0.6600,0.3400
243,3,11:04,1496.0000,24,Luka Doncic personal foul,False,0,18,0.6300,0.3700
244,3,11:00,1500.0000,25,Josh Hart makes 2-foot two point shot (Jalen Brunson assists),False,0,18,0.7000,0.3000
245,3,11:00,1500.0000,25,Deandre Ayton shooting foul,False,0,18,0.6100,0.3900
246,3,11:00,1500.0000,25,Josh Hart makes free throw 1 of 1,False,0,18,0.6100,0.3900
247,3,10:48,1512.0000,25,LeBron James misses 22-foot three point jumper,False,0,18,0.6800,0.3200
248,3,10:45,1515.0000,25,Lakers offensive team rebound,False,0,18,0.5400,0.4600
249,3,10:38,1522.0000,25,Luka Doncic makes 12-foot fade away jump shot,True,2,20,0.7300,0.2700
250,3,10:19,1541.0000,25,Jake LaRavia blocks Jalen Brunson 's 9-foot driving floating jump shot,False,0,20,0.7300,0.2700
251,3,10:17,1543.0000,25,Luka Doncic defensive rebound,False,0,20,0.7700,0.2300
252,3,10:15,1545.0000,25,LeBron James makes dunk (Marcus Smart assists),False,0,20,0.6900,0.3100
253,3,10:03,1557.0000,25,OG Anunoby makes 24-foot three point jumper (Josh Hart assists),False,0,20,0.8100,0.1900
254,3,9:49,1571.0000,26,Marcus Smart misses 25-foot three point jumper,False,0,20,0.6800,0.3200
255,3,9:46,1574.0000,26,Karl-Anthony Towns defensive rebound,False,0,20,0.7500,0.2500
256,3,9:34,1586.0000,26,Josh Hart makes driving layup,False,0,20,0.7300,0.2700
257,3,9:14,1606.0000,26,Jake LaRavia makes 26-foot three point jumper (Luka Doncic assists),False,0,20,0.6000,0.4000
258,3,9:00,1620.0000,27,Mikal Bridges makes 1-foot layup (Karl-Anthony Towns assists),False,0,20,0.7200,0.2800
259,3,8:45,1635.0000,27,Josh Hart shooting foul,False,0,20,0.6400,0.3600
260,3,8:45,1635.0000,27,Luka Doncic makes free throw 1 of 2,True,1,21,0.6400,0.3600
261,3,8:45,1635.0000,27,Luka Doncic makes free throw 2 of 2,True,1,22,0.8500,0.1500
262,3,8:26,1654.0000,27,Mikal Bridges makes driving dunk (Karl-Anthony Towns assists),False,0,22,0.7400,0.2600
263,3,8:11,1669.0000,27,Jake LaRavia misses 26-foot three point jumper,False,0,22,0.8200,0.1800
264,3,8:09,1671.0000,27,Jalen Brunson defensive rebound,False,0,22,0.7600,0.2400
265,3,8:03,1677.0000,27,Mikal Bridges misses 22-foot running jump shot,False,0,22,0.7000,0.3000
266,3,8:01,1679.0000,27,Karl-Anthony Towns offensive rebound,False,0,22,0.7000,0.3000
267,3,8:00,1680.0000,28,Karl-Anthony Towns makes two point shot,False,0,22,0.8000,0.2000
268,3,7:37,1703.0000,28,"Jake LaRavia bad pass
turnover (OG Anunoby steals)",False,0,22,0.7500,0.2500
269,3,7:23,1717.0000,28,Jalen Brunson misses two point shot,False,0,22,0.7800,0.2200
270,3,7:22,1718.0000,28,Karl-Anthony Towns offensive rebound,False,0,22,0.6300,0.3700
271,3,7:22,1718.0000,28,Karl-Anthony Towns makes tip in dunk,False,0,22,0.6400,0.3600
272,3,7:22,1718.0000,28,Lakers Full timeout,False,0,22,0.7200,0.2800
