strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
17,10-15 (Role Player),2-6 Dog,N/A,UNDER,2.1,53.5,389,702,349,350,3,49.92846924177397,-3272.410000000002,-4.661552706552709,-6.76155270655271,2024-25
52,10-15 (Role Player),2-6 Dog,N/A,OVER,-11.2,46.5,389,702,350,349,3,50.07153075822603,-3081.5000000000027,-4.389601139601144,6.8103988603988554,2024-25
30,10-15 (Role Player),2-6 Fav,N/A,UNDER,-2.8,50.9,390,686,356,327,3,52.12298682284041,-336.0400000000027,-0.48985422740525175,2.310145772594748,2024-25
40,10-15 (Role Player),2-6 Fav,N/A,OVER,-6.3,49.1,390,686,327,356,3,47.87701317715959,-5872.430000000003,-8.560393586005835,-2.2603935860058355,2024-25
19,5-10 (Bench),2-6 Fav,N/A,UNDER,1.6,53.2,407,580,288,291,1,49.740932642487046,-2917.920000000002,-5.030896551724141,-6.630896551724142,2024-25
50,5-10 (Bench),2-6 Fav,N/A,OVER,-10.7,46.8,407,580,291,288,1,50.259067357512954,-2345.1900000000023,-4.043431034482762,6.656568965517237,2024-25
47,5-10 (Bench),2-6 Dog,N/A,UNDER,-9.5,47.4,387,548,282,263,3,51.74311926605505,-663.380000000002,-1.210547445255478,8.289452554744521,2024-25
22,5-10 (Bench),2-6 Dog,N/A,OVER,0.4,52.6,387,548,263,282,3,48.25688073394495,-4290.670000000002,-7.829689781021901,-8.2296897810219,2024-25
31,10-15 (Role Player),6-10 Dog,N/A,OVER,-4.2,50.2,315,540,261,279,0,48.333333333333336,-4172.4900000000025,-7.726833333333339,-3.5268333333333386,2024-25
38,10-15 (Role Player),6-10 Dog,N/A,UNDER,-4.8,49.8,315,540,279,261,0,51.66666666666667,-736.1100000000015,-1.3631666666666695,3.4368333333333303,2024-25
41,10-15 (Role Player),6-10 Fav,N/A,UNDER,-6.8,48.8,297,540,279,261,0,51.66666666666667,-736.1100000000024,-1.363166666666671,5.436833333333329,2024-25
28,10-15 (Role Player),6-10 Fav,N/A,OVER,-2.3,51.2,297,540,261,279,0,48.333333333333336,-4172.490000000002,-7.726833333333337,-5.426833333333337,2024-25
51,5-10 (Bench),6-10 Fav,N/A,UNDER,-10.9,46.7,332,476,238,237,1,50.10526315789474,-2063.4200000000023,-4.334915966386559,6.5650840336134415,2024-25
18,5-10 (Bench),6-10 Fav,N/A,OVER,1.8,53.3,332,476,237,238,1,49.89473684210527,-2254.3300000000017,-4.735987394957987,-6.535987394957987,2024-25
55,15-20 (High Role),2-6 Dog,N/A,OVER,-11.7,46.3,268,469,255,214,0,54.37100213219617,1782.0499999999975,3.7996801705756873,15.499680170575687,2024-25
14,15-20 (High Role),2-6 Dog,N/A,UNDER,2.6,53.7,268,469,214,255,0,45.62899786780384,-6045.260000000002,-12.889680170575698,-15.489680170575697,2024-25
48,15-20 (High Role),2-6 Fav,N/A,OVER,-9.7,47.3,277,433,232,201,0,53.5796766743649,991.1199999999973,2.2889607390300166,11.988960739030016,2024-25
21,15-20 (High Role),2-6 Fav,N/A,UNDER,0.6,52.7,277,433,201,232,0,46.4203233256351,-4927.090000000002,-11.378960739030028,-11.978960739030027,2024-25
24,5-10 (Bench),6-10 Dog,N/A,UNDER,-0.8,52.0,303,413,203,209,1,49.271844660194176,-2445.2700000000013,-5.92075060532688,-5.12075060532688,2024-25
45,5-10 (Bench),6-10 Dog,N/A,OVER,-8.3,48.0,303,413,209,203,1,50.728155339805824,-1299.8100000000018,-3.1472397094431037,5.1527602905568965,2024-25
43,10-15 (Role Player),Pick'em (-2 to +2),N/A,UNDER,-7.6,48.4,251,391,200,190,1,51.28205128205128,-818.0000000000018,-2.0920716112532016,5.507928388746798,2024-25
26,10-15 (Role Player),Pick'em (-2 to +2),N/A,OVER,-1.5,51.6,251,391,190,200,1,48.717948717948715,-2727.1000000000017,-6.974680306905376,-5.474680306905376,2024-25
37,10-15 (Role Player),10-15 Fav,N/A,UNDER,-4.5,50.0,165,385,197,188,0,51.16883116883116,-890.7300000000013,-2.313584415584419,2.186415584415581,2024-25
36,10-15 (Role Player),10-15 Fav,N/A,OVER,-4.5,50.0,165,385,188,197,0,48.83116883116883,-2608.920000000002,-6.776415584415589,-2.276415584415589,2024-25
20,15-20 (High Role),6-10 Fav,N/A,UNDER,1.1,52.9,204,380,206,174,0,54.21052631578947,1327.459999999999,3.493315789473681,2.393315789473681,2024-25
49,15-20 (High Role),6-10 Fav,N/A,OVER,-10.2,47.1,204,380,174,206,0,45.78947368421053,-4781.660000000002,-12.583315789473689,-2.3833157894736896,2024-25
1,20-25 (Star),2-6 Fav,N/A,UNDER,9.3,57.2,152,371,203,168,0,54.71698113207547,1654.7299999999987,4.460188679245279,-4.8398113207547215,2024-25
68,20-25 (Star),2-6 Fav,N/A,OVER,-18.4,42.8,152,371,168,203,0,45.28301886792453,-5027.120000000002,-13.550188679245286,4.849811320754712,2024-25
42,15-20 (High Role),6-10 Dog,N/A,UNDER,-7.5,48.5,195,362,170,191,1,47.091412742382275,-3645.300000000001,-10.069889502762434,-2.569889502762434,2024-25
27,15-20 (High Role),6-10 Dog,N/A,OVER,-1.6,51.5,195,362,191,170,1,52.90858725761773,363.8099999999988,1.0049999999999968,2.604999999999997,2024-25
67,10-15 (Role Player),10-15 Dog,N/A,UNDER,-16.5,43.8,176,362,174,187,1,48.199445983379505,-2881.6600000000017,-7.960386740331496,8.539613259668503,2024-25
2,10-15 (Role Player),10-15 Dog,N/A,OVER,7.4,56.2,176,362,187,174,1,51.8005540166205,-399.83000000000123,-1.1045027624309427,-8.504502762430944,2024-25
66,20-25 (Star),2-6 Dog,N/A,OVER,-16.0,44.0,150,342,178,163,1,52.19941348973607,-118.02000000000135,-0.34508771929824955,15.654912280701751,2024-25
3,20-25 (Star),2-6 Dog,N/A,UNDER,6.9,56.0,150,342,163,178,1,47.80058651026393,-2981.6700000000014,-8.718333333333337,-15.618333333333338,2024-25
0,5-10 (Bench),Pick'em (-2 to +2),N/A,UNDER,10.2,57.7,213,302,153,149,0,50.66225165562914,-990.7700000000011,-3.2806953642384147,-13.480695364238414,2024-25
69,5-10 (Bench),Pick'em (-2 to +2),N/A,OVER,-19.3,42.3,213,302,149,153,0,49.337748344370866,-1754.4100000000012,-5.809304635761594,13.490695364238407,2024-25
59,20-25 (Star),6-10 Fav,N/A,UNDER,-13.9,45.1,122,289,156,133,0,53.979238754325266,881.9599999999991,3.05176470588235,16.95176470588235,2024-25
8,20-25 (Star),6-10 Fav,N/A,OVER,4.8,54.9,122,289,133,156,0,46.02076124567474,-3508.970000000001,-12.141764705882357,-16.941764705882356,2024-25
5,15-20 (High Role),Pick'em (-2 to +2),N/A,UNDER,6.5,55.8,156,273,133,139,1,48.89705882352941,-1808.9700000000012,-6.62626373626374,-13.126263736263741,2024-25
64,15-20 (High Role),Pick'em (-2 to +2),N/A,OVER,-15.6,44.2,156,273,139,133,1,51.10294117647059,-663.5100000000008,-2.4304395604395634,13.169560439560437,2024-25
32,15-20 (High Role),10-15 Fav,N/A,OVER,-4.5,50.0,103,267,136,131,0,50.936329588014985,-736.2400000000009,-2.7574531835206026,1.7425468164793974,2024-25
56,5-10 (Bench),10-15 Dog,N/A,OVER,-12.2,46.0,166,267,137,130,0,51.31086142322098,-545.3300000000015,-2.0424344569288446,10.157565543071154,2024-25
33,15-20 (High Role),10-15 Fav,N/A,UNDER,-4.5,50.0,103,267,131,136,0,49.063670411985015,-1690.7900000000016,-6.3325468164794065,-1.8325468164794065,2024-25
13,5-10 (Bench),10-15 Dog,N/A,UNDER,3.1,54.0,166,267,130,137,0,48.68913857677903,-1881.7000000000012,-7.0475655430711655,-10.147565543071165,2024-25
65,5-10 (Bench),10-15 Fav,N/A,OVER,-15.8,44.1,204,263,148,115,0,56.27376425855514,1954.679999999999,7.4322433460076,23.2322433460076,2024-25
4,5-10 (Bench),10-15 Fav,N/A,UNDER,6.7,55.9,204,263,115,148,0,43.72623574144487,-4345.350000000002,-16.522243346007613,-23.222243346007613,2024-25
53,20-25 (Star),6-10 Dog,N/A,UNDER,-11.6,46.3,121,259,139,119,1,53.875968992248055,736.4899999999986,2.8435907335907284,14.443590733590728,2024-25
15,20-25 (Star),6-10 Dog,N/A,OVER,2.6,53.7,121,259,119,139,1,46.12403100775194,-3081.710000000001,-11.898494208494212,-14.498494208494211,2024-25
57,15-20 (High Role),10-15 Dog,N/A,OVER,-13.1,45.5,112,240,118,122,0,49.166666666666664,-1472.6200000000015,-6.135916666666673,6.964083333333327,2024-25
12,15-20 (High Role),10-15 Dog,N/A,UNDER,4.0,54.5,112,240,122,118,0,50.83333333333333,-708.9800000000012,-2.954083333333338,-6.9540833333333385,2024-25
16,25-30 (High Star),2-6 Fav,N/A,UNDER,2.5,53.7,54,224,108,114,2,48.64864864864865,-1581.720000000001,-7.061250000000004,-9.561250000000005,2024-25
54,25-30 (High Star),2-6 Fav,N/A,OVER,-11.6,46.3,54,224,114,108,2,51.35135135135135,-436.2600000000009,-1.9475892857142896,9.65241071428571,2024-25
7,20-25 (Star),Pick'em (-2 to +2),N/A,OVER,5.6,55.3,94,205,100,105,0,48.78048780487805,-1409.0000000000005,-6.873170731707319,-12.473170731707318,2024-25
62,20-25 (Star),Pick'em (-2 to +2),N/A,UNDER,-14.7,44.7,94,205,105,100,0,51.21951219512195,-454.45000000000056,-2.2168292682926856,12.483170731707315,2024-25
60,20-25 (Star),10-15 Fav,N/A,UNDER,-13.9,45.1,52,189,99,89,1,52.659574468085104,100.08999999999907,0.5295767195767146,14.429576719576716,2024-25
9,20-25 (Star),10-15 Fav,N/A,OVER,4.8,54.9,52,189,89,99,1,47.340425531914896,-1809.0100000000004,-9.571481481481484,-14.371481481481485,2024-25
