bookmaker,player,odds,implied_prob,fetch_date
fanduel,Shai Gilgeous-Alexander,-450,0.8181818181818182,2026-01-09
fanduel,Luka Doncic,750,0.11764705882352941,2026-01-09
fanduel,Cade Cunningham,1800,0.05263157894736842,2026-01-09
fanduel,Jaylen Brown,4000,0.024390243902439025,2026-01-09
fanduel,Jalen Brunson,7500,0.013157894736842105,2026-01-09
fanduel,Anthony Edwards,10000,0.009900990099009901,2026-01-09
fanduel,Tyrese Maxey,10000,0.009900990099009901,2026-01-09
fanduel,Donovan Mitchell,20000,0.004975124378109453,2026-01-09
fanduel,Kawhi Leonard,100000,0.000999000999000999,2026-01-09
fanduel,Stephen Curry,100000,0.000999000999000999,2026-01-09
fanduel,Alperen Sengun,100000,0.000999000999000999,2026-01-09
fanduel,Kevin Durant,100000,0.000999000999000999,2026-01-09
