game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-21,Austin Reaves,Los Angeles Lakers,LAL vs. GSW,22.055555555555557,2.5454545454545454,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,26,LOSS,3.944444444444443,-100.0
2025-10-22,Victor Wembanyama,San Antonio Spurs,SAS @ DAL,24.5,3.590909090909091,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,40,LOSS,15.5,-100.0
2025-10-22,Tyrese Maxey,Philadelphia 76ers,PHI @ BOS,25.35,5.0,25-30 (High Star),2-6 Dog,,6,OVER,6.1,6.9,55.6,108,40,WIN,14.649999999999999,90.91
2025-10-22,OG Anunoby,New York Knicks,NYK vs. CLE,16.147058823529413,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),,5,UNDER,6.5,4.4,55.8,156,24,LOSS,7.852941176470587,-100.0
2025-10-22,DeMar DeRozan,Sacramento Kings,SAC @ PHX,22.342105263157897,3.6818181818181817,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,29,LOSS,6.657894736842103,-100.0
2025-10-22,Zion Williamson,New Orleans Pelicans,NOP @ MEM,24.92105263157895,4.090909090909091,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,27,LOSS,2.0789473684210513,-100.0
2025-10-22,Evan Mobley,Cleveland Cavaliers,CLE @ NYK,18.264705882352946,-1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),,5,UNDER,6.5,4.4,55.8,156,22,LOSS,3.7352941176470544,-100.0
2025-10-22,Ja Morant,Memphis Grizzlies,MEM vs. NOP,24.657894736842103,-4.090909090909091,20-25 (Star),2-6 Fav,,1,UNDER,9.3,5.9,57.2,152,35,LOSS,10.342105263157897,-100.0
2025-10-22,Anthony Davis,Dallas Mavericks,DAL vs. SAS,24.657894736842103,-3.590909090909091,20-25 (Star),2-6 Fav,,1,UNDER,9.3,5.9,57.2,152,22,WIN,-2.6578947368421026,90.91
2025-10-22,Jaren Jackson Jr.,Memphis Grizzlies,MEM vs. NOP,22.605263157894736,-4.090909090909091,20-25 (Star),2-6 Fav,,1,UNDER,9.3,5.9,57.2,152,18,WIN,-4.605263157894736,90.91
2025-10-22,Josh Giddey,Chicago Bulls,CHI vs. DET,20.38888888888889,3.1818181818181817,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,19,WIN,-1.3888888888888893,90.91
2025-10-22,Mikal Bridges,New York Knicks,NYK vs. CLE,16.3125,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),,5,UNDER,6.5,4.4,55.8,156,16,WIN,-0.3125,90.91
2025-10-22,Jaylen Brown,Boston Celtics,BOS vs. PHI,24.333333333333332,-5.0,20-25 (Star),2-6 Fav,,1,UNDER,9.3,5.9,57.2,152,25,LOSS,0.6666666666666679,-100.0
2025-10-22,Zach LaVine,Sacramento Kings,SAC @ PHX,22.605263157894736,3.6818181818181817,20-25 (Star),2-6 Dog,,3,UNDER,6.9,4.6,56.0,150,30,LOSS,7.394736842105264,-100.0
