game_id,game_time,away_team,home_team,bookmaker,away_spread,away_price,away_adjusted_spread,home_spread,home_price,home_adjusted_spread,fetched_at,last_bookmaker_update
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,fanduel,-9.0,-110,-9.0,9.0,-110,9.0,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,lowvig,-9.5,-104,-9.491,9.5,-108,9.503,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,betonlineag,-9.5,-108,-9.497,9.5,-112,9.497,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,draftkings,-9.5,-108,-9.497,9.5,-112,9.497,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,williamhill_us,-9.0,-120,-9.015,9.0,100,9.495,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,fanatics,-9.5,-110,-9.5,9.5,-110,9.5,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,betmgm,-9.5,-110,-9.5,9.5,-110,9.5,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,betus,-9.5,-110,-9.5,9.5,-110,9.5,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,betrivers,-9.0,-114,-9.006,9.0,-112,8.997,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,mybookieag,-9.5,-110,-9.5,9.5,-110,9.5,2025-12-24T02:17:24.218624+00:00,
01c88e9888ab9344ed32a62b225d1599,2025-12-24T03:10:00Z,Detroit Pistons,Sacramento Kings,bovada,-9.5,-105,-9.4925,9.5,-115,9.4925,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,fanduel,-1.5,-106,-1.494,1.5,-114,1.494,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,betonlineag,-1.5,-107,-1.4955,1.5,-113,1.4955,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,lowvig,-1.5,-103,-1.4895,1.5,-109,1.5015,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,mybookieag,-1.5,-110,-1.5,1.5,-110,1.5,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,draftkings,-1.5,-112,-1.503,1.5,-108,1.503,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,williamhill_us,-1.5,-115,-1.5075,1.5,-105,1.5075,2025-12-24T02:17:24.218624+00:00,
e6de2100b01d094ccb20332bec9bd42a,2025-12-24T03:10:00Z,Orlando Magic,Portland Trail Blazers,fanatics,-1.5,-110,-1.5,1.5,-110,1.5,2025-12-24T02:17:24.218624+00:00,
