game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2023-10-24,Devin Booker,Phoenix Suns,PHX @ GSW,28.055555555555557,2.7,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,32,WIN,3.944444444444443,100.0
2023-10-24,LeBron James,Los Angeles Lakers,LAL @ DEN,24.3,4.533333333333333,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,21,WIN,-3.3000000000000007,100.0
2023-10-24,Anthony Davis,Los Angeles Lakers,LAL @ DEN,24.291666666666668,4.533333333333333,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,17,WIN,-7.291666666666668,100.0
2023-10-24,Christian Wood,Los Angeles Lakers,LAL @ DEN,7.5,4.533333333333333,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,7,LOSS,-0.5,-110.0
2023-10-24,Rui Hachimura,Los Angeles Lakers,LAL @ DEN,9.5,4.533333333333333,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,6,LOSS,-3.5,-110.0
2023-10-25,Luka Dončić,Dallas Mavericks,DAL @ SAS,29.291666666666668,-4.5,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,33,LOSS,3.708333333333332,-110.0
2023-10-25,Jayson Tatum,Boston Celtics,BOS @ NYK,26.416666666666668,-3.9,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,34,LOSS,7.583333333333332,-110.0
2023-10-25,Shai Gilgeous-Alexander,Oklahoma City Thunder,OKC @ CHI,29.5,2.5,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,31,WIN,1.5,100.0
2023-10-25,Max Strus,Cleveland Cavaliers,CLE @ BKN,10.875,-1.9666666666666663,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,27,WIN,16.125,100.0
2023-10-25,Domantas Sabonis,Sacramento Kings,SAC @ UTA,18.45,-1.5,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,22,LOSS,3.5500000000000007,-110.0
2023-10-25,CJ McCollum,New Orleans Pelicans,NOP @ MEM,18.5,1.1,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),12,UNDER,6.8,4.4,56.0,109,24,LOSS,5.5,-110.0
2023-10-25,Harrison Barnes,Sacramento Kings,SAC @ UTA,13.289473684210526,-1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,33,WIN,19.710526315789473,100.0
2023-10-25,Anthony Edwards,Minnesota Timberwolves,MIN @ TOR,24.5,0.4,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),13,OVER,6.7,7.5,55.9,68,26,WIN,1.5,100.0
2023-10-25,Scottie Barnes,Toronto Raptors,TOR vs. MIN,16.2,-0.4,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,17,LOSS,0.8000000000000007,-110.0
2023-10-25,Jalen Duren,Detroit Pistons,DET @ MIA,10.264705882352942,9.5,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,17,LOSS,6.735294117647058,-110.0
2023-10-25,Xavier Tillman,Memphis Grizzlies,MEM vs. NOP,9.766666666666667,-1.1,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,17,LOSS,7.2333333333333325,-110.0
2023-10-25,Karl-Anthony Towns,Minnesota Timberwolves,MIN @ TOR,20.8,0.4,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),13,OVER,6.7,7.5,55.9,68,19,LOSS,-1.8000000000000007,-110.0
2023-10-25,OG Anunoby,Toronto Raptors,TOR vs. MIN,16.25,-0.4,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,20,LOSS,3.75,-110.0
2023-10-25,Julius Randle,New York Knicks,NYK vs. BOS,22.818181818181817,3.9,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,14,WIN,-8.818181818181817,100.0
2023-10-25,Jordan Clarkson,Utah Jazz,UTA vs. SAC,17.928571428571427,1.5,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),12,UNDER,6.8,4.4,56.0,109,24,LOSS,6.071428571428573,-110.0
2023-10-25,Trae Young,Atlanta Hawks,ATL @ CHA,26.5,-3.8333333333333335,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,23,WIN,-3.5,100.0
2023-10-25,Dennis Schröder,Toronto Raptors,TOR vs. MIN,11.911764705882351,-0.4,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,22,WIN,10.088235294117649,100.0
2023-10-25,Keldon Johnson,San Antonio Spurs,SAS vs. DAL,20.136363636363637,4.5,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,17,WIN,-3.1363636363636367,100.0
2023-10-25,Keegan Murray,Sacramento Kings,SAC @ UTA,13.35,-1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,15,WIN,1.6500000000000004,100.0
2023-10-25,Kyrie Irving,Dallas Mavericks,DAL @ SAS,28.708333333333332,-4.5,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,22,WIN,-6.708333333333332,100.0
2023-10-25,RJ Barrett,New York Knicks,NYK vs. BOS,18.44736842105263,3.9,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,24,LOSS,5.55263157894737,-110.0
2023-10-25,Kyle Kuzma,Washington Wizards,WAS @ IND,18.9,4.7,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,25,LOSS,6.100000000000001,-110.0
2023-10-25,Victor Wembanyama,San Antonio Spurs,SAS vs. DAL,17.657894736842106,4.5,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,15,WIN,-2.657894736842106,100.0
2023-10-25,Anfernee Simons,Portland Trail Blazers,POR @ LAC,23.636363636363637,9.26923076923077,20-25 (Star),6-10 Dog,Perimeter (<40.0%),19,OVER,5.1,6.7,55.1,69,18,LOSS,-5.636363636363637,-110.0
2023-10-25,Herbert Jones,New Orleans Pelicans,NOP @ MEM,10.5,1.1,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,13,WIN,2.5,100.0
2023-10-25,Josh Giddey,Oklahoma City Thunder,OKC @ CHI,16.666666666666668,2.5,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,16,WIN,-0.6666666666666679,100.0
2023-10-25,Jordan Poole,Washington Wizards,WAS @ IND,25.833333333333332,4.7,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,18,LOSS,-7.833333333333332,-110.0
2023-10-25,Jaren Jackson Jr.,Memphis Grizzlies,MEM vs. NOP,19.25,-1.1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,8,WIN,-11.25,100.0
2023-10-25,Marcus Smart,Memphis Grizzlies,MEM vs. NOP,14.552631578947368,-1.1,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,17,WIN,2.447368421052632,100.0
2023-10-25,Ben Simmons,Brooklyn Nets,BKN vs. CLE,7.785714285714286,1.9666666666666663,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,4,WIN,-3.7857142857142856,100.0
2023-10-25,Ausar Thompson,Detroit Pistons,DET @ MIA,10.852941176470589,9.5,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,4,WIN,-6.852941176470589,100.0
2023-10-25,Deandre Ayton,Portland Trail Blazers,POR @ LAC,14.0625,9.26923076923077,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,4,WIN,-10.0625,100.0
2023-10-25,Zach LaVine,Chicago Bulls,CHI vs. OKC,25.58695652173913,-2.5,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,16,WIN,-9.586956521739129,100.0
2023-10-25,Mike Conley,Minnesota Timberwolves,MIN @ TOR,11.5,0.4,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,11,LOSS,-0.5,-110.0
2023-10-25,Evan Mobley,Cleveland Cavaliers,CLE @ BKN,15.5,-1.9666666666666663,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,10,WIN,-5.5,100.0
2023-10-25,Talen Horton-Tucker,Utah Jazz,UTA vs. SAC,14.5,1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,8,LOSS,-6.5,-110.0
2023-10-25,Naz Reid,Minnesota Timberwolves,MIN @ TOR,10.5,0.4,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,10,LOSS,-0.5,-110.0
