strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,212,123,89,0,58.01886792452831,2510.0,10.763293310463123,5.263293310463123
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,191,98,93,0,51.30890052356021,-430.0,-2.0466444550214185,-10.646644455021418
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,170,68,102,0,40.0,-4420.0,-23.636363636363637,-28.736363636363635
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,166,76,90,0,45.78313253012048,-2300.0,-12.595837897042717,-17.99583789704272
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,157,95,62,0,60.509554140127385,2680.0,15.518239722061377,8.718239722061377
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,150,92,57,1,61.74496644295302,2930.0,17.757575757575758,7.857575757575757
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,134,65,69,0,48.507462686567166,-1090.0,-7.3948439620081405,-13.594843962008142
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,130,51,79,0,39.23076923076923,-3590.0,-25.104895104895103,-33.904895104895104
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,128,61,67,0,47.65625,-1270.0,-9.019886363636363,-18.519886363636363
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,125,52,73,0,41.6,-2830.0,-20.581818181818182,-27.28181818181818
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,111,57,54,0,51.35135135135135,-240.0,-1.9656019656019657,-9.865601965601966
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,110,61,49,0,55.45454545454545,710.0,5.867768595041322,-1.1322314049586781
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,93,50,43,0,53.76344086021505,270.0,2.6392961876832843,-9.260703812316716
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,82,39,43,0,47.5609756097561,-830.0,-9.201773835920177,-16.101773835920177
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,81,41,40,0,50.617283950617285,-300.0,-3.3670033670033668,-29.367003367003367
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,72,33,39,0,45.83333333333333,-990.0,-12.5,-23.6
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,70,22,48,0,31.428571428571427,-3080.0,-40.0,-47.0
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,53,31,22,0,58.490566037735846,680.0,11.663807890222985,5.063807890222986
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,48,33,15,0,68.75,1650.0,31.25,21.95
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,31,11,20,0,35.483870967741936,-1100.0,-32.25806451612903,-38.85806451612903
