season,strategy_type,total_plays,wins,losses,pushes,no_data,win_rate,total_profit,total_staked,roi
2024-25,3d,2842,1408,1429,5,0,49.62989072964399,-14898.720000000012,283700,-5.251575608036663
2023-24,3d,2081,1071,1009,1,0,51.49038461538461,-3535.390000000009,208000,-1.6997067307692353
