date,season,player,team,opponent,bet_side,line,spread,line_tier,spread_bin,strategy_name,expected_roi,edge_vs_baseline,hit_rate,games_in_sample,game_time,bookmakers,num_bookmakers,bookmaker_details_over,bookmaker_details_under,edge_vs_breakeven
2026-01-18,2025-26,Bruce Brown,DEN,CHA,UNDER,6.5,1.5,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -116}, {""bookmaker"": ""BetRivers"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -113}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -111}, {""bookmaker"": ""BetRivers"", ""line"": 6.5, ""odds"": -112}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -113}]",7.119999999999997
2026-01-18,2025-26,Jalen Pickett,DEN,CHA,UNDER,8.5,1.5,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 8.5, ""odds"": -109}, {""bookmaker"": ""Bovada"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 8.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 8.5, ""odds"": -113}]","[{""bookmaker"": ""BetMGM"", ""line"": 8.5, ""odds"": -125}, {""bookmaker"": ""BetOnline.ag"", ""line"": 8.5, ""odds"": -119}, {""bookmaker"": ""Bovada"", ""line"": 8.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 8.5, ""odds"": -115}, {""bookmaker"": ""DraftKings"", ""line"": 8.5, ""odds"": -116}, {""bookmaker"": ""FanDuel"", ""line"": 8.5, ""odds"": -113}]",7.119999999999997
2026-01-18,2025-26,Moussa Diabate,CHA,DEN,UNDER,7.5,-1.5,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetRivers, Bovada, Caesars, DraftKings, FanDuel",5,"[{""bookmaker"": ""BetRivers"", ""line"": 7.5, ""odds"": -130}, {""bookmaker"": ""Bovada"", ""line"": 7.5, ""odds"": -145}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -132}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -139}, {""bookmaker"": ""FanDuel"", ""line"": 7.5, ""odds"": -125}]","[{""bookmaker"": ""BetRivers"", ""line"": 7.5, ""odds"": -103}, {""bookmaker"": ""Bovada"", ""line"": 7.5, ""odds"": 110}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -102}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": 109}, {""bookmaker"": ""FanDuel"", ""line"": 7.5, ""odds"": -102}]",7.119999999999997
2026-01-18,2025-26,Rui Hachimura,LAL,TOR,UNDER,7.5,-1.0,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, Caesars, DraftKings",4,"[{""bookmaker"": ""BetMGM"", ""line"": 7.5, ""odds"": -130}, {""bookmaker"": ""BetOnline.ag"", ""line"": 7.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -108}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -103}]","[{""bookmaker"": ""BetMGM"", ""line"": 7.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 7.5, ""odds"": -123}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -124}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -124}]",7.119999999999997
2026-01-18,2025-26,Sandro Mamukelashvili,TOR,LAL,UNDER,9.5,1.0,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel, Fanatics",8,"[{""bookmaker"": ""BetMGM"", ""line"": 9.5, ""odds"": -135}, {""bookmaker"": ""BetOnline.ag"", ""line"": 9.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 9.5, ""odds"": -136}, {""bookmaker"": ""Bovada"", ""line"": 9.5, ""odds"": -150}, {""bookmaker"": ""Caesars"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 9.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""Fanatics"", ""line"": 9.5, ""odds"": -120}]","[{""bookmaker"": ""BetMGM"", ""line"": 9.5, ""odds"": 100}, {""bookmaker"": ""BetOnline.ag"", ""line"": 9.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 9.5, ""odds"": 102}, {""bookmaker"": ""Bovada"", ""line"": 9.5, ""odds"": 115}, {""bookmaker"": ""Caesars"", ""line"": 9.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 9.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 9.5, ""odds"": -102}, {""bookmaker"": ""Fanatics"", ""line"": 9.5, ""odds"": -110}]",7.119999999999997
2026-01-18,2025-26,Sion James,CHA,DEN,UNDER,5.5,-1.5,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""DraftKings"", ""line"": 5.5, ""odds"": -113}, {""bookmaker"": ""FanDuel"", ""line"": 5.5, ""odds"": -113}]","[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 5.5, ""odds"": -117}, {""bookmaker"": ""DraftKings"", ""line"": 5.5, ""odds"": -113}, {""bookmaker"": ""FanDuel"", ""line"": 5.5, ""odds"": -113}]",7.119999999999997
2026-01-18,2025-26,Zach LaVine,SAC,POR,UNDER,20.5,-2.5,20-25 (Star),2-6 Fav,star_narrow_under,10.9,6.5,58.1,167,2026-01-18 21:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, FanDuel, Fanatics",5,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -108}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -122}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 20.5, ""odds"": -108}, {""bookmaker"": ""Fanatics"", ""line"": 20.5, ""odds"": -105}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -109}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""FanDuel"", ""line"": 20.5, ""odds"": -118}, {""bookmaker"": ""Fanatics"", ""line"": 20.5, ""odds"": -125}]",5.719999999999999
2026-01-18,2025-26,Zeke Nnaji,DEN,CHA,UNDER,6.5,1.5,5-10 (Bench),Pick'em (-2 to +2),bench_pickem_under,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 6.5, ""odds"": -135}, {""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -130}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -135}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -132}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -129}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -125}]","[{""bookmaker"": ""BetMGM"", ""line"": 6.5, ""odds"": 100}, {""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": 101}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": 105}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -102}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": 101}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -102}]",7.119999999999997
