School,Nickname,Conference,team_name_espn
University of North Florida,Ospreys,ASUN,North Florida Ospreys
Queens University of Charlotte,Royals,ASUN,Queens Charlotte Royals
Stetson University,Hatters,ASUN,Stetson Hatters
University of West Georgia[b],Wolves,ASUN[a],West Georgia[b] Wolves
Davidson College,Wildcats,A-10,Davidson College Wildcats
University of Dayton,Flyers,A-10,Dayton Flyers
Duquesne University,Dukes,A-10,Duquesne Dukes
Fordham University,Rams,A-10,Fordham Rams
George Mason University,Patriots,A-10,George Mason Patriots
George Washington University (GW),Revolutionaries,A-10,George Washington (GW) Revolutionaries
La Salle University,Explorers,A-10,La Salle Explorers
Loyola University Chicago (Loyola Chicago),Ramblers,A-10,Loyola Chicago (Loyola Chicago) Ramblers
University of Rhode Island,Rams,A-10,Rhode Island Rams
University of Richmond,Spiders,A-10,Richmond Spiders
St. Bonaventure University,Bonnies,A-10,St. Bonaventure Bonnies
Saint Joseph's University (Saint Joe's),Hawks,A-10,Saint Joseph's (Saint Joe's) Hawks
Saint Louis University (SLU),Billikens,A-10,Saint Louis (SLU) Billikens
Virginia Commonwealth University (VCU),Rams,A-10,Virginia Commonwealth (VCU) Rams
Butler University,Bulldogs,Big East,Butler Bulldogs
Creighton University,Bluejays,Big East,Creighton Bluejays
DePaul University,Blue Demons,Big East,DePaul Blue Demons
Georgetown University,Hoyas,Big East,Georgetown Hoyas
Marquette University,Golden Eagles,Big East,Marquette Golden Eagles
Providence College,Friars,Big East,Providence College Friars
St. John's University,Red Storm,Big East,St. John's Red Storm
Seton Hall University,Pirates,Big East,Seton Hall Pirates
University of Connecticut (UConn),Huskies,Big East,Connecticut (UConn) Huskies
Villanova University,Wildcats,Big East,Villanova Wildcats
Xavier University,Musketeers,Big East,Xavier Musketeers
Eastern Washington University,Eagles,Big Sky,Eastern Washington Eagles
University of Idaho,Vandals,Big Sky,Idaho Vandals
Idaho State University,Bengals,Big Sky,Idaho State Bengals
University of Montana,Grizzlies,Big Sky,Montana Grizzlies
Montana State University,Bobcats,Big Sky,Montana State Bobcats
Northern Arizona University,Lumberjacks,Big Sky,Northern Arizona Lumberjacks
University of Northern Colorado,Bears,Big Sky,Northern Colorado Bears
Portland State University,Vikings,Big Sky,Portland State Vikings
"California State University, Sacramento (Sacramento State)",Hornets,Big Sky[c],"California State , Sacramento (Sacramento State) Hornets"
Weber State University,Wildcats,Big Sky,Weber State Wildcats
Charleston Southern University,Buccaneers,Big South,Charleston Southern Buccaneers
Gardner–Webb University,Runnin' Bulldogs,Big South,Gardner–Webb Runnin' Bulldogs
High Point University,Panthers,Big South,High Point Panthers
Longwood University,Lancers,Big South,Longwood Lancers
Presbyterian College,Blue Hose,Big South,Presbyterian College Blue Hose
Radford University,Highlanders,Big South,Radford Highlanders
University of North Carolina at Asheville (UNC Asheville),Bulldogs,Big South,North Carolina at Asheville (UNC Asheville) Bulldogs
University of South Carolina Upstate (USC Upstate),Spartans,Big South,South Carolina Upstate (USC Upstate) Spartans
Winthrop University,Eagles,Big South,Winthrop Eagles
"University of California, Los Angeles (UCLA)",Bruins,Big Ten,"California, Los Angeles (UCLA) Bruins"
"University of Illinois Urbana–Champaign (Illinois, U of I)",Fighting Illini,Big Ten,"Illinois Urbana–Champaign (Illinois, U of I) Fighting Illini"
"Indiana University Bloomington (Indiana, IU)",Hoosiers,Big Ten,"Indiana Bloomington (Indiana, IU) Hoosiers"
University of Iowa,Hawkeyes,Big Ten,Iowa Hawkeyes
"University of Maryland, College Park (Maryland)",Terrapins,Big Ten,"Maryland, College Park (Maryland) Terrapins"
University of Michigan,Wolverines,Big Ten,Michigan Wolverines
Michigan State University,Spartans,Big Ten,Michigan State Spartans
University of Minnesota,Golden Gophers,Big Ten,Minnesota Golden Gophers
University of Nebraska–Lincoln (Nebraska),Cornhuskers,Big Ten,Nebraska–Lincoln (Nebraska) Cornhuskers
Northwestern University,Wildcats,Big Ten,Northwestern Wildcats
Ohio State University,Buckeyes,Big Ten,Ohio State Buckeyes
University of Oregon,Ducks,Big Ten,Oregon Ducks
Pennsylvania State University (Penn State),Nittany Lions,Big Ten,Pennsylvania State (Penn State) Nittany Lions
Purdue University,Boilermakers,Big Ten,Purdue Boilermakers
Rutgers University–New Brunswick (Rutgers),Scarlet Knights,Big Ten,Rutgers –New Brunswick (Rutgers) Scarlet Knights
University of Southern California (USC),Trojans,Big Ten,Southern California (USC) Trojans
"University of Washington (UW, U-Dub)",Huskies,Big Ten,"Washington (UW, U-Dub) Huskies"
University of Wisconsin–Madison (Wisconsin),Badgers,Big Ten,Wisconsin–Madison (Wisconsin) Badgers
University of Arizona,Wildcats,Big 12,Arizona Wildcats
Arizona State University,Sun Devils,Big 12,Arizona State Sun Devils
Baylor University,Bears,Big 12,Baylor Bears
Brigham Young University (BYU),Cougars,Big 12,Brigham Young (BYU) Cougars
University of Central Florida (UCF),Knights,Big 12,Central Florida (UCF) Knights
University of Cincinnati (UC),Bearcats,Big 12,Cincinnati (UC) Bearcats
University of Colorado Boulder (Colorado),Buffaloes,Big 12,Colorado Boulder (Colorado) Buffaloes
University of Houston,Cougars,Big 12,Houston Cougars
Iowa State University,Cyclones,Big 12,Iowa State Cyclones
University of Kansas,Jayhawks,Big 12,Kansas Jayhawks
Kansas State University,Wildcats,Big 12,Kansas State Wildcats
Oklahoma State University–Stillwater (Oklahoma State),Cowboys,Big 12,Oklahoma State –Stillwater (Oklahoma State) Cowboys
Texas Christian University (TCU),Horned Frogs,Big 12,Texas Christian (TCU) Horned Frogs
Texas Tech University,Red Raiders,Big 12,Texas Tech Red Raiders
University of Utah,Utes,Big 12,Utah Utes
West Virginia University (WVU),Mountaineers,Big 12,West Virginia (WVU) Mountaineers
California Polytechnic State University (Cal Poly),Mustangs,Big West,California Polytechnic State (Cal Poly) Mustangs
"California State University, Bakersfield (CSU Bakersfield or Cal State Bakersfield)",Roadrunners,Big West,"California State , Bakersfield (CSU Bakersfield or Cal State Bakersfield) Roadrunners"
