date,season,player,team,opponent,bet_side,line,spread,line_tier,spread_bin,strategy_name,expected_roi,edge_vs_baseline,hit_rate,games_in_sample,game_time,bookmakers,num_bookmakers,bookmaker_details_over,bookmaker_details_under,edge_vs_breakeven
2026-01-18,2025-26,Aaron Gordon,DEN,CHA,UNDER,18.5,1.5,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 18.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 18.5, ""odds"": -110}, {""bookmaker"": ""BetRivers"", ""line"": 18.5, ""odds"": -106}, {""bookmaker"": ""Bovada"", ""line"": 18.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 18.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 18.5, ""odds"": -116}, {""bookmaker"": ""FanDuel"", ""line"": 18.5, ""odds"": -104}]","[{""bookmaker"": ""BetMGM"", ""line"": 18.5, ""odds"": -125}, {""bookmaker"": ""BetOnline.ag"", ""line"": 18.5, ""odds"": -118}, {""bookmaker"": ""BetRivers"", ""line"": 18.5, ""odds"": -125}, {""bookmaker"": ""Bovada"", ""line"": 18.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 18.5, ""odds"": -120}, {""bookmaker"": ""DraftKings"", ""line"": 18.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 18.5, ""odds"": -122}]",3.8200000000000003
2026-01-18,2025-26,Brandon Ingram,TOR,LAL,OVER,24.5,1.0,20-25 (Star),Pick'em (-2 to +2),20-25 (Star) + Pick'em (-2 to +2) OVER,8.1,8.2,56.6,106,2026-01-18 21:40:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -103}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": 106}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": 100}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": 102}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -105}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -102}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -125}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": -141}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": -130}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": -135}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -121}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -125}]",4.219999999999999
2026-01-18,2025-26,Brandon Miller,CHA,DEN,OVER,20.5,-1.5,20-25 (Star),Pick'em (-2 to +2),20-25 (Star) + Pick'em (-2 to +2) OVER,8.1,8.2,56.6,106,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -117}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 20.5, ""odds"": -122}, {""bookmaker"": ""DraftKings"", ""line"": 20.5, ""odds"": -106}, {""bookmaker"": ""FanDuel"", ""line"": 20.5, ""odds"": -122}]","[{""bookmaker"": ""BetMGM"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 20.5, ""odds"": -111}, {""bookmaker"": ""DraftKings"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""FanDuel"", ""line"": 20.5, ""odds"": -104}]",4.219999999999999
2026-01-18,2025-26,Bruce Brown,DEN,CHA,UNDER,6.5,1.5,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -116}, {""bookmaker"": ""BetRivers"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -113}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -111}, {""bookmaker"": ""BetRivers"", ""line"": 6.5, ""odds"": -112}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -113}]",7.119999999999997
2026-01-18,2025-26,Derik Queen,NOP,HOU,OVER,11.5,13.5,10-15 (Role Player),10-15 Dog,10-15 (Role Player) + 10-15 Dog OVER,7.3,7.8,56.2,194,2026-01-18 19:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, DraftKings, FanDuel",5,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": 103}, {""bookmaker"": ""BetRivers"", ""line"": 11.5, ""odds"": 106}, {""bookmaker"": ""Bovada"", ""line"": 11.5, ""odds"": 100}, {""bookmaker"": ""DraftKings"", ""line"": 11.5, ""odds"": 101}, {""bookmaker"": ""FanDuel"", ""line"": 11.5, ""odds"": 104}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": -133}, {""bookmaker"": ""BetRivers"", ""line"": 11.5, ""odds"": -143}, {""bookmaker"": ""Bovada"", ""line"": 11.5, ""odds"": -130}, {""bookmaker"": ""DraftKings"", ""line"": 11.5, ""odds"": -129}, {""bookmaker"": ""FanDuel"", ""line"": 11.5, ""odds"": -132}]",3.8200000000000003
2026-01-18,2025-26,Immanuel Quickley,TOR,LAL,UNDER,16.5,1.0,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 16.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 16.5, ""odds"": -115}, {""bookmaker"": ""BetRivers"", ""line"": 16.5, ""odds"": -127}, {""bookmaker"": ""Bovada"", ""line"": 16.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 16.5, ""odds"": -118}, {""bookmaker"": ""DraftKings"", ""line"": 16.5, ""odds"": -117}, {""bookmaker"": ""FanDuel"", ""line"": 16.5, ""odds"": -115}]","[{""bookmaker"": ""BetMGM"", ""line"": 16.5, ""odds"": -118}, {""bookmaker"": ""BetOnline.ag"", ""line"": 16.5, ""odds"": -112}, {""bookmaker"": ""BetRivers"", ""line"": 16.5, ""odds"": -106}, {""bookmaker"": ""Bovada"", ""line"": 16.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 16.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 16.5, ""odds"": -109}, {""bookmaker"": ""FanDuel"", ""line"": 16.5, ""odds"": -111}]",3.8200000000000003
2026-01-18,2025-26,Jalen Pickett,DEN,CHA,UNDER,8.5,1.5,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 8.5, ""odds"": -109}, {""bookmaker"": ""Bovada"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 8.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 8.5, ""odds"": -113}]","[{""bookmaker"": ""BetMGM"", ""line"": 8.5, ""odds"": -125}, {""bookmaker"": ""BetOnline.ag"", ""line"": 8.5, ""odds"": -119}, {""bookmaker"": ""Bovada"", ""line"": 8.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 8.5, ""odds"": -115}, {""bookmaker"": ""DraftKings"", ""line"": 8.5, ""odds"": -116}, {""bookmaker"": ""FanDuel"", ""line"": 8.5, ""odds"": -113}]",7.119999999999997
2026-01-18,2025-26,Jeremiah Fears,NOP,HOU,OVER,12.5,13.5,10-15 (Role Player),10-15 Dog,10-15 (Role Player) + 10-15 Dog OVER,7.3,7.8,56.2,194,2026-01-18 19:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 12.5, ""odds"": -120}, {""bookmaker"": ""BetOnline.ag"", ""line"": 12.5, ""odds"": -108}, {""bookmaker"": ""BetRivers"", ""line"": 12.5, ""odds"": -108}, {""bookmaker"": ""Bovada"", ""line"": 12.5, ""odds"": 100}, {""bookmaker"": ""Caesars"", ""line"": 12.5, ""odds"": -110}, {""bookmaker"": ""DraftKings"", ""line"": 12.5, ""odds"": 100}, {""bookmaker"": ""FanDuel"", ""line"": 12.5, ""odds"": -104}]","[{""bookmaker"": ""BetMGM"", ""line"": 12.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 12.5, ""odds"": -120}, {""bookmaker"": ""BetRivers"", ""line"": 12.5, ""odds"": -122}, {""bookmaker"": ""Bovada"", ""line"": 12.5, ""odds"": -130}, {""bookmaker"": ""Caesars"", ""line"": 12.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 12.5, ""odds"": -128}, {""bookmaker"": ""FanDuel"", ""line"": 12.5, ""odds"": -122}]",3.8200000000000003
2026-01-18,2025-26,Jordan Poole,NOP,HOU,OVER,10.5,13.5,10-15 (Role Player),10-15 Dog,10-15 (Role Player) + 10-15 Dog OVER,7.3,7.8,56.2,194,2026-01-18 19:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 10.5, ""odds"": -118}, {""bookmaker"": ""BetOnline.ag"", ""line"": 10.5, ""odds"": -119}, {""bookmaker"": ""BetRivers"", ""line"": 10.5, ""odds"": -118}, {""bookmaker"": ""Bovada"", ""line"": 10.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 10.5, ""odds"": -118}, {""bookmaker"": ""DraftKings"", ""line"": 10.5, ""odds"": -116}, {""bookmaker"": ""FanDuel"", ""line"": 10.5, ""odds"": -115}]","[{""bookmaker"": ""BetMGM"", ""line"": 10.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 10.5, ""odds"": -109}, {""bookmaker"": ""BetRivers"", ""line"": 10.5, ""odds"": -113}, {""bookmaker"": ""Bovada"", ""line"": 10.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 10.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 10.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 10.5, ""odds"": -111}]",3.8200000000000003
2026-01-18,2025-26,Kon Knueppel,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -110}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -121}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -121}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -102}]","[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -118}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -110}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -112}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -105}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -125}]",3.8200000000000003
