date,season,player,team,opponent,bet_side,line,spread,line_tier,spread_bin,scorer_type,strategy_name,expected_roi,edge_vs_baseline,hit_rate,games_in_sample,game_time,bookmakers,num_bookmakers,bookmaker_details_over,bookmaker_details_under,edge_vs_breakeven
2026-01-18,2025-26,Aaron Gordon,DEN,CHA,UNDER,18.5,1.5,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.8,4.4,56.0,109,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 18.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 18.5, ""odds"": -110}, {""bookmaker"": ""BetRivers"", ""line"": 18.5, ""odds"": -106}, {""bookmaker"": ""Bovada"", ""line"": 18.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 18.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 18.5, ""odds"": -116}, {""bookmaker"": ""FanDuel"", ""line"": 18.5, ""odds"": -104}]",[],3.6199999999999974
2026-01-18,2025-26,Brandon Ingram,TOR,LAL,OVER,24.5,1.0,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),20-25 (Star) + Pick'em (-2 to +2) + Perimeter (<40.0%) OVER,6.7,7.5,55.9,68,2026-01-18 21:40:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -103}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": 106}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": 100}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": 102}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -105}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -102}]",[],3.519999999999996
2026-01-18,2025-26,Brandon Miller,CHA,DEN,OVER,20.5,-1.5,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),20-25 (Star) + Pick'em (-2 to +2) + Perimeter (<40.0%) OVER,6.7,7.5,55.9,68,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -117}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 20.5, ""odds"": -122}, {""bookmaker"": ""DraftKings"", ""line"": 20.5, ""odds"": -106}, {""bookmaker"": ""FanDuel"", ""line"": 20.5, ""odds"": -122}]",[],3.519999999999996
2026-01-18,2025-26,Bruce Brown,DEN,CHA,UNDER,6.5,1.5,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Rim Attacker (≥40.0%) UNDER,26.0,14.4,66.0,100,2026-01-18 20:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -116}, {""bookmaker"": ""BetRivers"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -113}]",[],13.619999999999997
2026-01-18,2025-26,Collin Sexton,CHA,DEN,OVER,11.5,-1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),10-15 (Role Player) + Pick'em (-2 to +2) + Perimeter (<40.0%) OVER,5.4,6.8,55.2,164,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 11.5, ""odds"": -130}, {""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": -125}, {""bookmaker"": ""BetRivers"", ""line"": 11.5, ""odds"": -124}, {""bookmaker"": ""Bovada"", ""line"": 11.5, ""odds"": -125}, {""bookmaker"": ""Caesars"", ""line"": 11.5, ""odds"": -127}, {""bookmaker"": ""DraftKings"", ""line"": 11.5, ""odds"": -121}, {""bookmaker"": ""FanDuel"", ""line"": 11.5, ""odds"": -122}]",[],2.8200000000000003
2026-01-18,2025-26,Deni Avdija,POR,SAC,OVER,26.5,2.5,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),25-30 (High Star) + 2-6 Dog + Perimeter (<40.0%) OVER,8.8,8.6,57.0,107,2026-01-18 21:10:00-05:00,"DraftKings, FanDuel",2,"[{""bookmaker"": ""DraftKings"", ""line"": 26.5, ""odds"": -104}, {""bookmaker"": ""FanDuel"", ""line"": 26.5, ""odds"": 102}]",[],4.619999999999997
2026-01-18,2025-26,Derik Queen,NOP,HOU,OVER,11.5,13.5,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),10-15 (Role Player) + 10-15 Dog + Rim Attacker (≥40.0%) OVER,9.5,9.0,57.4,68,2026-01-18 19:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, DraftKings, FanDuel",5,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": 103}, {""bookmaker"": ""BetRivers"", ""line"": 11.5, ""odds"": 106}, {""bookmaker"": ""Bovada"", ""line"": 11.5, ""odds"": 100}, {""bookmaker"": ""DraftKings"", ""line"": 11.5, ""odds"": 101}, {""bookmaker"": ""FanDuel"", ""line"": 11.5, ""odds"": 104}]",[],5.019999999999996
2026-01-18,2025-26,Immanuel Quickley,TOR,LAL,UNDER,16.5,1.0,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.8,4.4,56.0,109,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 16.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 16.5, ""odds"": -115}, {""bookmaker"": ""BetRivers"", ""line"": 16.5, ""odds"": -127}, {""bookmaker"": ""Bovada"", ""line"": 16.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 16.5, ""odds"": -118}, {""bookmaker"": ""DraftKings"", ""line"": 16.5, ""odds"": -117}, {""bookmaker"": ""FanDuel"", ""line"": 16.5, ""odds"": -115}]",[],3.6199999999999974
2026-01-18,2025-26,Jalen Pickett,DEN,CHA,UNDER,8.5,1.5,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.6,4.2,55.8,129,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 8.5, ""odds"": -109}, {""bookmaker"": ""Bovada"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 8.5, ""odds"": -113}, {""bookmaker"": ""DraftKings"", ""line"": 8.5, ""odds"": -110}, {""bookmaker"": ""FanDuel"", ""line"": 8.5, ""odds"": -113}]",[],3.4199999999999946
2026-01-18,2025-26,Jamal Shead,TOR,LAL,OVER,11.5,1.0,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),10-15 (Role Player) + Pick'em (-2 to +2) + Perimeter (<40.0%) OVER,5.4,6.8,55.2,164,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, Caesars, DraftKings, FanDuel",5,"[{""bookmaker"": ""BetMGM"", ""line"": 11.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 11.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 11.5, ""odds"": -104}, {""bookmaker"": ""FanDuel"", ""line"": 11.5, ""odds"": -102}]",[],2.8200000000000003
