date,season,player,team,opponent,bet_side,line,spread,line_tier,spread_bin,scorer_type,strategy_name,expected_roi,edge_vs_baseline,hit_rate,games_in_sample,game_time,bookmakers,num_bookmakers,bookmaker_details_over,bookmaker_details_under,edge_vs_breakeven
2026-01-18,2025-26,Jeremiah Fears,NOP,HOU,OVER,12.5,13.5,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),10-15 (Role Player) + 10-15 Dog + Rim Attacker (≥40.0%) OVER,9.5,9.0,57.4,68,2026-01-18 19:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 12.5, ""odds"": -120}, {""bookmaker"": ""BetOnline.ag"", ""line"": 12.5, ""odds"": -108}, {""bookmaker"": ""BetRivers"", ""line"": 12.5, ""odds"": -108}, {""bookmaker"": ""Bovada"", ""line"": 12.5, ""odds"": 100}, {""bookmaker"": ""Caesars"", ""line"": 12.5, ""odds"": -110}, {""bookmaker"": ""DraftKings"", ""line"": 12.5, ""odds"": 100}, {""bookmaker"": ""FanDuel"", ""line"": 12.5, ""odds"": -104}]",[],5.019999999999996
2026-01-18,2025-26,Kon Knueppel,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.8,4.4,56.0,109,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -110}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -121}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -121}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -104}]",[],3.6199999999999974
2026-01-18,2025-26,LaMelo Ball,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.8,4.4,56.0,109,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -118}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -114}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -113}]",[],3.6199999999999974
2026-01-18,2025-26,Marcus Smart,LAL,TOR,OVER,11.5,-1.0,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),10-15 (Role Player) + Pick'em (-2 to +2) + Perimeter (<40.0%) OVER,5.4,6.8,55.2,164,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, Caesars",3,"[{""bookmaker"": ""BetMGM"", ""line"": 11.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 11.5, ""odds"": 104}, {""bookmaker"": ""Caesars"", ""line"": 11.5, ""odds"": 100}]",[],2.8200000000000003
2026-01-18,2025-26,Miles Bridges,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.8,4.4,56.0,109,2026-01-18 20:10:00-05:00,"BetMGM, BetRivers, Bovada, Caesars, DraftKings",5,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -115}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -117}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -127}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -123}]",[],3.6199999999999974
2026-01-18,2025-26,Peyton Watson,DEN,CHA,UNDER,19.5,1.5,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),15-20 (High Role) + Pick'em (-2 to +2) + Rim Attacker (≥40.0%) UNDER,11.9,7.0,58.6,58,2026-01-18 20:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 19.5, ""odds"": -106}, {""bookmaker"": ""BetRivers"", ""line"": 19.5, ""odds"": 104}, {""bookmaker"": ""Bovada"", ""line"": 19.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 19.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 19.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 19.5, ""odds"": -108}]",[],6.219999999999999
2026-01-18,2025-26,Rayan Rupert,POR,SAC,OVER,5.5,2.5,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),5-10 (Bench) + 2-6 Dog + Rim Attacker (≥40.0%) OVER,6.9,7.6,56.0,160,2026-01-18 21:10:00-05:00,BetMGM,1,"[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -120}]",[],3.6199999999999974
2026-01-18,2025-26,Rui Hachimura,LAL,TOR,UNDER,7.5,-1.0,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.6,4.2,55.8,129,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, Caesars, DraftKings",4,"[{""bookmaker"": ""BetMGM"", ""line"": 7.5, ""odds"": -130}, {""bookmaker"": ""BetOnline.ag"", ""line"": 7.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -108}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -103}]",[],3.4199999999999946
2026-01-18,2025-26,Saddiq Bey,NOP,HOU,OVER,13.5,13.5,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),10-15 (Role Player) + 10-15 Dog + Rim Attacker (≥40.0%) OVER,9.5,9.0,57.4,68,2026-01-18 19:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 13.5, ""odds"": 100}, {""bookmaker"": ""BetOnline.ag"", ""line"": 13.5, ""odds"": 109}, {""bookmaker"": ""BetRivers"", ""line"": 13.5, ""odds"": -113}, {""bookmaker"": ""Bovada"", ""line"": 13.5, ""odds"": 105}, {""bookmaker"": ""Caesars"", ""line"": 13.5, ""odds"": 100}, {""bookmaker"": ""FanDuel"", ""line"": 13.5, ""odds"": 100}]",[],5.019999999999996
2026-01-18,2025-26,Sandro Mamukelashvili,TOR,LAL,UNDER,9.5,1.0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Rim Attacker (≥40.0%) UNDER,26.0,14.4,66.0,100,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel, Fanatics",8,"[{""bookmaker"": ""BetMGM"", ""line"": 9.5, ""odds"": -135}, {""bookmaker"": ""BetOnline.ag"", ""line"": 9.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 9.5, ""odds"": -136}, {""bookmaker"": ""Bovada"", ""line"": 9.5, ""odds"": -150}, {""bookmaker"": ""Caesars"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 9.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""Fanatics"", ""line"": 9.5, ""odds"": -120}]",[],13.619999999999997
2026-01-18,2025-26,Shaedon Sharpe,POR,SAC,UNDER,24.5,2.5,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),20-25 (Star) + 2-6 Dog + Rim Attacker (≥40.0%) UNDER,9.9,6.0,57.6,66,2026-01-18 21:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 24.5, ""odds"": -118}, {""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -109}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": -112}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -102}]",[],5.219999999999999
2026-01-18,2025-26,Sion James,CHA,DEN,UNDER,5.5,-1.5,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Perimeter (<40.0%) UNDER,6.6,4.2,55.8,129,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""DraftKings"", ""line"": 5.5, ""odds"": -113}, {""bookmaker"": ""FanDuel"", ""line"": 5.5, ""odds"": -113}]",[],3.4199999999999946
2026-01-18,2025-26,Zeke Nnaji,DEN,CHA,UNDER,6.5,1.5,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),5-10 (Bench) + Pick'em (-2 to +2) + Rim Attacker (≥40.0%) UNDER,26.0,14.4,66.0,100,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 6.5, ""odds"": -135}, {""bookmaker"": ""BetOnline.ag"", ""line"": 6.5, ""odds"": -130}, {""bookmaker"": ""Bovada"", ""line"": 6.5, ""odds"": -135}, {""bookmaker"": ""Caesars"", ""line"": 6.5, ""odds"": -132}, {""bookmaker"": ""DraftKings"", ""line"": 6.5, ""odds"": -129}, {""bookmaker"": ""FanDuel"", ""line"": 6.5, ""odds"": -122}]",[],13.619999999999997
