player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
James Harden,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,8.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,102.0,-130.0
Kon Knueppel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,2.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-138.0,108.0
LaMelo Ball,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,8.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,122.0,-156.0
Bogdan Bogdanovic,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,3.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,130.0,-166.0
Collin Sexton,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,3.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-154.0,120.0
Miles Bridges,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,3.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-113.0,-113.0
Kris Dunn,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,2.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-130.0,102.0
Ivica Zubac,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,1.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-172.0,134.0
Brandon Miller,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_assists,2.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-138.0,108.0
Ryan Kalkbrenner,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_blocks,1.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-166.0,124.0
Ivica Zubac,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_blocks,0.5,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,-245.0,178.0
Ivica Zubac,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
James Harden,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
LaMelo Ball,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
Miles Bridges,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
Moussa Diabate,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
Ryan Kalkbrenner,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
Kon Knueppel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,player_double_double,,fanduel,2025-11-22T14:54:32Z,2025-11-22T14:53:22Z,,
